Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
collin sexton,PG/SG/G/UTIL,UTA,33.74%,0.04%,2.05%,13.54%,10.57%,$1.75
jalen williams,PF/F/UTIL,OKC,30.51%,0.03%,1.54%,16.92%,13.62%,$0.59
jarrett allen,C/UTIL,CLE,27.28%,0.03%,1.37%,7.86%,10.81%,$0.25
isaiah hartenstein,C/UTIL,OKC,30.56%,0.02%,1.36%,26.16%,37.44%,$0.24
devin booker,PG/SG/G/UTIL,PHX,28.01%,0.02%,1.28%,18.02%,10.45%,$0.01
tidjane salaun,PF/F/UTIL,CHA,27.17%,0.0%,1.18%,0.02%,0.1%,$-0.04
drew eubanks,C/UTIL,UTA,26.33%,0.02%,1.24%,6.46%,20.82%,$-0.12
shai gilgeous-alexander,PG/G/UTIL,OKC,30.53%,0.02%,1.15%,53.59%,44.21%,$-0.14
jared butler,PG/G/UTIL,WAS,23.78%,0.04%,1.18%,0.72%,1.48%,$-0.14
ricky council iv,PF/SF/F/UTIL,PHI,28.29%,0.02%,1.18%,21.6%,25.54%,$-0.18
jonas valanciunas,C/UTIL,WAS,22.15%,0.04%,1.12%,1.9%,3.74%,$-0.21
brice sensabaugh,PF/SF/F/UTIL,UTA,28.71%,0.02%,1.15%,45.16%,50.79%,$-0.24
kevin durant,C/PF/F/UTIL,PHX,27.46%,0.02%,1.17%,21.36%,10.54%,$-0.25
kristaps porzingis,C/UTIL,BOS,25.76%,0.02%,1.15%,7.06%,9.61%,$-0.25
kyle filipowski,C/PF/F/UTIL,UTA,28.43%,0.02%,1.12%,55.34%,75.44%,$-0.31
aaron wiggins,PF/SF/F/UTIL,OKC,27.16%,0.02%,1.1%,19.95%,23.77%,$-0.37
isaiah collier,PG/SG/G/UTIL,UTA,27.09%,0.02%,1.11%,19.92%,26.91%,$-0.39
cason wallace,PG/SG/G/UTIL,OKC,27.09%,0.02%,1.04%,29.94%,43.45%,$-0.51
cole anthony,PG/SG/G/UTIL,ORL,26.64%,0.02%,1.05%,33.96%,34.61%,$-0.54
kelly oubre jr.,SG/G/UTIL,PHI,27.12%,0.02%,1.02%,10.19%,12.37%,$-0.57
svi mykhailiuk,SF/SG/G/F/UTIL,UTA,25.56%,0.02%,1.01%,20.02%,18.87%,$-0.63
isaiah joe,SF/SG/G/F/UTIL,OKC,25.39%,0.02%,1.0%,17.19%,16.17%,$-0.64
pascal siakam,PF/F/UTIL,IND,25.02%,0.02%,1.04%,7.0%,6.34%,$-0.64
mark williams,C/UTIL,CHA,24.35%,0.02%,1.01%,8.33%,14.21%,$-0.65
myles turner,C/UTIL,IND,25.39%,0.02%,1.0%,4.29%,6.06%,$-0.7
micah potter,C/PF/F/UTIL,UTA,25.63%,0.02%,0.96%,16.08%,21.29%,$-0.77
tyrese martin,SF/SG/G/F/UTIL,BKN,25.17%,0.02%,0.95%,8.46%,5.74%,$-0.78
paul george,SF/SG/G/F/UTIL,PHI,24.92%,0.02%,0.96%,16.08%,7.9%,$-0.79
jaylen brown,SF/SG/G/F/UTIL,BOS,24.98%,0.02%,0.96%,16.84%,7.87%,$-0.81
wendell carter jr.,C/UTIL,ORL,24.19%,0.02%,0.92%,1.3%,2.91%,$-0.82
day'ron sharpe,C/UTIL,BKN,22.04%,0.02%,0.89%,2.22%,4.55%,$-0.83
luguentz dort,SF/SG/G/F/UTIL,OKC,25.55%,0.01%,0.91%,26.38%,21.27%,$-0.86
keon johnson,PG/SG/G/UTIL,BKN,24.63%,0.01%,0.94%,8.51%,7.47%,$-0.9
goga bitadze,C/UTIL,ORL,21.7%,0.03%,0.83%,0.87%,1.43%,$-0.93
bradley beal,SF/SG/G/F/UTIL,PHX,23.16%,0.02%,0.84%,5.53%,3.25%,$-0.96
andrew nembhard,PG/SG/G/UTIL,IND,24.58%,0.01%,0.86%,16.85%,17.45%,$-1.01
jrue holiday,PG/G/UTIL,BOS,23.2%,0.02%,0.82%,2.94%,4.26%,$-1.03
adem bona,C/UTIL,PHI,25.23%,0.0%,0.67%,0.02%,0.1%,$-1.05
bennedict mathurin,SF/SG/G/F/UTIL,IND,24.21%,0.01%,0.86%,7.65%,4.6%,$-1.06
evan mobley,C/PF/F/UTIL,CLE,22.95%,0.01%,0.87%,13.52%,6.94%,$-1.07
derrick white,PG/SG/G/UTIL,BOS,23.95%,0.01%,0.83%,8.49%,6.33%,$-1.09
tyrese haliburton,PG/G/UTIL,IND,22.05%,0.02%,0.81%,6.56%,5.13%,$-1.09
jayson tatum,PF/SF/F/UTIL,BOS,24.46%,0.01%,0.8%,33.37%,14.61%,$-1.11
t.j. mcconnell,PG/G/UTIL,IND,22.02%,0.01%,0.82%,3.58%,9.37%,$-1.2
nic claxton,C/UTIL,BKN,21.01%,0.02%,0.74%,1.95%,2.77%,$-1.26
lamelo ball,PG/G/UTIL,CHA,21.23%,0.01%,0.79%,11.22%,7.6%,$-1.32
