PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Jalen Brunson (37338088),Paul George (37338105),Mikal Bridges (37338239),Brice Sensabaugh (37338383),Daniel Gafford (37338424),CJ McCollum (37338156),Trey Murphy III (37338144),Keaton Wallace (37338930),316.48875,347.5542194684552,49000,100.00%,10000,94349.5%,4199,130.5,$3773.98,NYK 2,NOP 2,opp,1,cheddabisque,8,4610880301
Jalen Brunson (37338088),Bogdan Bogdanovic (37338369),Josh Hart (37338127),David Roddy (37338933),Victor Wembanyama (37338018),Keaton Wallace (37338930),Paul George (37338105),Vit Krejci (37338481),315.80125,347.98889706686305,50000,100.00%,10000,80698.88%,3033,164.35,$3227.96,ATL 4,NYK 2,opp,1,fluffhead009,216,4610759014
Jalen Brunson (37338088),Stephon Castle (37338477),Paul George (37338105),Julius Randle (37338149),Naz Reid (37338300),Keaton Wallace (37338930),Mikal Bridges (37338239),Amen Thompson (37338122),314.88875,344.307533001605,49700,100.00%,10000,59550.5%,1522,113.80999999999999,$2382.02,NYK 2,MIN 2,opp,1,ShaidyAdvice,9,4611355737
Jalen Brunson (37338088),Devin Vassell (37338234),Paul George (37338105),Tristan da Silva (37338374),Mark Williams (37338232),Keaton Wallace (37338930),Buddy Hield (37338351),Alperen Sengun (37338065),313.370625,346.2810959945703,49900,100.00%,9999,38463.44%,582,116.11,$1538.54,NYK 1,SAS 1,opp,1,tomjk321,154,4611006886
Jalen Brunson (37338088),Paul George (37338105),OG Anunoby (37338270),Jonathan Isaac (37338510),Mark Williams (37338232),Keaton Wallace (37338930),Andrew Wiggins (37338228),Alperen Sengun (37338065),313.18375,346.53448767910834,49900,100.00%,10000,36129.88%,477,131.2,$1445.2,NYK 2,PHI 1,opp,1,Firedog50,27,4610657440
Jalen Brunson (37338088),Devin Vassell (37338234),Bogdan Bogdanovic (37338369),Josh Hart (37338127),Wendell Carter Jr. (37338391),Keaton Wallace (37338930),Giannis Antetokounmpo (37338014),Stephon Castle (37338477),311.55375000000004,346.27891109655604,49800,100.00%,9998,22618.78%,118,179.33,$904.75,NYK 2,SAS 2,opp,1,cheddabisque,335,4610880244
Jalen Brunson (37338088),Amen Thompson (37338122),Paul George (37338105),Josh Hart (37338127),Wendell Carter Jr. (37338391),Keaton Wallace (37338930),Klay Thompson (37338250),Vit Krejci (37338481),311.12125,339.4316478018843,49400,100.00%,9977,18875.05%,28,126.61,$755.0,NYK 2,ATL 2,opp,1,tomjk321,1,4611006806
Jalen Brunson (37338088),Vit Krejci (37338481),Paul George (37338105),Jonathan Isaac (37338510),Alperen Sengun (37338065),Anthony Edwards (37338044),Brice Sensabaugh (37338383),Keaton Wallace (37338930),310.280625,343.8685231343646,49800,100.00%,9956,14728.39%,5,141.72000000000003,$589.14,ATL 2,NYK 1,opp,1,fivehorizons,178,4611288236
Jalen Brunson (37338088),Stephon Castle (37338477),Paul George (37338105),OG Anunoby (37338270),Mark Williams (37338232),Keaton Wallace (37338930),Brice Sensabaugh (37338383),LaMelo Ball (37338029),310.05375,342.23792008003613,49700,100.00%,9962,14224.46%,9,170.01999999999998,$568.98,NYK 2,CHA 2,opp,1,beaker913,33,4611131636
Jalen Brunson (37338088),Paul George (37338105),Bogdan Bogdanovic (37338369),Josh Hart (37338127),Jeremiah Robinson-Earl (37338708),Stephon Castle (37338477),Quentin Grimes (37338318),Alperen Sengun (37338065),308.84125,340.41757536728966,49600,100.00%,9832,11082.7%,8,142.47,$443.31,NYK 2,PHI 1,opp,1,Jp1710,338,4610885227
Jalen Brunson (37338088),Garrison Mathews (37338609),OG Anunoby (37338270),Josh Hart (37338127),Daniel Gafford (37338424),Keaton Wallace (37338930),Quentin Grimes (37338318),Nikola Jokic (37338012),308.746875,343.62839182249513,49600,100.00%,9800,11010.8%,8,151.41,$440.43,NYK 3,ATL 2,opp,1,cheddabisque,59,4610880310
