Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
jonas valanciunas,C/UTIL,WAS,28.34%,0.02%,1.74%,5.62%,9.9%,$1.57
anthony black,PG/G/UTIL,ORL,30.27%,0.01%,1.39%,20.24%,20.96%,$0.4
nikola jokic,C/UTIL,DEN,30.97%,0.01%,1.36%,19.7%,65.57%,$0.3
chris boucher,PF/F/UTIL,TOR,28.37%,0.01%,1.3%,14.65%,14.03%,$0.18
wendell carter jr.,C/UTIL,ORL,28.12%,0.01%,1.27%,7.89%,15.34%,$0.18
robert williams,C/PF/F/UTIL,POR,27.28%,0.01%,1.23%,3.72%,1.84%,$0.11
kentavious caldwell-pope,SG/G/UTIL,ORL,29.32%,0.01%,1.28%,14.8%,14.68%,$0.11
jakob poeltl,C/UTIL,TOR,28.0%,0.01%,1.2%,13.61%,26.99%,$-0.08
kel'el ware,C/PF/F/UTIL,MIA,29.47%,0.01%,1.2%,43.59%,38.81%,$-0.09
cole anthony,PG/SG/G/UTIL,ORL,27.6%,0.01%,1.18%,18.21%,13.81%,$-0.14
d'angelo russell,PG/SG/G/UTIL,BKN,27.45%,0.01%,1.17%,17.12%,12.19%,$-0.2
corey kispert,SF/SG/G/F/UTIL,WAS,27.82%,0.01%,1.15%,19.57%,10.09%,$-0.24
paolo banchero,PF/F/UTIL,ORL,25.64%,0.01%,1.14%,12.85%,16.95%,$-0.29
jalen brunson,PG/G/UTIL,NYK,26.83%,0.01%,1.12%,13.71%,15.79%,$-0.3
kyshawn george,PF/SF/F/UTIL,WAS,27.34%,0.01%,1.13%,10.93%,7.04%,$-0.31
kyle kuzma,PF/F/UTIL,WAS,26.07%,0.01%,1.08%,5.71%,6.44%,$-0.34
anthony davis,C/UTIL,LAL,27.92%,0.01%,1.1%,22.32%,56.84%,$-0.37
bam adebayo,C/UTIL,MIA,24.13%,0.01%,1.03%,3.57%,6.66%,$-0.41
tristan da silva,PF/SF/F/UTIL,ORL,26.74%,0.01%,1.07%,8.69%,5.4%,$-0.46
gradey dick,SG/G/UTIL,TOR,27.03%,0.01%,1.06%,22.69%,23.76%,$-0.52
lebron james,PF/F/UTIL,LAL,26.35%,0.01%,1.05%,20.8%,35.51%,$-0.53
rj barrett,SF/F/UTIL,TOR,25.59%,0.01%,1.04%,13.13%,14.05%,$-0.53
karl-anthony towns,C/UTIL,NYK,24.15%,0.01%,1.04%,9.83%,22.33%,$-0.54
kelly olynyk,C/UTIL,TOR,24.49%,0.01%,0.99%,1.61%,1.62%,$-0.55
max christie,SF/SG/G/F/UTIL,LAL,26.87%,0.01%,1.02%,22.46%,12.41%,$-0.63
russell westbrook,PG/G/UTIL,DEN,25.72%,0.01%,1.01%,17.83%,19.27%,$-0.63
mikal bridges,SF/SG/G/F/UTIL,NYK,26.8%,0.0%,0.97%,19.63%,11.41%,$-0.75
jordan poole,PG/SG/G/UTIL,WAS,25.1%,0.01%,0.96%,13.32%,9.69%,$-0.75
jamal shead,PG/G/UTIL,TOR,25.56%,0.01%,0.96%,3.61%,1.89%,$-0.75
duncan robinson,SG/G/UTIL,MIA,24.73%,0.01%,0.94%,3.56%,3.86%,$-0.75
carlton carrington,PG/SG/G/UTIL,WAS,26.26%,0.0%,0.96%,18.33%,12.7%,$-0.77
julian strawther,SF/SG/G/F/UTIL,DEN,25.34%,0.01%,0.95%,6.13%,2.76%,$-0.8
scottie barnes,PG/SF/G/F/UTIL,TOR,26.01%,0.0%,0.93%,28.97%,19.16%,$-0.82
alexandre sarr,C/PF/F/UTIL,WAS,25.13%,0.01%,0.93%,19.18%,15.24%,$-0.82
nikola jovic,C/PF/F/UTIL,MIA,24.54%,0.01%,0.93%,9.48%,6.82%,$-0.82
kelly oubre jr.,SG/G/UTIL,PHI,26.06%,0.0%,0.93%,6.86%,7.44%,$-0.83
michael porter jr.,PF/SF/F/UTIL,DEN,25.59%,0.0%,0.94%,21.16%,15.26%,$-0.83
jamal murray,PG/SG/G/UTIL,DEN,25.21%,0.0%,0.92%,17.52%,12.65%,$-0.85
paul george,SF/SG/G/F/UTIL,PHI,25.48%,0.0%,0.92%,24.73%,16.7%,$-0.87
christian braun,SF/SG/G/F/UTIL,DEN,25.41%,0.0%,0.92%,12.76%,6.51%,$-0.87
bruce brown,SF/SG/G/F/UTIL,TOR,24.61%,0.01%,0.92%,3.24%,1.55%,$-0.87
terry rozier,PG/SG/G/UTIL,MIA,24.55%,0.01%,0.9%,7.13%,4.37%,$-0.89
austin reaves,PG/G/UTIL,LAL,24.42%,0.01%,0.88%,7.03%,7.65%,$-0.93
jonathan isaac,C/PF/F/UTIL,ORL,22.69%,0.01%,0.86%,2.46%,1.9%,$-0.93
jerami grant,PF/F/UTIL,POR,24.86%,0.0%,0.88%,6.62%,6.85%,$-0.96
bilal coulibaly,SF/F/UTIL,WAS,24.71%,0.0%,0.87%,6.32%,5.94%,$-1.0
jimmy butler,SF/F/UTIL,MIA,22.73%,0.01%,0.85%,4.98%,4.73%,$-1.01
dorian finney-smith,C/PF/F/UTIL,LAL,24.96%,0.0%,0.88%,11.66%,8.05%,$-1.02
deni avdija,PF/SF/F/UTIL,POR,23.69%,0.0%,0.86%,13.35%,9.7%,$-1.04
tyler herro,PG/SG/G/UTIL,MIA,24.36%,0.0%,0.84%,17.77%,15.13%,$-1.06
davion mitchell,PG/SG/G/UTIL,TOR,24.75%,0.0%,0.85%,9.33%,5.75%,$-1.09
aaron gordon,PF/F/UTIL,DEN,22.62%,0.01%,0.81%,0.88%,1.05%,$-1.12
day'ron sharpe,C/UTIL,BKN,20.09%,0.01%,0.74%,0.47%,1.0%,$-1.17
tyrese maxey,PG/G/UTIL,PHI,22.88%,0.0%,0.8%,9.78%,13.38%,$-1.18
deandre ayton,C/UTIL,POR,21.11%,0.01%,0.78%,3.02%,5.61%,$-1.18
shaedon sharpe,PG/SG/G/UTIL,POR,23.03%,0.0%,0.79%,8.62%,6.0%,$-1.21
rui hachimura,PF/SF/F/UTIL,LAL,23.47%,0.0%,0.8%,5.59%,3.32%,$-1.22
guerschon yabusele,C/PF/F/UTIL,PHI,24.16%,0.0%,0.79%,14.57%,11.19%,$-1.23
josh hart,PF/SF/F/UTIL,NYK,24.04%,0.0%,0.78%,12.09%,9.72%,$-1.25
og anunoby,PF/SF/F/UTIL,NYK,24.35%,0.0%,0.77%,13.02%,9.07%,$-1.29
nic claxton,C/UTIL,BKN,21.38%,0.01%,0.73%,2.23%,4.14%,$-1.29
toumani camara,SF/F/UTIL,POR,22.99%,0.0%,0.74%,4.41%,3.98%,$-1.38
anfernee simons,PG/SG/G/UTIL,POR,22.3%,0.0%,0.71%,9.0%,6.33%,$-1.43
keon johnson,PG/SG/G/UTIL,BKN,21.8%,0.0%,0.7%,3.78%,2.47%,$-1.46
jalen wilson,SF/F/UTIL,BKN,21.68%,0.0%,0.68%,0.15%,0.1%,$-1.52
peyton watson,PF/F/UTIL,DEN,22.15%,0.0%,0.68%,2.48%,2.21%,$-1.55
cameron johnson,PF/SF/F/UTIL,BKN,20.95%,0.0%,0.66%,4.39%,2.92%,$-1.56
tosan evbuomwan,PF/SF/F/UTIL,BKN,19.68%,0.0%,0.65%,0.13%,0.1%,$-1.66
tyrese martin,SF/SG/G/F/UTIL,BKN,20.79%,0.0%,0.64%,1.83%,0.91%,$-1.67
scoot henderson,PG/G/UTIL,POR,21.18%,0.0%,0.62%,3.41%,3.23%,$-1.68
deandre jordan,C/UTIL,DEN,20.23%,0.0%,0.6%,0.1%,0.1%,$-1.71
