PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Russell Westbrook (37490411),Kelly Oubre Jr. (37490414),Ricky Council IV (37490547),Michael Porter Jr. (37490450),Paul Reed (37490810),Lonzo Ball (37490507),Giannis Antetokounmpo (37490296),Nikola Vucevic (37490353),283.37,274.01000000000005,380.95,49800,0.18%,4.71%,292.0%,40.66%,158.15,$5.8,DEN 2,PHI 2,generated,1
Vasilije Micic (37490454),Tim Hardaway Jr. (37490589),Michael Porter Jr. (37490450),Patrick Williams (37490553),Jalen Duren (37490422),Coby White (37490424),Giannis Antetokounmpo (37490296),Kristaps Porzingis (37490396),282.69,270.6600000000001,377.16999999999996,49800,0.17%,4.58%,288.8%,39.91%,141.55,$5.8,DET 2,CHI 2,generated,1
Vasilije Micic (37490454),Kelly Oubre Jr. (37490414),Devin Vassell (37490417),Patrick Williams (37490553),Jalen Duren (37490422),Lonzo Ball (37490507),Aaron Gordon (37490534),Nikola Jokic (37490294),283.17,274.08000000000004,371.74,49400,0.14%,4.48%,254.1%,39.73%,180.61,$5.1,CHI 2,DEN 2,generated,1
Lonzo Ball (37490507),Kelly Oubre Jr. (37490414),Ricky Council IV (37490547),Aaron Gordon (37490534),Kristaps Porzingis (37490396),Chris Paul (37490436),Giannis Antetokounmpo (37490296),Devin Vassell (37490417),285.27000000000004,278.07,379.96,50000,0.14%,4.15%,248.3%,42.43%,184.25,$5.0,PHI 2,SAS 2,generated,1
Lonzo Ball (37490507),Kelly Oubre Jr. (37490414),Josh Okogie (37490501),Michael Porter Jr. (37490450),Nikola Vucevic (37490353),Chris Paul (37490436),Jeremiah Robinson-Earl (37490826),Giannis Antetokounmpo (37490296),282.13,271.49,376.33000000000004,49700,0.14%,4.24%,240.2%,38.98%,154.19,$4.8,CHI 2,PHI 1,generated,1
Vasilije Micic (37490454),Ayo Dosunmu (37490443),Ricky Council IV (37490547),Miles Bridges (37490334),Giannis Antetokounmpo (37490296),Russell Westbrook (37490411),Brandon Boston Jr. (37490699),Patrick Williams (37490553),280.38,262.02000000000004,375.06999999999994,49400,0.14%,3.79%,238.4%,36.91%,128.81,$4.8,CHA 2,CHI 2,generated,1
Ayo Dosunmu (37490443),Kelly Oubre Jr. (37490414),Ricky Council IV (37490547),Michael Porter Jr. (37490450),Daniel Gafford (37490376),Dejounte Murray (37490342),Patrick Williams (37490553),Nikola Vucevic (37490353),282.49,267.24,369.4199999999999,49600,0.13%,4.14%,232.4%,38.17%,132.28,$4.6,CHI 3,PHI 2,generated,1
Lonzo Ball (37490507),Coby White (37490424),Ausar Thompson (37490527),Josh Okogie (37490501),Jakob Poeltl (37490409),Dejounte Murray (37490342),Patrick Williams (37490553),Victor Wembanyama (37490300),276.19,269.34,370.07,49900,0.15%,3.46%,222.1%,32.39%,129.01999999999998,$4.4,CHI 3,DET 1,generated,1
Ayo Dosunmu (37490443),Kelly Oubre Jr. (37490414),Josh Okogie (37490501),Aaron Gordon (37490534),Jalen Duren (37490422),CJ McCollum (37490378),Jeremiah Robinson-Earl (37490826),Nikola Jokic (37490294),279.33,269.11,367.72,49800,0.13%,3.83%,220.5%,35.27%,150.93,$4.4,DEN 2,NOP 2,generated,1
Russell Westbrook (37490411),Jaylen Brown (37490360),Josh Okogie (37490501),Aaron Gordon (37490534),Paul Reed (37490810),Dejounte Murray (37490342),Patrick Williams (37490553),Victor Wembanyama (37490300),279.0,273.08,372.07,49900,0.14%,3.73%,213.1%,35.19%,158.32999999999998,$4.3,DEN 2,BOS 1,generated,1
