PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Keyonte George (37831887),Alec Burks (37832227),Aaron Wiggins (37831976),KJ Martin (37832113),Isaiah Hartenstein (37831897),Luka Doncic (37831761),Zion Williamson (37831787),Kyle Filipowski (37831966),298.87,296.63,407.74,49900,0.18%,7.61%,846.4%,52.63%,240.67,$33.9,UTA 3,OKC 2,generated,1
Shai Gilgeous-Alexander (37831764),Alec Burks (37832227),Duncan Robinson (37832000),Aaron Wiggins (37831976),Kyle Filipowski (37831966),Isaiah Collier (37831913),Zion Williamson (37831787),Keyonte George (37831887),295.15,286.53000000000003,401.24,50000,0.15%,6.05%,640.7%,48.32%,197.58999999999997,$25.6,UTA 3,OKC 2,generated,1
Stephon Castle (37831933),Cason Wallace (37832096),LeBron James (37831767),Bam Adebayo (37831821),Isaiah Hartenstein (37831897),Keyonte George (37831887),KJ Martin (37832113),Kyle Filipowski (37831966),305.54999999999995,298.23,407.14,49500,0.1%,7.87%,606.5%,62.0%,260.74,$24.3,UTA 3,OKC 2,generated,1
Shai Gilgeous-Alexander (37831764),Gradey Dick (37832076),LeBron James (37831767),KJ Martin (37832113),Isaiah Hartenstein (37831897),Keyonte George (37831887),Micah Potter (37832221),Kyle Filipowski (37831966),302.97,297.19000000000005,407.88,49900,0.11%,7.38%,588.2%,58.49%,260.45,$23.5,UTA 4,OKC 2,generated,1
Keyonte George (37831887),Alec Burks (37832227),Franz Wagner (37831801),Paolo Banchero (37831809),Kyle Filipowski (37831966),Isaiah Collier (37831913),Zion Williamson (37831787),KJ Martin (37832113),300.23,300.06,406.77,49800,0.12%,7.04%,575.6%,54.85%,242.07,$23.0,UTA 4,ORL 2,generated,1
Tyler Herro (37831794),Stephon Castle (37831933),Brice Sensabaugh (37832065),KJ Martin (37832113),Kyle Filipowski (37831966),Keyonte George (37831887),Bol Bol (37831951),Shai Gilgeous-Alexander (37831764),302.5,299.21,407.12000000000006,50000,0.11%,7.09%,567.1%,57.76%,256.75,$22.7,UTA 4,MIA 1,generated,1
Alec Burks (37832227),Cason Wallace (37832096),Zion Williamson (37831787),Bam Adebayo (37831821),Kyle Filipowski (37831966),Luka Doncic (37831761),KJ Martin (37832113),Isaiah Collier (37831913),292.69,285.59000000000003,394.84999999999997,49800,0.13%,5.71%,560.1%,45.22%,199.93,$22.4,UTA 3,MIA 2,generated,1
Shai Gilgeous-Alexander (37831764),Alec Burks (37832227),Jalen Williams (37831829),KJ Martin (37832113),Kel'el Ware (37831949),Luka Doncic (37831761),Micah Potter (37832221),Kyle Filipowski (37831966),293.89,288.71999999999997,395.65,49900,0.14%,5.13%,555.0%,46.92%,221.01,$22.2,UTA 3,OKC 2,generated,1
Shai Gilgeous-Alexander (37831764),Stephon Castle (37831933),Brice Sensabaugh (37832065),Aaron Wiggins (37831976),Kyle Filipowski (37831966),Keyonte George (37831887),KJ Martin (37832113),Zion Williamson (37831787),300.28,295.79,411.84,49900,0.09%,7.33%,521.8%,55.15%,250.98000000000002,$20.9,UTA 4,OKC 2,generated,1
Alec Burks (37832227),Stephon Castle (37831933),LeBron James (37831767),Kelly Olynyk (37831968),Kyle Filipowski (37831966),Keyonte George (37831887),KJ Martin (37832113),Shai Gilgeous-Alexander (37831764),302.1,298.99,407.91,50000,0.09%,6.71%,506.1%,57.74%,266.06,$20.2,UTA 3,MIA 1,generated,1
