Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Karlo Matkovic,C/PF/F/UTIL,NOP,25.98,8.57,47.18%,12.17%,4.53%,10.0%,$23.40,48
Alperen Sengun,C/UTIL,HOU,49.65,16.93,39.17%,12.15%,6.22%,10.0%,$20.19,48
Damion Baugh,PG/SG/G/UTIL,CHA,21.6,7.58,44.5%,10.42%,4.25%,10.0%,$12.92,48
Jarrett Allen,C/UTIL,CLE,34.36,11.92,35.84%,4.49%,2.92%,10.0%,$9.96,48
Santi Aldama,PF/F/UTIL,MEM,28.42,11.0,38.41%,5.65%,3.66%,10.0%,$9.17,48
Vince Williams Jr.,SF/SG/G/F/UTIL,MEM,20.95,9.47,41.15%,8.09%,5.3%,10.0%,$8.56,48
Kelly Olynyk,C/PF/F/UTIL,NOP,25.75,11.02,37.51%,6.04%,4.49%,10.0%,$8.42,48
Brandin Podziemski,PG/SG/G/UTIL,GSW,31.95,10.26,36.47%,5.04%,6.87%,10.0%,$6.56,48
Olivier-Maxence Prosper,PF/F/UTIL,DAL,21.88,8.86,42.65%,4.34%,2.23%,10.0%,$4.55,48
Jaren Jackson Jr.,C/PF/F/UTIL,MEM,41.41,14.45,32.0%,3.29%,10.05%,10.0%,$4.52,48
Stephen Curry,PG/G/UTIL,GSW,46.0,14.86,32.6%,3.23%,9.26%,10.0%,$4.40,48
Chris Boucher,C/PF/F/UTIL,TOR,26.42,11.47,51.24%,5.96%,5.4%,10.0%,$4.24,48
Ja Morant,PG/G/UTIL,MEM,41.86,14.23,31.13%,3.49%,7.43%,10.0%,$4.03,48
Bradley Beal,SF/SG/G/F/UTIL,PHX,34.65,7.94,34.54%,2.77%,10.31%,10.0%,$3.46,48
Desmond Bane,SG/G/UTIL,MEM,37.37,11.55,30.66%,2.88%,6.51%,10.0%,$3.22,48
Sam Hauser,PF/SF/F/UTIL,BOS,22.68,6.83,39.78%,1.81%,11.7%,10.0%,$2.49,48
