Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Julian Phillips,PF,CHI,dk,15.8,3000,5.3,4.0,,SAS,117,236,,,,,Proj 👉,2.8,0.4,1.3,0.3,0.1,0.4,0.3,23.0,1405696,36902580
Alex Caruso,SG/SF,OKC,dk,15.4,4100,3.8,0.2,-5,TOR,118.75,227,,,,,Proj 👉,2.5,0.3,1.4,1.1,0.3,0.9,0.3,18.0,697644,36902407
Jeremiah Robinson-Earl,PF/C,NOP,dk,15.2,4300,3.5,0,-6,PHX,110.75,223,,,,,Proj 👉,3.9,0.5,2.7,0.6,0.1,0.3,0.5,18.0,1176176,36902391
Davion Mitchell,PG/SG,TOR,dk,15.2,3700,4.1,0,-3,OKC,108.25,227,,,,,Proj 👉,4.1,0.5,1.3,3.2,0.1,0.5,1.3,21.0,1061659,36902468
Sam Merrill,SG,CLE,dk,15.0,4100,3.7,0,-5,DEN,118,232.5,,,,,Proj 👉,4.2,1.1,1.0,0.9,0.1,0.3,0.2,22.0,953106,36902416
Peyton Watson,PF,DEN,dk,14.4,4700,3.1,0,-9,CLE,114.5,232.5,,,,,Proj 👉,5.1,0.5,1.8,0.6,0.5,0.4,0.4,19.0,1326502,36902338
Julian Strawther,SG/SF,DEN,dk,14.4,3200,4.5,0.2,-1,CLE,114.5,232.5,,,,,Proj 👉,4.5,0.7,1.1,0.6,0.2,0.4,0.5,19.0,1241584,36902522
Georges Niang,SF/PF,CLE,dk,14.3,4300,3.3,0,-7,DEN,118,232.5,,,,,Proj 👉,4.0,0.8,1.8,0.6,0.1,0.2,0.5,18.0,679381,36902366
Herbert Jones,PF/C,NOP,dk,13.3,5300,2.5,1.1,-13,PHX,110.75,223,,,,,Proj 👉,4.7,0.3,1.7,0.7,0.2,1.3,0.9,25.0,1061638,36902253
Brandon Boston Jr,SG/SF,NOP,dk,13.2,5300,2.5,0,-13,PHX,110.75,223,,,,,Proj 👉,4.8,0.5,1.6,1.7,0.1,0.7,0.7,15.0,1245906,36902244
Jakobe Walter,SG,TOR,dk,13.1,4100,3.2,0,-7,OKC,108.25,227,,,,,Proj 👉,2.1,0.2,1.8,0.7,0.1,0.2,0.3,15.0,1458461,36902401
Josh Okogie,SF,PHX,dk,12.5,4000,3.1,0,-7,NOP,112.25,223,,,,,Proj 👉,3.3,0.4,1.4,0.2,0.0,0.3,0.3,14.0,941460,36902427
Mark Williams,C,CHA,dk,12.1,4800,2.5,0,-11,NYK,101.75,218,,,,,Proj 👉,3.9,0.0,3.0,0.4,0.3,0.2,0.3,11.0,1230361,36902311
Precious Achiuwa,C,NYK,dk,11.7,3900,3,0,-7,CHA,116.25,218,,,,,Proj 👉,2.5,0.1,2.2,0.4,0.3,0.2,0.4,12.0,1175124,36902452
Tyler Kolek,PG,NYK,dk,11.7,3000,3.9,0,-3,CHA,116.25,218,,,,,Proj 👉,1.3,0.3,0.3,0.3,0.0,0.2,0.2,14.0,1232325,36902602
Isaac Jones,PF/C,SAC,dk,11.6,3200,3.6,0,-4,MEM,119.75,243,,,,,Proj 👉,1.4,0.0,0.6,0.0,0.1,0.0,0.2,16.0,1403624,36902518
Kenrich Williams,PF/C,OKC,dk,11.4,3000,3.8,0,-3,TOR,118.75,227,,,,,Proj 👉,1.7,0.2,0.9,0.3,0.1,0.2,0.1,12.0,843742,36902576
Javonte Green,PF,NOP,dk,11.1,4000,2.8,0,-8,PHX,110.75,223,,,,,Proj 👉,2.8,0.3,1.4,0.4,0.3,0.5,0.2,15.0,624174,36902424
Nick Smith Jr,SG/SF,CHA,dk,10.7,3000,3.6,0,-4,NYK,101.75,218,,,,,Proj 👉,1.0,0.2,0.2,0.2,0.0,0.0,0.0,16.0,1401374,36902699
Anthony Gill,PF/C,WAS,dk,10.6,3000,3.5,1.3,-4,DAL,109,232,,,,,Proj 👉,0.8,0.1,0.3,0.1,0.0,0.1,0.0,12.0,604290,36902667
Dalen Terry,SF,CHI,dk,10.3,3000,3.4,0,-4,SAS,117,236,,,,,Proj 👉,1.8,0.2,0.6,0.4,0.1,0.3,0.4,15.0,1239611,36902778
Monte Morris,PG,PHX,dk,10.2,3100,3.3,0,-5,NOP,112.25,223,,,,,Proj 👉,1.7,0.2,0.3,0.4,0.1,0.1,0.1,12.0,741011,36902535
Jake Laravia,SF/PF,MEM,dk,9.9,3900,2.5,0,-9,SAC,123.25,243,,,,,Proj 👉,2.4,0.3,1.4,1.1,0.2,0.2,0.4,10.0,1175125,36902440
