id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6376,Smith,Dru,18.52,MIA,G,TOR,24.00,7.15,1.22,2.33,2.91,1.48,0.53,1.08,1.48,0.53,0.04,2.70,3.72,0.00,0.000,Playing,
5899,Highsmith,Haywood,18.32,MIA,F,TOR,27.00,7.41,1.10,3.83,1.57,1.09,0.68,0.66,1.72,0.67,0.37,2.82,3.12,0.01,0.000,,
3677,Olynyk,Kelly,18.13,TOR,C,@ MIA,17.00,7.72,0.56,3.91,2.92,0.51,0.26,1.37,2.35,1.34,0.27,2.91,2.22,0.01,0.000,,
5510,Kornet,Luke,17.75,BOS,C,DET,20.00,5.52,0.00,5.06,1.62,0.49,1.35,0.43,2.32,0.88,0.15,2.32,1.28,0.00,0.000,,
6193,Reed,Paul,17.70,DET,F,@ BOS,17.00,6.11,0.21,5.45,1.04,0.78,0.94,0.68,2.40,0.68,0.27,2.61,2.39,0.01,0.000,,
6300,Mitchell,Davion,17.61,TOR,G,@ MIA,24.00,7.21,1.05,2.14,4.20,0.63,0.14,1.30,1.75,0.56,0.23,2.80,3.84,0.01,0.000,,
2848,Love,Kevin,16.43,MIA,F,TOR,13.00,7.06,1.32,4.86,1.33,0.34,0.15,0.70,1.06,0.98,0.24,2.38,3.47,0.01,0.000,,
6764,Jaquez Jr.,Jaime,15.67,MIA,F,TOR,17.00,7.39,0.49,3.06,2.11,0.61,0.16,1.01,2.32,1.28,0.37,2.81,2.94,0.01,0.000,,
3709,Hardaway Jr.,Tim,14.61,DET,G,@ BOS,27.00,8.39,1.69,2.14,1.29,0.46,0.10,0.72,1.14,1.04,0.21,2.83,4.13,0.00,0.000,,
6733,Thompson,Ausar,14.14,DET,F,@ BOS,15.00,5.92,0.31,3.38,1.29,0.69,0.46,0.80,2.13,0.73,0.56,2.44,2.55,0.00,0.000,Off Injury Report,
4049,Theis,Daniel,13.32,NOR,C,SAC,18.00,4.53,0.34,4.15,1.03,0.39,0.73,0.71,1.52,0.47,0.16,1.86,1.86,0.00,0.000,Off Injury Report,
6558,Ellis,Keon,10.42,SAC,G,@ NOR,15.00,4.41,0.93,1.56,0.73,0.91,0.48,0.56,0.57,0.48,0.14,1.50,1.94,0.00,0.000,,
6980,Shead,Jamal,10.37,TOR,G,@ MIA,14.00,4.34,0.53,1.06,2.60,0.45,0.11,1.17,1.17,0.41,0.14,1.70,2.82,0.00,0.000,,
6718,Fontecchio,Simone,9.61,DET,F,@ BOS,13.00,4.77,0.94,2.14,0.78,0.26,0.13,0.51,0.64,0.67,0.16,1.58,2.32,0.00,0.000,,
7061,Jones,Isaac,8.49,SAC,F,@ NOR,10.00,4.63,0.02,1.98,0.42,0.17,0.33,0.51,1.98,0.61,0.31,2.00,1.40,0.00,0.000,Off Injury Report,
