Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Isaac Jones,PF/C,SAC,dk,8.8,3000,2.9,2.8,-6,NOP,119.25,231.5,,,,,Proj 👉,1.1,0.0,0.5,0.0,0.1,0.0,0.1,13.0,1403624,36987826
Simone Fontecchio,PF,DET,dk,8.6,3200,2.7,0.2,-7,BOS,106.75,225,,,,,Proj 👉,2.4,0.5,1.0,0.3,0.1,0.1,0.3,13.0,1314104,36987720
Ronald Holland II,SF,DET,dk,7.2,3000,2.4,0,-7,BOS,106.75,225,,,,,Proj 👉,1.6,0.1,0.8,0.1,0.1,0.1,0.2,10.0,1501942,36987842
Dru Smith,PG,MIA,dk,6.8,3500,1.9,12.3,-10,TOR,117.25,224.5,,,,,Proj 👉,0.5,0.1,0.5,0.2,0.2,0.1,0.1,7.0,953243,36987709
Jamison Battle,SF,TOR,dk,4.9,3000,1.6,0,-10,MIA,107.25,224.5,,,,,Proj 👉,1.1,0.2,0.3,0.1,0.0,0.0,0.1,6.0,1174935,36987799
Luke Kornet,C,BOS,dk,4.9,3500,1.4,0.2,-12,DET,118.25,225,,,,,Proj 👉,0.7,0.0,0.7,0.3,0.1,0.1,0.1,6.0,745923,36987699
Alec Burks,PG/SG,MIA,dk,4.6,3000,1.5,0,-10,TOR,117.25,224.5,,,,,Proj 👉,1.0,0.2,0.4,0.3,0.1,0.1,0.0,6.0,512995,36987736
Marcus Sasser,PG,DET,dk,4.2,3100,1.4,0,-11,BOS,106.75,225,,,,,Proj 👉,0.9,0.1,0.2,0.2,0.0,0.1,0.1,5.0,1174920,36987723
Antonio Reeves,SG/SF,NOP,dk,3.5,3000,1.2,2.3,-11,SAC,112.25,231.5,,,,,Proj 👉,0.6,0.1,0.1,0.1,0.0,0.0,0.0,4.0,1193678,36987757
Paul Reed,C,DET,dk,2.8,3000,0.9,0,-12,BOS,106.75,225,,,,,Proj 👉,0.4,0.0,0.2,0.0,0.0,0.1,0.1,3.0,1076238,36987845
Jae Crowder,PF,SAC,dk,2.5,3000,0.8,0,-12,NOP,119.25,231.5,,,,,Proj 👉,0.7,0.1,0.4,0.1,0.0,0.1,0.1,4.0,552381,36987815
Xavier Tillman,PF/C,BOS,dk,2.4,3000,0.8,0,-12,DET,118.25,225,,,,,Proj 👉,0.2,0.0,0.2,0.1,0.0,0.0,0.0,4.0,1078665,36987776
Orlando Robinson,C,SAC,dk,2.3,3000,0.8,0,-12,NOP,119.25,231.5,,,,,Proj 👉,0.2,0.0,0.2,0.0,0.0,0.0,0.1,3.0,1176770,36987818
Alex Len,C,SAC,dk,1.8,3000,0.6,0,-13,NOP,119.25,231.5,,,,,Proj 👉,0.1,0.0,0.1,0.0,0.0,0.0,0.0,2.0,616982,36987810
Jamal Shead,PG,TOR,dk,0.8,3400,0.2,0,-16,MIA,107.25,224.5,,,,,Proj 👉,0.1,0.0,0.0,0.1,0.0,0.0,0.0,1.0,1231795,36987714
Trey Jemison III,C,NOP,dk,0.8,3000,0.3,0,-14,SAC,112.25,231.5,,,,,Proj 👉,0.1,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1132023,36987755
Colby Jones,SG/SF,SAC,dk,0.00,3100,0,0,-15,NOP,119.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231798,36987726
Jose Alvarado,PG,NOP,dk,0.00,5800,0,0,-29,SAC,112.25,231.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060919,36987588
Drew Peterson,PF,BOS,dk,0.00,3000,0,0,-15,DET,118.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134571,36987791
