Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,Expected,,,Actual 5/8,,,,,,,
,,,,Jrue Holiday (37357071),Isaiah Joe (37357276),Scottie Barnes (37356861),Jalen Williams (37356911),Wendell Carter Jr. (37357109),Jalen Brunson (37356866),Josh Hart (37356907),Drew Eubanks (37357151),,,4,Keyonte George (37357010),Duncan Robinson (37357237),Cody Martin (37357171),Naz Reid (37357059),Wendell Carter Jr. (37357109) (LOCKED),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Nikola Jokic (37356826)
,,,,Jalen Brunson (37356866),Mikal Bridges (37357013),Nickeil Alexander-Walker (37357290),Chris Boucher (37357215),Wendell Carter Jr. (37357109),Scottie Barnes (37356861),Giannis Antetokounmpo (37356828),Drew Eubanks (37357151),,,,Jalen Brunson (37356866),Isaiah Joe (37357276),Nickeil Alexander-Walker (37357290),Giannis Antetokounmpo (37356828),Wendell Carter Jr. (37357109) (LOCKED),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Drew Eubanks (37357151)
,,,,Scottie Barnes (37356861),Nickeil Alexander-Walker (37357290),Mikal Bridges (37357013),Kyle Filipowski (37357140),Wendell Carter Jr. (37357109),Jalen Brunson (37356866),Jalen Williams (37356911),Mark Williams (37356970),,,,Jalen Brunson (37356866),Cody Martin (37357171),Nickeil Alexander-Walker (37357290),Miles Bridges (37356938),Wendell Carter Jr. (37357109) (LOCKED),Keyonte George (37357010),Kyle Filipowski (37357140),Nikola Jokic (37356826)
,,,,Jalen Brunson (37356866),Khris Middleton (37357054),Jayson Tatum (37356843),Brice Sensabaugh (37357075),Drew Eubanks (37357151),Keyonte George (37357010),Miles Bridges (37356938),Wendell Carter Jr. (37357109),,,7,Mike Conley (37357230),Cody Martin (37357171),Jayson Tatum (37356843) (LOCKED),Miles Bridges (37356938),Drew Eubanks (37357151),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Mark Williams (37356970)
,,,,Jalen Brunson (37356866),Isaiah Joe (37357276),Josh Hart (37356907),Brice Sensabaugh (37357075),Wendell Carter Jr. (37357109),Mike Conley (37357230),Mikal Bridges (37357013),Giannis Antetokounmpo (37356828),,,,Mike Conley (37357230),Luguentz Dort (37357166),Scottie Barnes (37356861),Chris Boucher (37357215),Wendell Carter Jr. (37357109) (LOCKED),Keyonte George (37357010),Jalen Williams (37356911),Nikola Jokic (37356826)
,,,,,,,,,,,,,,,,,,,,,,
,,,Original,Mike Conley (37357230),Cole Anthony (37356988) (LOCKED),Cody Martin (37357171),Kyle Filipowski (37357140),Jakob Poeltl (37356992),Shai Gilgeous-Alexander (37356838),Chris Boucher (37357215),Nikola Jokic (37356826),,,,,3 4 7 werent changed,,,,,,
,,,,Mike Conley (37357230),Gradey Dick (37357126),Naji Marshall (37357067),Miles Bridges (37356938),Wendell Carter Jr. (37357109) (LOCKED),Shai Gilgeous-Alexander (37356838),Chris Boucher (37357215),Nikola Jokic (37356826),,,,,,,,,,,
,,,,Keyonte George (37357010),Duncan Robinson (37357237),Brice Sensabaugh (37357075),Miles Bridges (37356938),Drew Eubanks (37357151),Shai Gilgeous-Alexander (37356838),Jalen Williams (37356911),Daniel Gafford (37357030),,,,,,,,,,,
,,,,Keyonte George (37357010),Duncan Robinson (37357237),Cody Martin (37357171),Naz Reid (37357059),Wendell Carter Jr. (37357109) (LOCKED),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Nikola Jokic (37356826),,,,,,,,,,,
,,,,Jalen Brunson (37356866),Isaiah Joe (37357276),Nickeil Alexander-Walker (37357290),Giannis Antetokounmpo (37356828),Wendell Carter Jr. (37357109) (LOCKED),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Drew Eubanks (37357151),,,,,,,,,,,
,,,,Jalen Brunson (37356866),Cody Martin (37357171),Nickeil Alexander-Walker (37357290),Miles Bridges (37356938),Wendell Carter Jr. (37357109) (LOCKED),Keyonte George (37357010),Kyle Filipowski (37357140),Nikola Jokic (37356826),,,,,,,,,,,
,,,,Mike Conley (37357230),Cody Martin (37357171),Jayson Tatum (37356843) (LOCKED),Miles Bridges (37356938),Drew Eubanks (37357151),Shai Gilgeous-Alexander (37356838),Kyle Filipowski (37357140),Mark Williams (37356970),,,,,,,,,,,
,,,,Mike Conley (37357230),Luguentz Dort (37357166),Scottie Barnes (37356861),Chris Boucher (37357215),Wendell Carter Jr. (37357109) (LOCKED),Keyonte George (37357010),Jalen Williams (37356911),Nikola Jokic (37356826),,,,,,,,,,,
