id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6764,Jaquez Jr.,Jaime,31.81,MIA,F,@ UTA,32.00,14.97,0.94,5.89,3.80,1.78,0.28,1.80,4.60,2.95,0.89,5.54,5.94,0.06,0.001,,
3367,Harris,Tobias,31.66,DET,F,GSW,33.00,13.98,1.58,7.05,3.08,0.84,1.00,1.22,3.70,1.84,0.27,5.28,6.42,0.25,0.005,,
3399,Thompson,Klay,31.27,DAL,G,POR,30.00,18.89,3.94,3.64,2.48,0.94,0.47,1.42,2.88,1.31,0.10,6.82,8.19,0.02,0.000,Questionable,
6503,Daniels,Dyson,31.10,ATL,G,@ PHO,34.00,12.23,1.16,5.32,3.43,2.80,0.79,1.54,3.96,0.83,0.54,5.12,6.18,0.05,0.001,,
6111,Washington,PJ,31.10,DAL,F,POR,35.00,12.99,1.68,7.54,2.43,1.31,1.04,1.73,3.06,1.83,0.65,4.74,5.92,0.24,0.002,,
5427,Beasley,Malik,31.02,DET,G,GSW,35.00,19.02,4.20,3.80,2.36,0.94,0.15,1.20,2.62,1.18,0.48,6.82,9.48,0.02,0.000,,
5720,Simons,Anfernee,30.90,POR,G,@ DAL,33.00,17.48,2.78,3.03,5.01,0.86,0.06,2.44,3.41,2.32,0.23,6.19,8.70,0.07,0.001,Questionable,
6322,Grimes,Quentin,30.56,DAL,G,POR,30.00,14.76,2.37,5.31,4.31,0.96,0.33,2.32,2.70,2.25,0.69,5.07,5.65,0.06,0.002,,
6507,Duren,Jalen,30.22,DET,C,GSW,26.00,9.61,0.00,11.06,2.52,0.52,1.28,2.17,3.77,2.07,0.94,3.77,2.13,0.32,0.003,,
6739,Lively II,Dereck,29.86,DAL,C,POR,28.00,9.95,0.01,8.64,2.74,0.82,1.89,1.42,4.07,1.78,1.17,4.08,1.98,0.19,0.002,Injured,
6942,Edey,Zach,29.72,MEM,C,HOU,27.00,11.69,0.41,9.58,1.28,0.67,1.51,1.82,4.25,1.96,1.02,4.66,3.78,0.32,0.000,Playing,
6047,Hunter,De'Andre,29.25,ATL,F,@ PHO,28.00,20.02,2.65,3.89,1.28,0.71,0.17,1.34,3.75,4.57,0.77,6.40,7.45,0.02,0.000,,
6504,Sharpe,Shaedon,28.98,POR,G,@ DAL,33.00,17.08,1.96,4.36,2.68,0.82,0.32,1.75,4.35,2.50,0.61,6.31,8.38,0.03,0.000,,
6733,Thompson,Ausar,28.82,DET,F,GSW,27.00,12.02,0.48,6.84,2.89,1.27,0.88,1.50,4.57,1.44,1.23,5.05,5.16,0.08,0.001,,
5364,Hield,Buddy,28.73,GSW,G,@ DET,32.00,17.24,3.83,4.16,1.37,1.13,0.41,1.60,2.41,0.93,0.13,6.24,8.03,0.03,0.000,,
3674,Schroder,Dennis,27.91,GSW,G,@ DET,32.00,15.48,2.18,2.88,4.51,0.91,0.19,2.52,3.35,2.24,0.37,5.53,7.55,0.03,0.000,,
5047,Rozier,Terry,27.69,MIA,G,@ UTA,32.00,13.98,1.83,3.91,3.87,1.01,0.42,1.57,3.30,1.89,0.28,5.13,6.58,0.02,0.000,,
3729,Gobert,Rudy,27.53,MIN,C,@ ORL,34.00,9.89,0.00,9.48,1.50,0.65,1.36,1.68,3.76,2.37,1.18,3.76,2.44,0.24,0.000,,
3908,Capela,Clint,26.54,ATL,C,@ PHO,22.00,10.41,0.00,9.12,1.24,0.52,0.96,1.04,4.73,0.95,0.73,4.73,3.27,0.28,0.000,Questionable,
6149,Okongwu,Onyeka,26.12,ATL,C,@ PHO,24.00,12.91,0.48,6.79,1.47,0.53,0.76,0.85,4.65,2.17,0.65,5.13,4.01,0.08,0.000,,
