id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury,full_name
3402,Valanciunas,Jonas,19.31,SAC,C,@ CLE,16.00,8.11,0.09,6.38,1.43,0.34,0.44,1.18,3.27,1.30,0.23,3.36,2.81,0.04,0.000,,Jonas Valanciunas,
6758,Murray,Kris,19.28,POR,F,SAS,25.00,8.62,0.90,4.39,1.71,0.92,0.39,0.96,2.55,0.82,0.76,3.45,4.21,0.01,0.000,,Kris Murray,
6499,Smith Jr.,Jabari,19.09,HOU,F,@ GSW,22.00,9.63,1.45,4.97,0.78,0.33,0.54,0.82,1.97,1.34,0.30,3.42,4.27,0.01,0.000,Questionable,Jabari Smith Jr.,
6560,Martin,Tyrese,18.92,BKN,G,TOR,21.00,9.16,1.67,3.81,2.13,0.62,0.15,1.17,1.58,0.99,0.26,3.25,4.90,0.01,0.000,,Tyrese Martin,
3949,Smart,Marcus,18.77,WAS,G,@ BOS,20.00,9.72,1.73,2.00,2.69,1.05,0.20,1.72,1.49,1.55,0.36,3.22,5.24,0.00,0.000,,Marcus Smart,
6015,Mann,Terance,18.64,ATL,G,UTA,21.00,9.49,1.10,3.28,1.91,0.72,0.26,0.67,2.56,1.07,0.36,3.66,3.88,0.01,0.000,,Terance Mann,
6583,Green,AJ,18.60,MIL,G,@ NOR,25.00,10.01,2.78,2.71,1.83,0.58,0.10,0.60,0.62,0.43,0.09,3.40,4.54,0.01,0.000,,AJ Green,
6124,Jerome,Ty,18.59,CLE,G,SAC,18.00,10.21,1.27,2.08,2.66,0.83,0.03,1.14,2.35,1.70,0.28,3.62,3.80,0.01,0.000,Playing,Ty Jerome,
5488,Bryant,Thomas,18.50,IND,C,@ DEN,18.00,8.64,0.64,4.90,1.17,0.44,0.52,0.55,2.79,1.14,0.25,3.43,2.98,0.01,0.000,,Thomas Bryant,
5389,Finney-Smith,Dorian,18.28,LAL,F,@ OKC,31.00,8.06,1.84,4.04,1.50,0.93,0.34,1.12,1.06,0.42,0.20,2.90,4.10,0.01,0.000,,Dorian Finney-Smith,
6047,Hunter,De'Andre,18.11,CLE,F,SAC,23.00,10.92,1.74,2.78,1.25,0.60,0.13,1.00,1.81,2.08,0.37,3.55,4.02,0.01,0.000,,De'Andre Hunter,
6339,Wiggins,Aaron,18.02,OKC,G,LAL,20.00,9.77,1.38,3.08,1.44,0.72,0.23,0.72,2.39,0.85,0.19,3.77,3.82,0.01,0.000,,Aaron Wiggins,
6242,Krejci,Vit,17.79,ATL,G,UTA,19.00,7.82,1.63,2.60,2.80,0.61,0.42,0.72,1.21,0.51,0.21,2.84,3.28,0.00,0.000,,Vit Krejci,
6780,Wilson,Jalen,17.73,BKN,F,TOR,22.00,9.89,1.43,3.22,1.64,0.51,0.05,0.99,1.75,2.10,0.43,3.18,5.26,0.01,0.000,Off Injury Report,Jalen Wilson,
5457,Collins,Zach,17.44,CHI,F,@ CHA,16.00,6.60,0.55,4.65,2.11,0.52,0.55,1.11,1.99,0.97,0.25,2.54,2.61,0.00,0.000,,Zach Collins,
6212,Richards,Nick,17.24,PHO,C,@ NYK,17.00,7.59,0.00,6.02,0.54,0.19,0.71,1.08,3.02,1.55,0.52,3.02,2.08,0.03,0.000,,Nick Richards,
6524,Wesley,Blake,17.08,SAS,G,@ POR,20.00,8.05,0.51,1.98,3.41,0.88,0.14,1.74,2.54,1.44,0.78,3.05,3.12,0.01,0.000,,Blake Wesley,
6328,Mamukelashvili,Sandro,16.76,SAS,F,@ POR,16.00,7.58,1.00,4.38,1.36,0.43,0.33,0.73,1.73,1.12,0.43,2.73,3.02,0.01,0.000,,Sandro Mamukelashvili,
6756,Lewis,Maxwell,16.22,BKN,F,TOR,23.00,9.03,1.31,2.26,1.45,0.74,0.44,1.67,2.04,1.02,0.43,3.35,5.32,0.00,0.000,,Maxwell Lewis,
5025,Jones,Tyus,16.11,PHO,G,@ NYK,20.00,7.47,1.50,1.68,3.42,0.48,0.08,0.93,1.29,0.39,0.05,2.79,3.64,0.01,0.000,,Tyus Jones,
6558,Ellis,Keon,15.88,SAC,G,@ CLE,22.00,7.40,1.50,2.35,1.14,1.18,0.57,0.84,0.95,1.00,0.23,2.45,2.94,0.00,0.000,,Keon Ellis,
5274,Caruso,Alex,15.83,OKC,G,LAL,17.00,5.51,1.00,2.37,2.45,1.26,0.45,0.48,1.12,0.27,0.06,2.12,2.71,0.00,0.000,,Alex Caruso,
6601,Cain,Jamal,15.75,NOR,F,MIL,18.00,6.99,0.87,4.13,0.90,0.77,0.27,0.54,1.59,1.20,0.44,2.46,3.10,0.00,0.000,,Jamal Cain,
6286,Springer,Jaden,15.42,UTA,G,@ ATL,17.00,6.48,0.45,2.71,1.56,1.34,0.42,1.07,1.86,1.41,0.28,2.31,2.74,0.00,0.000,,Jaden Springer,
6380,Lawson,A.J.,15.31,TOR,G,@ BKN,18.00,8.24,0.71,3.02,1.25,0.50,0.20,0.69,2.77,0.57,0.39,3.48,3.84,0.01,0.000,,A.J. Lawson,
6545,Barlow,Dominick,15.25,ATL,F,UTA,14.00,7.17,0.17,3.69,0.89,0.43,0.67,0.33,2.71,1.24,0.53,2.88,2.49,0.01,0.000,,Dominick Barlow,
6116,Horton-Tucker,Talen,15.23,CHI,G,@ CHA,16.00,7.56,0.97,2.55,1.77,0.63,0.32,1.12,1.68,1.29,0.39,2.65,3.48,0.00,0.000,,Talen Horton-Tucker,
6963,Scheierman,Baylor,15.06,BOS,G,WAS,15.00,6.42,1.22,3.36,1.83,0.57,0.12,0.59,1.14,0.48,0.11,2.36,3.63,0.00,0.000,,Baylor Scheierman,
6761,Rupert,Rayan,15.03,POR,G,SAS,20.00,7.25,1.08,3.37,1.56,0.48,0.13,1.08,1.60,0.81,0.28,2.68,4.10,0.01,0.000,,Rayan Rupert,
6158,Williams,Patrick,15.01,CHI,F,@ CHA,19.00,6.80,1.10,2.97,1.42,0.65,0.50,0.97,1.37,0.76,0.26,2.47,3.86,0.00,0.000,,Patrick Williams,
5006,Connaughton,Pat,14.89,MIL,G,@ NOR,18.00,6.55,1.06,3.15,1.91,0.40,0.26,0.63,1.32,0.73,0.25,2.38,3.29,0.00,0.000,Questionable,Pat Connaughton,
6766,Walsh,Jordan,14.78,BOS,F,WAS,20.00,5.88,1.05,3.71,1.06,0.78,0.47,0.70,0.99,0.75,0.44,2.04,3.64,0.00,0.000,,Jordan Walsh,
6589,Rhoden,Jared,14.69,TOR,G,@ BKN,17.00,7.81,0.93,2.89,0.91,0.44,0.41,0.54,1.95,1.12,0.26,2.88,3.72,0.00,0.000,,Jared Rhoden,
5519,Gill,Anthony,14.64,WAS,F,@ BOS,22.00,5.97,0.37,4.30,1.19,0.44,0.40,0.71,1.98,0.90,0.21,2.35,3.06,0.00,0.000,,Anthony Gill,
6360,Potter,Micah,14.39,UTA,C,@ ATL,20.00,5.34,1.10,4.69,0.90,0.46,0.40,0.88,0.73,0.58,0.10,1.83,2.24,0.00,0.000,,Micah Potter,
7061,Jones,Isaac,14.36,SAC,F,@ CLE,18.00,7.79,0.18,3.50,0.50,0.33,0.56,0.87,2.93,1.39,0.65,3.11,2.44,0.01,0.000,,Isaac Jones,
5724,Allen,Grayson,14.32,PHO,G,@ NYK,17.00,7.79,1.68,2.21,1.27,0.46,0.24,0.76,0.83,1.09,0.24,2.51,3.34,0.00,0.000,,Grayson Allen,
5706,Robinson,Mitchell,14.09,NYK,C,PHO,15.00,4.69,0.00,5.31,0.41,0.50,0.69,0.47,2.01,0.67,0.76,2.01,1.19,0.00,0.000,Off Injury Report,Mitchell Robinson,
6294,Thor,J.T.,13.83,WAS,F,@ BOS,20.00,5.30,0.68,3.91,0.80,0.42,0.76,0.52,1.41,0.44,0.22,2.09,2.82,0.00,0.000,,J.T. Thor,
6559,Gillespie,Collin,13.77,PHO,G,@ NYK,17.00,6.73,1.18,2.05,1.99,0.62,0.09,1.03,1.26,0.67,0.18,2.44,2.96,0.00,0.000,,Collin Gillespie,
6079,Hayes,Jaxson,13.49,LAL,C,@ OKC,17.00,5.05,0.01,4.05,0.74,0.57,0.76,0.81,2.02,0.98,0.47,2.03,0.90,0.00,0.000,,Jaxson Hayes,
6745,Whitehead,Dariq,13.39,BKN,F,TOR,17.00,7.07,1.16,2.46,1.12,0.56,0.20,1.07,1.44,0.71,0.18,2.60,4.08,0.00,0.000,,Dariq Whitehead,
5983,Jeffries,DaQuan,13.13,CHA,G,CHI,18.00,6.68,1.06,2.38,1.05,0.42,0.39,0.51,1.53,0.44,0.14,2.59,3.72,0.00,0.000,,DaQuan Jeffries,
6191,Joe,Isaiah,12.86,OKC,G,LAL,16.00,6.80,1.73,1.99,1.15,0.47,0.12,0.40,0.61,0.39,0.08,2.34,2.99,0.00,0.000,Off Injury Report,Isaiah Joe,
5980,Martin,Cody,12.81,PHO,F,@ NYK,16.00,5.17,0.64,2.74,1.50,0.63,0.38,0.76,1.38,0.49,0.22,2.02,2.66,0.00,0.000,,Cody Martin,
6567,Diabate,Moussa,12.59,CHA,F,CHI,11.00,5.89,0.00,3.80,0.48,0.38,0.35,0.46,2.50,0.89,0.59,2.50,1.40,0.00,0.000,,Moussa Diabate,
5695,Mykhailiuk,Svi,12.52,UTA,F,@ ATL,14.00,6.62,1.45,1.64,1.72,0.49,0.08,1.20,0.86,0.55,0.14,2.31,3.30,0.00,0.000,,Svi Mykhailiuk,
5907,Wade,Dean,12.39,CLE,F,SAC,17.00,4.49,1.08,3.37,0.98,0.58,0.33,0.28,0.38,0.49,0.31,1.46,2.08,0.00,0.000,Playing,Dean Wade,
6985,Post,Quinten,12.23,GSW,C,HOU,13.00,5.72,1.15,2.74,0.98,0.31,0.37,0.64,0.93,0.41,0.09,2.08,2.71,0.00,0.000,,Quinten Post,
5364,Hield,Buddy,12.01,GSW,G,HOU,15.00,6.41,1.39,1.86,0.98,0.53,0.21,0.75,0.91,0.42,0.08,2.30,3.59,0.00,0.000,,Buddy Hield,
5856,Williams,Kenrich,11.77,OKC,F,LAL,14.00,4.85,0.73,2.92,1.28,0.49,0.11,0.43,1.20,0.26,0.11,1.93,2.16,0.00,0.000,,Kenrich Williams,
5898,Vincent,Gabe,11.51,LAL,G,@ OKC,21.00,6.00,1.36,1.31,1.26,0.65,0.18,0.72,0.80,0.32,0.09,2.16,3.54,0.00,0.000,,Gabe Vincent,
6522,Terry,Dalen,11.49,CHI,G,@ CHA,16.00,5.66,0.54,1.67,1.01,0.83,0.34,0.77,1.49,1.06,0.31,2.03,2.18,0.00,0.000,,Dalen Terry,
6181,Merrill,Sam,11.46,CLE,G,SAC,15.00,5.59,1.54,1.66,1.29,0.50,0.13,0.35,0.33,0.31,0.02,1.87,2.67,0.00,0.000,,Sam Merrill,
5028,Looney,Kevon,11.20,GSW,F,HOU,11.00,3.10,0.00,4.21,1.05,0.35,0.38,0.40,1.33,0.44,0.30,1.33,1.07,0.00,0.000,,Kevon Looney,
6784,Pickett,Jalen,10.99,DEN,G,IND,13.00,4.10,0.78,1.43,2.72,0.36,0.09,0.53,0.79,0.18,0.05,1.57,2.16,0.00,0.000,,Jalen Pickett,
6150,Okoro,Isaac,10.28,CLE,G,SAC,15.00,5.07,0.89,1.66,1.04,0.44,0.22,0.38,0.92,0.56,0.24,1.81,2.05,0.00,0.000,,Isaac Okoro,
5040,Payne,Cam,10.14,NYK,G,PHO,11.00,4.19,0.76,1.11,2.19,0.42,0.15,0.49,0.70,0.51,0.08,1.46,2.08,0.00,0.000,Probable,Cam Payne,
6860,Nance,Pete,10.01,MIL,F,@ NOR,14.00,4.12,0.57,2.54,0.98,0.31,0.32,0.60,1.03,0.35,0.16,1.60,2.33,0.00,0.000,,Pete Nance,
5681,Vanderbilt,Jarred,9.91,LAL,F,@ OKC,13.00,3.12,0.15,3.44,0.80,0.65,0.12,0.66,1.08,0.51,0.28,1.23,1.18,0.00,0.000,,Jarred Vanderbilt,
5336,Payton II,Gary,9.73,GSW,G,HOU,12.00,4.00,0.30,2.18,0.87,0.58,0.31,0.46,1.40,0.30,0.16,1.70,1.32,0.00,0.000,,Gary Payton II,
5577,Craig,Torrey,9.70,BOS,F,WAS,10.00,4.34,0.85,2.44,0.54,0.29,0.32,0.30,0.75,0.29,0.11,1.60,2.02,0.00,0.000,,Torrey Craig,
6790,Gueye,Mouhamed,9.63,ATL,F,UTA,9.00,3.80,0.30,2.59,0.49,0.47,0.44,0.23,1.18,0.54,0.18,1.48,1.73,0.00,0.000,,Mouhamed Gueye,
6765,Phillips,Julian,9.18,CHI,F,@ CHA,13.00,4.69,0.58,1.85,0.49,0.38,0.28,0.34,0.99,0.97,0.23,1.57,2.07,0.00,0.000,,Julian Phillips,
6946,Carter,Devin,9.10,SAC,G,@ CLE,12.00,3.63,0.46,2.08,1.14,0.46,0.16,0.62,0.77,0.71,0.35,1.23,1.95,0.00,0.000,,Devin Carter,
6901,Evbuomwan,Tosan,8.10,BKN,F,TOR,10.00,3.93,0.37,1.84,0.79,0.28,0.14,0.69,1.04,0.74,0.28,1.41,1.76,0.00,0.000,,Tosan Evbuomwan,
6180,Nnaji,Zeke,7.92,DEN,F,IND,10.00,3.28,0.24,2.00,0.43,0.29,0.49,0.38,1.10,0.36,0.20,1.34,1.21,0.00,0.000,,Zeke Nnaji,
6370,Goodwin,Jordan,7.59,LAL,G,@ OKC,12.00,2.36,0.36,2.21,0.67,0.49,0.26,0.43,0.57,0.14,0.04,0.93,1.45,0.00,0.000,,Jordan Goodwin,
6631,Minaya,Justin,7.40,POR,F,SAS,11.00,2.65,0.51,1.95,0.72,0.27,0.30,0.32,0.50,0.12,0.13,1.01,2.07,0.00,0.000,,Justin Minaya,
6773,Jackson Jr.,Andre,7.35,MIL,G,@ NOR,10.00,2.63,0.35,2.01,0.89,0.37,0.12,0.56,0.71,0.16,0.10,1.06,1.20,0.00,0.000,,Andre Jackson Jr.,
6662,Etienne,Tyson,7.27,BKN,G,TOR,10.00,4.12,0.74,0.90,0.68,0.37,0.04,0.37,0.67,0.56,0.21,1.41,2.45,0.00,0.000,,Tyson Etienne,
6579,Swider,Cole,6.83,TOR,F,@ BKN,10.00,3.55,0.70,1.43,0.47,0.21,0.11,0.40,0.63,0.19,0.07,1.33,2.03,0.00,0.000,,Cole Swider,
5853,Green,Javonte,6.58,CLE,G,SAC,10.00,2.67,0.34,1.48,0.37,0.47,0.26,0.25,0.61,0.43,0.15,0.95,1.08,0.00,0.000,,Javonte Green,
5713,Shamet,Landry,5.90,NYK,G,PHO,10.00,3.04,0.56,0.81,0.61,0.33,0.08,0.33,0.56,0.24,0.06,1.12,1.42,0.00,0.000,,Landry Shamet,
5690,Holiday,Aaron,5.56,HOU,G,@ GSW,8.00,2.89,0.54,0.63,0.79,0.24,0.07,0.38,0.50,0.27,0.04,1.04,1.40,0.00,0.000,,Aaron Holiday,
3934,McDermott,Doug,4.82,SAC,F,@ CLE,8.00,2.97,0.81,0.59,0.33,0.12,0.03,0.18,0.19,0.16,0.06,1.00,1.38,0.00,0.000,,Doug McDermott,
6309,Bassey,Charles,4.49,SAS,C,@ POR,4.00,1.59,0.00,1.36,0.28,0.14,0.32,0.29,0.69,0.21,0.11,0.69,0.41,0.00,0.000,,Charles Bassey,
6571,Santos,Gui,4.46,GSW,F,HOU,6.00,1.62,0.30,1.35,0.42,0.17,0.08,0.25,0.24,0.24,0.07,0.54,0.67,0.00,0.000,,Gui Santos,
6575,Quinones,Lester,4.23,NOR,G,MIL,5.00,2.07,0.41,0.80,0.52,0.10,0.03,0.18,0.29,0.26,0.10,0.70,1.09,0.00,0.000,,Lester Quinones,
6970,Furphy,Johnny,4.01,IND,G,@ DEN,6.00,1.71,0.33,0.93,0.25,0.21,0.13,0.17,0.27,0.18,0.03,0.60,0.88,0.00,0.000,,Johnny Furphy,
6749,Cissoko,Sidy,3.71,POR,F,SAS,5.00,1.72,0.19,0.66,0.37,0.19,0.11,0.18,0.47,0.21,0.11,0.66,0.90,0.00,0.000,Playing,Sidy Cissoko,
6930,Kelley,Kylor,3.66,NOR,C,MIL,5.00,1.60,0.00,0.90,0.14,0.07,0.33,0.16,0.66,0.28,0.13,0.66,0.76,0.00,0.000,,Kylor Kelley,
6950,Knecht,Dalton,2.85,LAL,F,@ OKC,4.00,1.69,0.32,0.55,0.14,0.06,0.02,0.11,0.29,0.15,0.05,0.61,0.79,0.00,0.000,,Dalton Knecht,
6400,Wallace,Keaton,2.77,ATL,G,UTA,3.00,1.34,0.21,0.32,0.38,0.16,0.06,0.17,0.30,0.11,0.01,0.51,0.73,0.00,0.000,,Keaton Wallace,
7077,Carlson,Branden,0.00,OKC,C,LAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,Branden Carlson,
6612,Williams Jr.,Jeenathan,0.00,HOU,G,@ GSW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Jeenathan Williams Jr.,
6114,Bol,Bol,0.00,PHO,F,@ NYK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Bol Bol,
7064,Dante,N'Faly,0.00,HOU,C,@ GSW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,N'Faly Dante,
5021,Holmes,Richaun,0.00,WAS,F,@ BOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,Richaun Holmes,
3388,Morris,Markieff,0.00,LAL,F,@ OKC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Markieff Morris,
6121,Williamson,Zion,0.00,NOR,F,MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,Zion Williamson,
6334,Sims,Jericho,0.00,MIL,C,@ NOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,Jericho Sims,
6812,Baugh,Damion,0.00,CHA,G,CHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,Damion Baugh,
6803,Porter Jr.,Craig,0.00,CLE,G,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Craig Porter Jr.,
6797,Toppin,Jacob,0.00,ATL,F,UTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,Jacob Toppin,
6796,Martin,Jaylen,0.00,WAS,F,@ BOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,Jaylen Martin,
6795,Peterson,Drew,0.00,BOS,F,WAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,Drew Peterson,
6792,Bates,Emoni,0.00,CLE,F,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,Emoni Bates,
6782,Flagler,Adam,0.00,OKC,G,LAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,Adam Flagler,
6868,Jemison,Trey,0.00,LAL,C,@ OKC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Trey Jemison,
6298,Thomas,Cam,0.00,BKN,G,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,Cam Thomas,
6123,Okeke,Chuma,0.00,CLE,F,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Chuma Okeke,
3542,Lillard,Damian,0.00,MIL,G,@ NOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,Damian Lillard,
6781,Tyson,Hunter,0.00,DEN,F,IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Hunter Tyson,
6302,Mann,Tre,0.00,CHA,G,CHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,Tre Mann,
2718,Durant,Kevin,0.00,PHO,F,@ NYK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,Kevin Durant,
5474,Bradley,Tony,0.00,IND,C,@ DEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Tony Bradley,
5465,Collins,John,0.00,UTA,F,@ ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,John Collins,
5454,Markkanen,Lauri,0.00,UTA,F,@ ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,Lauri Markkanen,
5452,Fox,De'Aaron,0.00,SAS,G,@ POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,De'Aaron Fox,
5450,Tatum,Jayson,0.00,BOS,F,WAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,Jayson Tatum,
5449,Ball,Lonzo,0.00,CHI,G,@ CHA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Questionable,Lonzo Ball,
6301,Kispert,Corey,0.00,WAS,F,@ BOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,Corey Kispert,
5448,Fultz,Markelle,0.00,SAC,G,@ CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Markelle Fultz,
6804,Norris,Miles,0.00,BOS,F,WAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,Miles Norris,
6324,Jones,Herb,0.00,NOR,F,MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,Herb Jones,
6321,Dosunmu,Ayo,0.00,CHI,G,@ CHA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,Ayo Dosunmu,
2643,Tucker,P.J.,0.00,NYK,F,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,P.J. Tucker,
6314,Boston,Brandon,0.00,NOR,G,MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,Brandon Boston,
6312,Queta,Neemias,0.00,BOS,C,WAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Neemias Queta,
3551,Middleton,Khris,0.00,WAS,F,@ BOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,Khris Middleton,
6305,Jackson,Isaiah,0.00,IND,F,@ DEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,Isaiah Jackson,
2724,Green,Jeff,0.00,HOU,F,@ GSW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Jeff Green,
6329,Sharpe,Day'Ron,0.00,BKN,C,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,Day'Ron Sharpe,
6771,Jackson-Davis,Trayce,0.00,GSW,C,HOU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Trayce Jackson-Davis,
5355,Poeltl,Jakob,0.00,TOR,C,@ BKN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,Jakob Poeltl,
6768,Sheppard,Ben,0.00,IND,G,@ DEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Doubtful,Ben Sheppard,
6988,James,Bronny,0.00,LAL,G,@ OKC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Off Injury Report,Bronny James,
6987,Watson,Anton,0.00,NYK,F,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Anton Watson,
6984,Freeman,Enrique,0.00,IND,F,@ DEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Questionable,Enrique Freeman,
6982,Ingram,Harrison,0.00,SAS,F,@ POR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,Harrison Ingram,
6973,Mitchell,Ajay,0.00,OKC,G,LAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,Ajay Mitchell,
6969,Kolek,Tyler,0.00,NYK,G,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Tyler Kolek,
6959,Jones,Dillon,0.00,OKC,F,LAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Dillon Jones,
6958,Dadiet,Pacome,0.00,NYK,G,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Pacome Dadiet,
6955,Holmes II,DaRon,0.00,DEN,F,IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,DaRon Holmes II,
5851,Reath,Duop,0.00,POR,C,SAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,Duop Reath,
6953,Tyson,Jaylon,0.00,CLE,G,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,Jaylon Tyson,
6945,Topic,Nikola,0.00,OKC,G,LAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,Nikola Topic,
