id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury,full_name
6498,Holmgren,Chet,35.81,OKC,F,LAL,30.00,15.42,1.29,8.71,1.97,0.68,2.42,1.59,4.05,3.45,0.94,5.34,5.33,0.33,0.000,,Chet Holmgren,
5266,Brown,Jaylen,35.20,BOS,F,WAS,27.00,19.54,1.53,5.27,4.35,1.08,0.26,2.02,5.84,3.27,1.07,7.37,8.23,0.07,0.002,Playing,Jaylen Brown,
5469,Anunoby,O.G.,35.10,NYK,F,PHO,36.00,20.27,2.68,4.49,2.50,1.61,0.73,1.20,4.58,3.07,0.63,7.26,7.75,0.03,0.000,,O.G. Anunoby,
6511,Williams,Mark,35.04,CHA,C,CHI,30.00,13.10,0.00,11.19,2.35,0.77,1.35,1.22,5.34,2.42,0.76,5.34,3.56,0.52,0.005,,Mark Williams,
3920,Gordon,Aaron,34.70,DEN,F,IND,33.00,19.40,1.62,5.97,3.93,0.54,0.41,1.76,5.27,4.00,1.19,6.89,5.59,0.07,0.001,,Aaron Gordon,
6935,Sarr,Alexandre,34.69,WAS,F,@ BOS,30.00,16.89,2.22,7.39,2.37,0.67,1.50,1.74,4.13,1.97,1.00,6.35,9.99,0.28,0.003,,Alexandre Sarr,
6363,Alvarado,Jose,34.46,NOR,G,MIL,30.00,16.64,3.13,3.51,6.05,1.45,0.29,1.69,2.71,1.83,0.43,5.84,8.84,0.10,0.002,Questionable,Jose Alvarado,
6732,Thompson,Amen,33.82,HOU,F,@ GSW,33.00,13.15,0.29,7.97,3.81,1.33,1.45,2.20,5.10,2.08,0.98,5.39,4.29,0.25,0.005,,Amen Thompson,
6057,Barrett,R.J.,33.67,TOR,G,@ BKN,28.00,19.16,1.61,5.40,4.32,0.55,0.33,2.80,5.79,2.75,1.56,7.40,7.65,0.07,0.002,Off Injury Report,R.J. Barrett,
6280,Green,Jalen,33.53,HOU,G,@ GSW,33.00,20.81,2.91,4.08,3.53,0.74,0.35,2.71,4.65,2.78,0.73,7.56,10.08,0.03,0.001,,Jalen Green,
6742,Podziemski,Brandin,33.42,GSW,G,HOU,34.00,15.90,2.57,6.50,3.71,1.29,0.23,1.29,3.26,1.67,0.59,5.83,7.57,0.10,0.002,,Brandin Podziemski,
3932,LaVine,Zach,33.36,SAC,G,@ CLE,36.00,20.72,2.67,4.25,3.49,0.78,0.13,2.21,4.69,3.33,0.68,7.36,7.48,0.03,0.001,,Zach LaVine,
6537,Rollins,Ryan,33.32,MIL,G,@ NOR,30.00,14.96,2.13,4.09,5.16,2.07,0.64,2.15,3.09,2.39,0.51,5.22,5.51,0.06,0.002,,Ryan Rollins,
3006,DeRozan,DeMar,33.23,SAC,G,@ CLE,36.00,21.62,1.32,3.88,3.05,0.71,0.33,1.18,6.78,4.10,0.66,8.10,8.94,0.02,0.000,,DeMar DeRozan,
6968,Filipowski,Kyle,32.76,UTA,C,@ ATL,28.00,15.76,1.85,7.97,2.88,0.92,0.28,2.04,3.91,2.39,1.30,5.76,5.67,0.27,0.003,,Kyle Filipowski,
5682,Porter Jr.,Michael,32.49,DEN,F,IND,33.00,17.72,2.53,7.26,1.65,0.59,0.51,1.38,4.05,2.03,0.48,6.58,6.56,0.30,0.000,,Michael Porter Jr.,
6184,Pritchard,Payton,32.11,BOS,G,WAS,29.00,16.39,3.69,4.55,4.17,0.96,0.21,0.91,2.19,0.94,0.18,5.88,6.82,0.03,0.001,,Payton Pritchard,
6155,Vassell,Devin,31.95,SAS,G,@ POR,32.00,17.83,2.55,3.98,3.30,1.27,0.52,1.37,4.26,1.66,0.38,6.81,7.70,0.02,0.000,,Devin Vassell,
6962,Collier,Isaiah,31.86,UTA,G,@ ATL,32.00,11.80,0.90,4.17,8.68,1.21,0.24,3.83,3.57,1.96,0.87,4.47,5.44,0.25,0.007,,Isaiah Collier,
6947,Carrington,Bub,31.71,WAS,G,@ BOS,35.00,15.72,2.64,4.97,4.91,0.73,0.27,1.89,3.00,1.80,0.36,5.64,8.49,0.03,0.001,,Bub Carrington,
6775,Camara,Toumani,31.47,POR,F,SAS,33.00,14.34,1.94,6.55,2.63,1.55,0.73,1.34,3.52,1.48,0.44,5.46,5.87,0.09,0.001,Playing,Toumani Camara,
5053,Turner,Myles,31.44,IND,C,@ DEN,30.00,16.51,2.14,5.75,1.58,0.80,1.63,1.30,3.69,2.71,0.75,5.83,6.40,0.06,0.000,,Myles Turner,
5510,Kornet,Luke,31.41,BOS,C,WAS,26.00,12.57,0.00,8.44,2.42,0.62,1.63,0.57,5.37,1.83,0.63,5.37,2.13,0.29,0.003,,Luke Kornet,
6751,George,Keyonte,31.30,UTA,G,@ ATL,30.00,16.46,2.64,3.68,5.62,0.77,0.12,2.77,2.70,3.14,0.68,5.34,7.19,0.06,0.001,,Keyonte George,
6853,Timme,Drew,31.14,BKN,F,TOR,28.00,14.33,0.65,8.24,2.67,0.66,0.62,1.73,4.99,2.40,1.07,5.64,5.44,0.32,0.003,Starting,Drew Timme,
5473,Kuzma,Kyle,30.93,MIL,F,@ NOR,30.00,17.44,1.86,5.80,2.79,0.59,0.44,2.08,5.05,1.76,0.84,6.91,8.28,0.07,0.001,,Kyle Kuzma,
5936,Poole,Jordan,30.32,WAS,G,@ BOS,26.00,18.43,2.93,2.91,3.65,0.96,0.32,2.55,3.18,3.28,0.39,6.11,8.43,0.02,0.000,Off Injury Report,Jordan Poole,
2730,Horford,Al,30.18,BOS,C,WAS,30.00,12.62,2.61,7.61,2.21,0.60,1.13,0.78,1.96,0.87,0.12,4.57,6.54,0.24,0.002,,Al Horford,
5717,Bridges,Mikal,30.13,NYK,F,PHO,37.00,17.10,2.15,3.10,4.05,0.88,0.48,1.51,4.89,0.87,0.16,7.04,7.93,0.03,0.001,,Mikal Bridges,
3439,Beal,Bradley,29.89,PHO,G,@ NYK,32.00,17.86,1.99,3.38,3.44,0.87,0.47,2.12,4.96,1.97,0.44,6.95,6.68,0.02,0.000,,Bradley Beal,
5356,VanVleet,Fred,29.87,HOU,G,@ GSW,35.00,13.84,2.58,3.26,5.04,1.41,0.48,1.52,2.10,1.90,0.37,4.68,7.37,0.06,0.001,,Fred VanVleet,
6365,Watford,Trendon,29.49,BKN,F,TOR,28.00,14.86,0.95,6.11,3.05,0.94,0.52,2.25,4.44,3.13,1.00,5.39,5.44,0.09,0.002,,Trendon Watford,
6526,Braun,Christian,29.24,DEN,G,IND,35.00,14.95,1.02,5.70,2.81,0.98,0.48,1.13,4.83,2.23,0.44,5.85,4.46,0.06,0.001,,Christian Braun,
5458,Monk,Malik,29.04,SAC,G,@ CLE,30.00,15.80,2.01,3.27,4.55,0.75,0.50,2.43,4.01,1.75,0.30,6.02,7.95,0.03,0.001,,Malik Monk,
6944,Buzelis,Matas,28.61,CHI,F,@ CHA,30.00,14.39,1.92,5.70,2.04,0.61,1.23,1.39,3.36,1.91,0.33,5.28,6.49,0.06,0.001,,Matas Buzelis,
5719,Trent,Gary,28.45,MIL,G,@ NOR,32.00,17.85,3.82,3.10,1.32,1.45,0.13,0.70,2.61,1.17,0.21,6.43,8.24,0.02,0.000,,Gary Trent,
