Position,Name + ID,PLAYER_NAME,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Visitor,Home,Opp,DK Player,SEASON_ID,PLAYER_ID,TEAM_ID,GAME_ID,GAME_DATE,MATCHUP,WL,Minutes Last Game,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE,GAME DATE,PLAYER,DK,PLUS MINUS,MATCH UP,W/L,TEAM,AST_CONSISTENCY,AST_CUM_AVG,AST_LAST_10_AVG,AST_LAST_3_AVG,AST_LAST_5_AVG,AST_PER_MIN,AST_TREND,AST_VS_TEAM_AVG,BLOWOUT_GAME,DAYS_REST,DK_CONSISTENCY,DK_CUM_AVG,DK_LAST_10_AVG,DK_LAST_3_AVG,DK_LAST_5_AVG,DK_TREND,DK_TREND_5,FREQ_ABOVE_20,FREQ_ABOVE_25,FREQ_ABOVE_30,GAME_DAY,IS_B2B,IS_HOME,IS_TOP_3_PROJ,LOW_MIN_TOP_PLAYER,MIN_ABOVE_20,MIN_ABOVE_25,MIN_ABOVE_30,MIN_ABOVE_AVG_STREAK,MIN_CONSISTENCY,MIN_CONSISTENCY_SCORE,MIN_CUM_AVG,MIN_LAST_10_AVG,MIN_LAST_3_AVG,MIN_LAST_5_AVG,MIN_TREND,MIN_VS_TEAM_AVG,PLUS MINUS_CONSISTENCY,PLUS MINUS_CUM_AVG,PLUS MINUS_LAST_10_AVG,PLUS MINUS_LAST_3_AVG,PLUS MINUS_LAST_5_AVG,PLUS MINUS_TREND,PLUS_MINUS_PER_MIN,PTS_ABOVE_AVG_STREAK,PTS_CONSISTENCY,PTS_CUM_AVG,PTS_LAST_10_AVG,PTS_LAST_3_AVG,PTS_LAST_5_AVG,PTS_PER_MIN,PTS_TREND,PTS_VS_TEAM_AVG,REB_CONSISTENCY,REB_CUM_AVG,REB_LAST_10_AVG,REB_LAST_3_AVG,REB_LAST_5_AVG,REB_PER_MIN,REB_TREND,REB_VS_TEAM_AVG,RECENT_IMPACT,RECENT_SCORING_EFF,ROLE_CHANGE_3_10,ROLE_CHANGE_5_10,SCORING_EFFICIENCY,TEAM_MIN_PERCENTAGE,TEAM_PROJ_RANK,WIN,Minutes,Projection,Min Minutes,Max Minutes,Original_Minutes,Predicted_Minutes,Min_Required_Minutes,injury
PF,Pascal Siakam (38239649),Pascal Siakam,38239649,PF/F/UTIL,8000,IND@OKC 03/29/2025 08:00PM ET,IND,37.46,IND,OKC,OKC,Pascal Siakam,22024,1627783,1610612754,22401061,3/27/2025,IND @ WAS,W,23,6,8,0.75,1,1,1.0,0,0,0.0,1,1,2,5,1,0,1,0,13,14,24.9,1,3/27/2025,Pascal Siakam,24.9,14,IND @ WAS,W,Indiana Pacers,1.317,3.403,4.2,3.667,4.4,0.217,1,1.458,0,1,10.154,36.74,33.92,28.433,28.32,0,-3.16,1.0,0.8,0.7,147,1,0,1,1,1,0,0,0,5.391,0.167,32.917,32.2,30.0,31.8,0,1.342,10.77,4.264,11.0,18.0,15.4,1,0.609,0,8.017,20.625,19.4,14.0,14.8,0.565,0,1.123,3.414,6.931,5.1,4.667,4.6,0.087,0,0.56,0.612,0.478,2.2,0.4,0.565,9.583,2,1,34.0,39.18,0,48,34.0,34.0,0.0,
PG,Derrick White (38239652),Derrick White,38239652,PG/G/UTIL,7900,BOS@SAS 03/29/2025 08:00PM ET,BOS,33.78,BOS,SAS,SAS,Derrick White,22024,1628401,1610612738,22401058,3/26/2025,BOS @ PHX,W,31,5,11,0.455,4,10,0.4,2,2,1.0,0,4,4,7,0,0,2,4,16,34,29.3,1,3/26/2025,Derrick White,29.3,34,BOS @ PHX,W,Boston Celtics,2.058,4.522,6.3,7.667,6.2,0.226,1,2.545,1,2,8.26,32.942,35.31,34.3,33.18,1,-0.94,1.0,0.9,0.9,146,0,0,1,1,1,1,1,0,4.061,0.121,33.739,33.6,33.667,33.2,0,1.556,11.973,6.783,8.7,16.667,11.8,1,1.097,0,3.921,16.536,15.4,15.0,14.8,0.516,0,1.455,1.398,4.348,4.8,4.0,4.4,0.129,1,1.0,0.515,0.446,0.067,0.4,0.516,12.971,3,1,33.0,32.87,0,48,33.0,33.0,0.0,
C,Daniel Gafford (38239655),Daniel Gafford,38239655,C/UTIL,7600,DAL@CHI 03/29/2025 08:00PM ET,DAL,27.24,DAL,CHI,CHI,Daniel Gafford,22024,1629655,1610612742,22400762,2/10/2025,DAL vs. SAC,L,10,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,1,0,4,9,9.6,1,2/10/2025,Daniel Gafford,9.6,9,DAL vs. SAC,L,Dallas Mavericks,1.337,1.431,2.3,2.667,2.2,0.2,1,0.71,0,2,13.292,28.363,36.65,28.467,30.82,1,-8.26,0.9,0.7,0.6,107,0,1,1,1,0,0,0,0,7.747,0.274,21.941,28.3,23.333,27.2,1,0.415,7.729,0.941,7.2,5.667,5.4,1,0.9,0,6.0,12.294,13.0,5.667,9.0,0.4,0,0.344,4.089,6.863,9.5,9.0,8.6,0.3,1,1.0,0.378,0.276,4.967,1.1,0.4,3.774,2,0,0.0,0.0,0,48,0.0,0.0,0.0,Out
SF/PF,Naji Marshall (38239661),Naji Marshall,38239661,SF/PF/F/UTIL,7600,DAL@CHI 03/29/2025 08:00PM ET,DAL,25.96,DAL,CHI,CHI,Naji Marshall,22024,1630230,1610612742,22401060,3/27/2025,DAL @ ORL,W,41,3,5,0.6,0,1,0.0,0,0,0.0,0,4,4,3,2,0,3,4,6,12,18.3,1,3/27/2025,Naji Marshall,18.3,12,DAL @ ORL,W,Dallas Mavericks,2.558,2.869,3.9,2.0,2.8,0.073,0,1.429,0,2,13.267,25.536,37.65,32.667,35.4,1,-4.66,1.0,1.0,0.9,147,0,0,1,0,1,1,1,15,4.197,0.115,27.328,36.5,35.333,36.2,1,1.708,14.952,-1.426,-2.3,6.667,2.2,1,0.293,0,8.95,13.344,21.9,22.0,21.0,0.146,1,0.594,2.677,4.852,6.5,5.0,7.0,0.098,1,1.0,0.246,0.654,1.167,0.3,0.146,17.083,2,1,29.0,28.45,0,48,29.0,29.0,0.0,
C,Nikola Vucevic (38239665),Nikola Vucevic,38239665,C/UTIL,7500,DAL@CHI 03/29/2025 08:00PM ET,CHI,40.22,DAL,CHI,DAL,Nikola Vucevic,22024,202696,1610612741,22401063,3/27/2025,CHI vs. LAL,W,32,6,10,0.6,1,3,0.333,1,2,0.5,3,5,8,2,0,2,1,2,14,11,31.6,1,3/27/2025,Nikola Vučević,31.6,11,CHI vs. LAL,W,Chicago Bulls,2.132,3.385,3.1,3.0,3.8,0.062,1,0.545,0,3,10.849,38.551,32.55,34.7,39.82,1,-0.28,1.0,0.8,0.3,147,0,1,1,1,1,1,1,1,3.204,0.112,31.569,28.6,29.0,29.8,0,1.2,10.692,-2.0,4.9,8.0,7.6,1,0.344,0,5.582,18.477,14.6,13.0,17.4,0.438,0,1.059,3.232,10.062,9.0,9.333,9.6,0.25,0,1.5,0.289,0.449,0.4,1.2,0.438,13.333,3,1,31.0,39.67,0,48,31.0,31.0,0.0,
PF/C,Chet Holmgren (38239657),Chet Holmgren,38239657,PF/C/F/UTIL,7500,IND@OKC 03/29/2025 08:00PM ET,OKC,34.55,IND,OKC,IND,Chet Holmgren,22024,1631096,1610612760,22401064,3/27/2025,OKC vs. MEM,W,25,2,9,0.222,0,4,0.0,0,0,0.0,0,9,9,2,0,0,4,3,4,4,13.8,1,3/27/2025,Chet Holmgren,13.8,4,OKC vs. MEM,W,Oklahoma City Thunder,0.876,1.846,1.9,1.667,1.8,0.08,0,0.929,0,2,10.832,35.146,30.07,27.767,28.66,0,-6.44,0.9,0.7,0.3,147,0,1,0,0,1,0,0,0,5.978,0.215,27.231,27.8,28.667,28.8,1,1.36,13.093,9.192,8.9,8.667,9.8,1,0.16,0,5.929,14.846,13.4,12.0,14.2,0.16,0,0.416,3.414,8.423,8.1,8.0,7.8,0.36,0,2.6,0.297,0.402,0.867,1.0,0.16,10.46,4,1,0.0,0.0,0,48,0.0,0.0,0.0,Out
PF,Cameron Johnson (38239672),Cam Johnson,38239672,PF/F/UTIL,7100,BKN@WAS 03/29/2025 07:00PM ET,BKN,32.48,BKN,WAS,WAS,Cameron Johnson,22024,1629661,1610612751,22401068,3/28/2025,BKN vs. LAC,L,20,3,8,0.375,1,5,0.2,4,4,1.0,0,0,0,6,1,0,1,1,11,-18,22.0,1,3/28/2025,Cameron Johnson,22.0,-18,BKN vs. LAC,L,Brooklyn Nets,1.912,3.339,5.1,6.333,6.0,0.3,1,3.111,0,4,7.497,31.323,35.47,28.9,31.08,0,-4.2,0.9,0.9,0.6,148,0,1,1,1,0,0,0,0,5.122,0.162,31.714,31.7,29.0,30.4,0,1.157,9.207,-3.696,-3.1,-10.667,-7.8,0,-0.9,0,5.697,18.786,18.7,16.0,17.4,0.55,0,1.54,3.178,4.25,5.1,3.667,3.4,0.0,0,0.0,-0.445,0.552,2.7,1.3,0.55,8.264,1,0,30.0,33.55,0,48,30.0,30.0,0.0,Off Injury Report
SG/SF,Kelly Oubre Jr. (38239667),Kelly Oubre,38239667,SG/SF/F/G/UTIL,7100,MIA@PHI 03/29/2025 07:30PM ET,PHI,29.71,MIA,PHI,MIA,Kelly Oubre Jr.,22024,1626162,1610612755,22400947,3/12/2025,PHI @ TOR,L,26,5,12,0.417,0,2,0.0,3,6,0.5,2,3,5,0,3,1,0,2,13,-17,31.0,1,3/12/2025,Kelly Oubre Jr.,31.0,-17,PHI @ TOR,L,Philadelphia 76ers,1.776,1.8,1.4,2.667,2.2,0.0,1,0.0,0,3,11.11,29.927,31.14,30.133,30.38,1,-2.9,0.9,0.9,0.8,132,0,0,1,1,1,1,0,0,7.141,0.205,34.717,34.9,26.667,32.4,0,1.083,10.596,-4.3,-11.4,-14.333,-10.8,0,-0.654,0,7.531,15.1,19.6,15.333,18.0,0.5,1,1.238,1.814,6.133,4.2,4.0,3.4,0.192,0,1.25,-0.521,0.531,8.233,2.5,0.5,10.833,2,0,0.0,0.0,0,48,0.0,0.0,0.0,Injured
SF/PF,Andrew Wiggins (38239675),Andrew Wiggins,38239675,SF/PF/F/UTIL,7000,MIA@PHI 03/29/2025 07:30PM ET,MIA,31.61,MIA,PHI,PHI,Andrew Wiggins,22024,203952,1610612748,22401062,3/27/2025,MIA vs. ATL,W,33,6,15,0.4,2,6,0.333,2,2,1.0,1,4,5,3,1,0,3,1,16,14,26.5,1,3/27/2025,Andrew Wiggins,26.5,14,MIA vs. ATL,W,Miami Heat,1.776,2.586,3.4,4.333,3.4,0.091,1,1.038,0,2,13.047,31.217,33.78,41.033,34.1,1,-2.76,1.0,0.9,0.5,147,0,1,1,1,1,1,1,1,4.638,0.149,30.862,31.2,32.0,29.6,0,1.232,13.406,-1.862,-0.8,12.667,4.4,1,0.424,0,9.9,18.172,20.7,22.667,21.2,0.485,1,1.18,1.955,4.448,3.4,4.333,3.0,0.152,0,1.216,0.375,0.681,0.8,1.6,0.485,13.693,3,1,0.0,0.0,0,48,0.0,0.0,0.0,Out
SG/SF,Devin Vassell (38239679),Devin Vassell,38239679,SG/SF/F/G/UTIL,6900,BOS@SAS 03/29/2025 08:00PM ET,SAS,30.17,BOS,SAS,BOS,Devin Vassell,22024,1630170,1610612759,22401059,3/27/2025,SAS @ CLE,L,37,7,15,0.467,4,10,0.4,4,4,1.0,0,3,3,4,1,0,2,5,22,-6,32.6,1,3/27/2025,Devin Vassell,32.6,-6,SAS @ CLE,L,San Antonio Spurs,1.947,2.93,3.3,2.667,3.6,0.108,1,1.481,0,2,5.628,29.889,37.13,37.0,36.96,1,0.4,1.0,1.0,0.9,147,0,0,1,0,1,1,1,2,2.394,0.071,31.088,33.8,33.0,33.8,1,1.548,15.291,-3.947,2.4,7.333,6.2,1,-0.162,4,4.858,16.509,20.4,24.333,20.6,0.595,1,1.897,2.221,3.965,5.4,5.0,4.8,0.081,1,0.6,0.263,0.747,0.8,0.0,0.595,15.481,1,0,32.0,30.35,0,48,32.0,32.0,0.0,
C,Isaiah Hartenstein (38239684),Isaiah Hartenstein,38239684,C/UTIL,6800,IND@OKC 03/29/2025 08:00PM ET,OKC,34.94,IND,OKC,IND,Isaiah Hartenstein,22024,1628392,1610612760,22401064,3/27/2025,OKC vs. MEM,W,29,5,9,0.556,0,1,0.0,8,8,1.0,3,8,11,4,2,2,2,4,18,16,47.2,1,3/27/2025,Isaiah Hartenstein,47.2,16,OKC vs. MEM,W,Oklahoma City Thunder,1.581,3.961,3.5,5.0,4.4,0.138,1,1.857,0,2,9.163,34.522,35.79,40.233,38.72,1,1.14,1.0,0.8,0.4,147,0,1,1,1,1,1,0,1,2.946,0.103,28.333,28.7,29.667,29.2,1,1.577,8.301,7.804,8.7,10.0,13.4,1,0.552,1,5.759,11.412,13.5,12.0,14.4,0.621,1,1.872,2.486,11.039,10.2,10.333,10.6,0.379,0,3.178,0.339,0.398,0.967,0.5,0.621,12.134,3,1,29.0,35.88,0,48,29.0,29.0,0.0,Playing
PG,D'Angelo Russell (38239698),D'Angelo Russell,38239698,PG/G/UTIL,6700,BKN@WAS 03/29/2025 07:00PM ET,BKN,26.72,BKN,WAS,WAS,D'Angelo Russell,22024,1626156,1610612751,22401068,3/28/2025,BKN vs. LAC,L,19,2,7,0.286,1,3,0.333,0,0,0.0,1,1,2,2,2,0,1,1,5,-21,15.4,1,3/28/2025,D'Angelo Russell,15.4,-21,BKN vs. LAC,L,Brooklyn Nets,2.183,5.089,5.1,3.333,5.0,0.105,0,1.037,1,2,12.439,25.945,25.93,19.867,24.74,0,0.16,0.9,0.5,0.1,148,0,1,1,1,0,0,0,0,3.627,0.137,25.625,26.4,25.333,26.4,1,1.099,10.157,-0.089,-5.4,-14.667,-11.2,0,-1.105,0,8.138,12.75,12.0,10.667,12.2,0.263,0,0.7,1.969,2.804,2.9,2.667,3.2,0.105,1,0.651,-0.669,0.384,1.067,0.0,0.263,7.851,3,0,0.0,0.0,0,48,0.0,0.0,0.0,Out
C,Alexandre Sarr (38239686),Alex Sarr,38239686,C/UTIL,6600,BKN@WAS 03/29/2025 07:00PM ET,WAS,29.51,BKN,WAS,BKN,Alexandre Sarr,22024,1642259,1610612764,22401061,3/27/2025,WAS vs. IND,L,28,8,15,0.533,1,4,0.25,5,6,0.833,4,3,7,1,1,1,3,4,22,-27,34.9,1,3/27/2025,Alex Sarr,34.9,-27,WAS vs. IND,L,Washington Wizards,1.16,2.276,2.3,1.667,1.6,0.036,0,0.579,1,1,10.678,29.524,34.55,37.1,31.76,1,-0.98,1.0,0.7,0.3,147,1,1,1,1,1,1,0,5,3.806,0.138,27.086,27.6,30.333,29.2,1,1.273,14.637,-8.552,-8.7,-5.333,-13.0,0,-0.964,3,7.598,13.086,19.2,20.667,17.8,0.786,1,2.22,1.9,6.672,6.5,6.333,6.8,0.25,1,2.484,-0.204,0.687,2.733,1.6,0.786,11.57,1,0,30.0,39.0,0,48,30.0,30.0,0.0,
PG/SG,Stephon Castle (38239688),Stephon Castle,38239688,PG/SG/G/UTIL,6600,BOS@SAS 03/29/2025 08:00PM ET,SAS,25.95,BOS,SAS,BOS,Stephon Castle,22024,1642264,1610612759,22401059,3/27/2025,SAS @ CLE,L,32,9,23,0.391,2,5,0.4,2,6,0.333,7,4,11,8,1,0,3,4,22,-1,47.2,1,3/27/2025,Stephon Castle,47.2,-1,SAS @ CLE,L,San Antonio Spurs,4.104,3.69,4.8,4.333,6.0,0.25,1,2.963,0,2,11.573,25.315,32.7,33.367,37.24,1,2.42,0.9,0.9,0.3,147,0,0,1,1,1,1,1,2,4.526,0.154,25.958,29.4,27.333,28.8,1,1.339,12.118,-1.746,-5.2,-1.667,3.4,1,-0.031,8,5.25,14.197,18.3,18.667,19.0,0.688,1,1.897,3.064,3.338,4.5,6.0,5.2,0.344,1,2.2,-0.038,0.69,2.067,0.6,0.688,13.389,2,0,30.0,31.83,0,48,30.0,30.0,0.0,
C,Myles Turner (38239692),Myles Turner,38239692,C/UTIL,6600,IND@OKC 03/29/2025 08:00PM ET,IND,32.1,IND,OKC,OKC,Myles Turner,22024,1626167,1610612754,22401061,3/27/2025,IND @ WAS,W,21,5,7,0.714,4,6,0.667,3,4,0.75,0,5,5,2,0,0,1,2,17,21,25.0,1,3/27/2025,Myles Turner,25.0,21,IND @ WAS,W,Indiana Pacers,0.699,1.585,1.4,1.333,1.0,0.095,0,0.583,1,1,8.992,32.251,32.62,32.4,38.26,1,-0.24,1.0,0.7,0.3,147,1,0,1,1,1,0,0,0,5.94,0.206,30.585,28.8,28.333,31.4,1,1.225,11.73,3.062,5.6,13.333,11.0,1,1,2,5.06,15.508,15.4,13.333,17.0,0.81,1,1.469,2.644,6.6,7.1,8.667,8.8,0.238,1,1.4,0.532,0.503,0.467,2.6,0.81,8.75,3,1,33.0,32.25,0,48,33.0,33.0,0.0,
PG/SG,Spencer Dinwiddie (38239694),Spencer Dinwiddie,38239694,PG/SG/G/UTIL,6400,DAL@CHI 03/29/2025 08:00PM ET,DAL,22.69,DAL,CHI,CHI,Spencer Dinwiddie,22024,203915,1610612742,22401060,3/27/2025,DAL @ ORL,W,25,2,7,0.286,0,2,0.0,3,4,0.75,0,4,4,4,2,0,4,2,7,-6,19.8,1,3/27/2025,Spencer Dinwiddie,19.8,-6,DAL @ ORL,W,Dallas Mavericks,3.561,4.111,6.3,7.667,8.4,0.16,1,1.905,0,2,13.883,22.328,33.13,32.1,38.6,1,-2.5,1.0,0.9,0.7,147,0,0,1,1,1,0,0,0,5.116,0.15,26.472,34.2,29.667,34.0,1,1.042,11.116,-1.764,-4.7,-3.0,-1.8,0,-0.24,0,8.311,11.028,16.8,12.0,16.8,0.28,1,0.693,1.713,2.472,3.4,3.0,3.0,0.16,1,1.0,-0.087,0.401,4.533,0.2,0.28,10.417,3,1,29.0,26.01,0,48,29.0,29.0,0.0,
PG,Tre Jones (38239701),Tre Jones,38239701,PG/G/UTIL,6300,DAL@CHI 03/29/2025 08:00PM ET,CHI,18.49,DAL,CHI,DAL,Tre Jones,22024,1630200,1610612741,22401013,3/20/2025,CHI @ SAC,W,33,6,10,0.6,1,2,0.5,2,2,1.0,1,3,4,7,2,0,3,3,15,8,33.3,1,3/20/2025,Tre Jones,33.3,8,CHI @ SAC,W,Chicago Bulls,2.261,4.174,7.0,9.333,8.0,0.212,1,1.969,0,1,8.357,18.765,33.46,38.933,37.68,1,1.54,1.0,1.0,0.8,140,1,0,1,1,1,1,1,10,2.503,0.077,19.652,32.6,33.0,33.6,1,1.243,15.039,-0.674,-0.8,2.667,-1.4,0,0.242,12,4.301,7.174,14.5,15.0,16.4,0.455,1,1.055,2.263,2.522,4.3,4.667,4.4,0.121,1,0.9,0.077,0.453,0.4,1.0,0.455,13.808,2,1,0.0,0.0,0,48,0.0,0.0,0.0,Injured
C,Dereck Lively II (38239704),Dereck Lively,38239704,C/UTIL,6300,DAL@CHI 03/29/2025 08:00PM ET,DAL,27.02,DAL,CHI,CHI,Dereck Lively II,22024,1641726,1610612742,22400559,1/14/2025,DAL vs. DEN,L,4,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,4,-4,7.0,1,1/14/2025,Dereck Lively II,7.0,-4,DAL vs. DEN,L,Dallas Mavericks,2.558,2.625,3.1,3.0,2.6,0.0,0,0.0,0,2,13.816,27.912,29.89,30.633,29.7,1,-3.94,0.6,0.6,0.2,80,0,1,1,1,0,0,0,0,9.291,0.389,23.938,23.9,22.0,23.6,0,0.218,12.081,3.875,1.8,5.333,-1.0,0,-1,0,5.4,9.125,9.6,13.0,12.0,1.0,1,0.525,4.638,7.844,8.2,7.333,8.0,0.0,1,0.0,-0.129,0.706,1.9,0.3,1.0,1.674,2,0,0.0,0.0,0,48,0.0,0.0,0.0,Out
C,Nic Claxton (38239709),Nic Claxton,38239709,C/UTIL,6200,BKN@WAS 03/29/2025 07:00PM ET,BKN,27.53,BKN,WAS,WAS,Nic Claxton,22024,1629651,1610612751,22401068,3/28/2025,BKN vs. LAC,L,20,3,7,0.429,0,1,0.0,0,0,0.0,0,5,5,1,0,2,2,2,6,-18,17.5,1,3/28/2025,Nic Claxton,17.5,-18,BKN vs. LAC,L,Brooklyn Nets,1.636,2.231,2.3,1.667,1.8,0.05,0,0.519,0,2,10.52,28.543,28.87,33.367,30.18,1,-0.46,0.9,0.9,0.4,148,0,1,1,1,0,0,0,0,3.765,0.129,27.323,29.2,25.333,27.8,1,1.157,5.599,-7.277,-9.3,-15.0,-12.6,0,-0.9,0,6.077,10.277,11.4,15.667,12.4,0.3,1,0.84,3.596,7.6,8.6,7.667,9.4,0.25,1,1.628,-0.62,0.587,3.867,1.4,0.3,8.264,2,0,0.0,0.0,0,48,0.0,0.0,0.0,Out
PG,Scotty Pippen Jr. (38239706),Scotty Pippen,38239706,PG/G/UTIL,6200,LAL@MEM 03/29/2025 08:00PM ET,MEM,23.76,LAL,MEM,LAL,Scotty Pippen Jr.,22024,1630590,1610612763,22401064,3/27/2025,MEM @ OKC,L,31,5,10,0.5,3,5,0.6,4,4,1.0,1,9,10,7,5,0,7,3,17,-10,47.5,1,3/27/2025,Scotty Pippen Jr.,47.5,-10,MEM @ OKC,L,Memphis Grizzlies,3.02,4.423,5.7,7.333,7.4,0.226,1,3.0,0,2,9.061,23.693,33.49,39.2,39.5,1,2.98,0.9,0.7,0.2,147,0,0,1,1,1,1,1,9,5.099,0.196,20.859,26.0,27.333,28.4,1,1.563,13.62,1.028,3.2,0.333,3.8,1,-0.323,5,4.301,9.563,12.5,16.0,15.4,0.548,1,1.962,2.974,3.394,4.2,6.0,6.0,0.323,1,3.333,0.071,0.59,1.333,2.4,0.548,13.025,2,0,25.0,26.56,0,48,25.0,25.0,0.0,
PF,Santi Aldama (38239711),Santi Aldama,38239711,PF/F/UTIL,6100,LAL@MEM 03/29/2025 08:00PM ET,MEM,28.49,LAL,MEM,LAL,Santi Aldama,22024,1630583,1610612763,22401064,3/27/2025,MEM @ OKC,L,26,3,9,0.333,1,6,0.167,3,4,0.75,0,5,5,5,1,0,0,1,10,-20,26.5,1,3/27/2025,Santi Aldama,26.5,-20,MEM @ OKC,L,Memphis Grizzlies,3.048,2.912,4.2,5.0,3.8,0.192,1,2.143,0,2,10.195,27.786,28.52,26.5,23.7,0,-3.92,1.0,0.7,0.4,147,0,0,0,0,1,1,0,1,5.28,0.189,25.14,27.9,27.0,25.8,1,1.311,14.315,3.982,0.4,-11.667,-5.0,0,-0.769,0,3.967,12.667,12.2,11.667,11.4,0.385,0,1.154,1.969,6.561,6.1,5.0,5.0,0.192,0,1.667,-0.384,0.425,0.9,2.1,0.385,10.924,4,0,29.0,31.94,0,48,29.0,29.0,0.0,
PG/SG,Payton Pritchard (38239714),Payton Pritchard,38239714,PG/SG/G/UTIL,6100,BOS@SAS 03/29/2025 08:00PM ET,BOS,27.3,BOS,SAS,SAS,Payton Pritchard,22024,1630202,1610612738,22401058,3/26/2025,BOS @ PHX,W,25,3,10,0.3,1,8,0.125,0,0,0.0,1,5,6,4,1,0,2,2,7,3,21.2,1,3/26/2025,Payton Pritchard,21.2,3,BOS @ PHX,W,Boston Celtics,1.506,3.375,2.6,3.667,3.4,0.16,1,1.455,0,2,8.487,25.954,23.08,27.167,25.54,0,-3.3,1.0,0.7,0.5,146,0,0,0,0,1,0,0,0,4.417,0.151,28.333,29.2,30.667,31.6,1,1.255,7.486,5.597,5.6,9.0,11.0,1,0.12,0,6.604,14.167,12.5,15.0,14.6,0.28,1,0.636,1.897,3.764,3.4,5.0,4.2,0.24,1,1.5,0.274,0.47,1.467,2.4,0.28,10.46,6,1,0.0,0.0,0,48,0.0,0.0,0.0,Out
PG,Jordan Poole (38239718),Jordan Poole,38239718,PG/G/UTIL,6000,BKN@WAS 03/29/2025 07:00PM ET,WAS,34.76,BKN,WAS,BKN,Jordan Poole,22024,1629673,1610612764,22401061,3/27/2025,WAS vs. IND,L,25,6,13,0.462,4,8,0.5,2,2,1.0,0,0,0,3,2,0,2,1,18,-24,26.5,1,3/27/2025,Jordan Poole,26.5,-24,WAS vs. IND,L,Washington Wizards,2.014,4.524,3.5,3.667,3.2,0.12,0,1.737,1,1,6.987,33.033,24.89,27.7,27.12,0,3.32,0.8,0.4,0.0,147,1,1,1,1,1,0,0,0,5.339,0.227,29.921,23.5,23.0,24.8,0,1.136,14.878,-8.333,-6.7,1.333,-7.4,1,-0.96,0,6.637,20.429,16.4,19.667,20.4,0.72,0,1.817,1.989,3.063,2.2,1.0,1.6,0.0,0,0.0,0.104,0.861,0.5,1.3,0.72,10.331,2,0,24.0,28.33,0,48,24.0,24.0,0.0,
PG/SG,Jared Butler (38239721),Jared Butler,38239721,PG/SG/G/UTIL,6000,MIA@PHI 03/29/2025 07:30PM ET,PHI,16.33,MIA,PHI,MIA,Jared Butler,22024,1630215,1610612755,22401053,3/26/2025,PHI vs. WAS,L,26,5,10,0.5,4,7,0.571,0,0,0.0,1,4,5,4,0,0,0,2,14,1,26.0,1,3/26/2025,Jared Butler,26.0,1,PHI vs. WAS,L,Philadelphia 76ers,1.729,3.235,4.9,3.667,3.8,0.154,1,1.636,0,2,7.242,16.025,25.19,25.967,21.98,1,-2.58,1.0,0.7,0.4,146,0,1,0,0,1,1,0,11,5.185,0.179,15.529,29.0,27.0,26.6,1,0.971,10.082,-1.98,-5.9,0.667,-3.2,0,0.038,3,5.527,7.98,11.9,13.667,10.6,0.538,1,1.105,1.767,1.745,2.7,2.333,2.4,0.192,1,0.957,0.033,0.493,2.0,2.4,0.538,10.788,4,0,31.0,30.75,0,48,33.0,33.0,0.0,
SG/SF,Kevin Huerter (38239725),Kevin Huerter,38239725,SG/SF/F/G/UTIL,5900,DAL@CHI 03/29/2025 08:00PM ET,CHI,19.54,DAL,CHI,DAL,Kevin Huerter,22024,1628989,1610612741,22401063,3/27/2025,CHI vs. LAL,W,40,8,17,0.471,5,10,0.5,0,0,0.0,0,6,6,5,1,0,2,0,21,12,36.7,1,3/27/2025,Kevin Huerter,36.7,12,CHI vs. LAL,W,Chicago Bulls,2.221,2.097,3.4,4.333,4.8,0.125,1,1.364,0,3,10.774,19.361,30.56,29.167,33.68,1,-0.02,1.0,1.0,0.9,147,0,1,0,0,1,1,1,15,2.797,0.081,23.661,34.6,36.667,35.8,1,1.5,10.834,1.113,10.6,12.0,10.6,1,0.3,1,5.181,9.484,15.2,14.667,16.8,0.525,1,1.588,2.946,3.016,4.3,3.333,3.4,0.15,1,1.125,0.331,0.396,2.067,1.2,0.525,16.667,4,1,37.0,34.76,0,48,37.0,37.0,0.0,
SG/SF,Klay Thompson (38239730),Klay Thompson,38239730,SG/SF/F/G/UTIL,5900,DAL@CHI 03/29/2025 08:00PM ET,DAL,24.99,DAL,CHI,CHI,Klay Thompson,22024,202691,1610612742,22401060,3/27/2025,DAL @ ORL,W,26,5,10,0.5,2,4,0.5,0,0,0.0,0,4,4,0,0,0,1,1,12,-7,15.8,1,3/27/2025,Klay Thompson,15.8,-7,DAL @ ORL,W,Dallas Mavericks,2.011,2.077,2.4,1.0,1.2,0.0,0,0.0,0,2,8.996,23.789,24.04,13.5,18.92,0,-0.7,1.0,0.8,0.3,147,0,0,0,0,1,1,0,0,4.458,0.154,27.692,28.9,24.333,27.6,0,1.083,11.217,-0.308,-9.4,-5.333,-3.8,0,-0.269,0,7.824,14.246,15.1,8.667,13.4,0.462,0,1.188,1.932,3.6,4.2,3.333,3.6,0.154,0,1.0,-0.237,0.351,4.567,1.3,0.462,10.833,5,1,25.0,22.38,0,48,25.0,25.0,0.0,
