Position,Name + ID,PLAYER_NAME,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Visitor,Home,Opp,DK Player,SEASON_ID,PLAYER_ID,TEAM_ID,GAME_ID,GAME_DATE,MATCHUP,WL,Minutes Last Game,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE,GAME DATE,PLAYER,DK,PLUS MINUS,MATCH UP,W/L,TEAM,AST_CONSISTENCY,AST_CUM_AVG,AST_LAST_10_AVG,AST_LAST_3_AVG,AST_LAST_5_AVG,AST_PER_MIN,AST_TREND,AST_VS_TEAM_AVG,BLOWOUT_GAME,DAYS_REST,DK_CONSISTENCY,DK_CUM_AVG,DK_LAST_10_AVG,DK_LAST_3_AVG,DK_LAST_5_AVG,DK_TREND,DK_TREND_5,FREQ_ABOVE_20,FREQ_ABOVE_25,FREQ_ABOVE_30,GAME_DAY,IS_B2B,IS_HOME,IS_TOP_3_PROJ,LOW_MIN_TOP_PLAYER,MIN_ABOVE_20,MIN_ABOVE_25,MIN_ABOVE_30,MIN_ABOVE_AVG_STREAK,MIN_CONSISTENCY,MIN_CONSISTENCY_SCORE,MIN_CUM_AVG,MIN_LAST_10_AVG,MIN_LAST_3_AVG,MIN_LAST_5_AVG,MIN_TREND,MIN_VS_TEAM_AVG,PLUS MINUS_CONSISTENCY,PLUS MINUS_CUM_AVG,PLUS MINUS_LAST_10_AVG,PLUS MINUS_LAST_3_AVG,PLUS MINUS_LAST_5_AVG,PLUS MINUS_TREND,PLUS_MINUS_PER_MIN,PTS_ABOVE_AVG_STREAK,PTS_CONSISTENCY,PTS_CUM_AVG,PTS_LAST_10_AVG,PTS_LAST_3_AVG,PTS_LAST_5_AVG,PTS_PER_MIN,PTS_TREND,PTS_VS_TEAM_AVG,REB_CONSISTENCY,REB_CUM_AVG,REB_LAST_10_AVG,REB_LAST_3_AVG,REB_LAST_5_AVG,REB_PER_MIN,REB_TREND,REB_VS_TEAM_AVG,RECENT_IMPACT,RECENT_SCORING_EFF,ROLE_CHANGE_3_10,ROLE_CHANGE_5_10,SCORING_EFFICIENCY,TEAM_MIN_PERCENTAGE,TEAM_PROJ_RANK,WIN,Minutes,Projection,Min Minutes,Max Minutes,Original_Minutes,Predicted_Minutes,Min_Required_Minutes,injury
SG,Desmond Bane (38239615),Desmond Bane,38239615,SG/G/UTIL,8800,LAL@MEM 03/29/2025 08:00PM ET,MEM,37.95,LAL,MEM,LAL,Desmond Bane,22024,1630217,1610612763,22401064,3/27/2025,MEM @ OKC,L,32,1,12,0.083,1,9,0.111,0,0,0.0,1,1,2,6,1,0,3,3,3,-30,14.4,1,3/27/2025,Desmond Bane,14.4,-30,MEM @ OKC,L,Memphis Grizzlies,2.224,5.459,5.5,5.333,4.8,0.188,0,2.571,1,2,15.56,36.566,36.37,25.733,34.36,0,-7.12,1.0,1.0,0.7,147,0,0,1,1,1,1,1,1,4.296,0.129,31.672,33.3,31.667,34.4,1,1.613,20.945,2.754,-4.4,-12.0,-10.2,0,-0.938,0,11.695,18.705,18.9,11.333,19.6,0.094,1,0.346,2.331,6.148,6.1,3.667,4.8,0.062,0,0.667,-0.353,0.366,1.633,1.1,0.094,13.445,1,0,33.0,40.65,0,48,33.0,33.0,0.0,Note
PG/SG,Austin Reaves (38239608),Austin Reaves,38239608,PG/SG/G/UTIL,8700,LAL@MEM 03/29/2025 08:00PM ET,LAL,37.39,LAL,MEM,MEM,Austin Reaves,22024,1630559,1610612747,22401063,3/27/2025,LAL @ CHI,L,37,10,17,0.588,3,9,0.333,7,7,1.0,0,1,1,3,0,2,2,4,30,-10,39.7,1,3/27/2025,Austin Reaves,39.7,-10,LAL @ CHI,L,Los Angeles Lakers,3.199,5.877,6.3,4.0,5.0,0.081,0,0.9,0,1,12.895,35.822,43.91,34.4,36.82,1,-2.34,1.0,1.0,1.0,147,1,0,1,0,1,1,1,3,1.509,0.041,34.708,36.5,36.333,35.8,1,1.393,12.693,2.185,-0.3,-3.667,-3.8,0,-0.27,2,6.027,19.892,25.9,24.0,23.8,0.811,1,2.308,2.541,4.415,5.3,3.667,3.6,0.027,0,0.225,-0.099,0.659,0.167,0.7,0.811,15.481,3,0,36.0,37.13,0,48,36.0,36.0,0.0,Playing
SG/SF,Jaylen Brown (38239618),Jaylen Brown,38239618,SG/SF/F/G/UTIL,8600,BOS@SAS 03/29/2025 08:00PM ET,BOS,39.87,BOS,SAS,SAS,Jaylen Brown,22024,1627759,1610612738,22401058,3/26/2025,BOS @ PHX,W,28,7,15,0.467,4,9,0.444,6,6,1.0,0,3,3,5,1,0,1,4,24,24,37.1,1,3/26/2025,Jaylen Brown,37.1,24,BOS @ PHX,W,Boston Celtics,2.807,4.638,4.1,2.667,3.4,0.179,0,1.818,1,2,12.656,38.784,37.21,25.733,31.66,0,-2.22,1.0,0.9,0.7,146,0,0,1,1,1,1,0,0,6.164,0.181,34.983,34.0,26.0,30.8,0,1.406,7.899,6.379,9.8,10.667,9.4,1,0.857,1,9.678,22.552,20.9,13.667,15.4,0.857,0,2.182,1.889,5.948,5.3,3.667,4.8,0.107,0,0.75,0.398,0.512,8.0,3.2,0.857,11.715,2,1,31.0,34.12,0,48,31.0,31.0,0.0,
SF/PF,Jalen Williams (38239627),Jalen Williams,38239627,SF/PF/F/UTIL,8500,IND@OKC 03/29/2025 08:00PM ET,OKC,40.44,IND,OKC,IND,Jalen Williams,22024,1631114,1610612760,22401064,3/27/2025,OKC vs. MEM,W,29,6,12,0.5,1,1,1.0,7,8,0.875,0,5,5,4,0,0,4,3,20,0,28.0,1,3/27/2025,Jalen Williams,28.0,0,OKC vs. MEM,W,Oklahoma City Thunder,2.163,5.258,6.3,6.0,6.0,0.138,1,1.857,0,17,12.267,40.477,41.65,35.733,38.0,0,-7.04,0.9,0.9,0.8,147,0,1,1,1,1,1,0,0,7.427,0.228,32.548,32.6,27.0,29.6,0,1.577,8.354,6.806,8.3,8.333,11.8,1,0,0,7.63,21.258,23.0,19.333,20.4,0.69,0,2.08,1.886,5.452,5.0,5.333,5.0,0.172,0,1.444,0.34,0.744,5.6,3.0,0.69,12.134,2,1,32.0,39.72,0,48,32.0,32.0,0.0,
PF/C,Bam Adebayo (38239623),Bam Adebayo,38239623,PF/C/F/UTIL,8400,MIA@PHI 03/29/2025 07:30PM ET,MIA,40.18,MIA,PHI,PHI,Bam Adebayo,22024,1628389,1610612748,22401062,3/27/2025,MIA vs. ATL,W,38,4,9,0.444,1,2,0.5,3,4,0.75,0,10,10,4,3,0,3,0,12,22,36.0,1,3/27/2025,Bam Adebayo,36.0,22,MIA vs. ATL,W,Miami Heat,2.936,4.282,4.2,2.333,4.2,0.105,0,1.385,1,2,11.456,39.361,36.6,33.3,37.38,0,0.92,1.0,1.0,0.9,147,0,1,1,0,1,1,1,1,2.807,0.08,34.577,34.9,34.667,35.8,1,1.419,16.186,-0.746,-2.0,15.333,6.8,1,0.579,0,7.989,17.563,16.4,16.667,19.2,0.316,1,0.885,2.749,9.69,8.0,7.333,7.4,0.263,0,2.432,0.429,0.485,0.233,0.9,0.316,15.768,1,1,35.0,45.54,0,35,35.0,35.0,0.0,
C,Kristaps Porzingis (38239634),Kristaps Porzingis,38239634,C/UTIL,8300,BOS@SAS 03/29/2025 08:00PM ET,BOS,37.05,BOS,SAS,SAS,Kristaps Porzingis,22024,204001,1610612738,22401058,3/26/2025,BOS @ PHX,W,29,10,15,0.667,4,5,0.8,6,8,0.75,4,4,8,2,0,2,2,3,30,27,46.6,1,3/26/2025,Kristaps Porziņģis,46.6,27,BOS @ PHX,W,Boston Celtics,1.633,2.027,2.0,3.333,2.6,0.069,1,0.727,1,2,9.994,37.084,37.78,44.733,43.34,1,4.94,1.0,0.8,0.5,146,0,0,1,1,1,1,0,2,3.972,0.132,28.892,30.0,28.333,29.2,1,1.456,13.731,3.622,9.1,12.0,12.2,1,0.931,1,6.657,19.676,21.1,24.333,24.4,1.034,1,2.727,3.51,6.973,6.9,8.667,8.2,0.276,1,2.0,0.415,0.877,1.667,0.8,1.034,12.134,1,1,31.0,41.39,0,48,31.0,31.0,0.0,
PG,Tyler Herro (38239631),Tyler Herro,38239631,PG/G/UTIL,8300,MIA@PHI 03/29/2025 07:30PM ET,MIA,41.18,MIA,PHI,PHI,Tyler Herro,22024,1629639,1610612748,22401062,3/27/2025,MIA vs. ATL,W,38,13,17,0.765,4,6,0.667,6,7,0.857,1,2,3,4,2,0,4,1,36,4,47.6,1,3/27/2025,Tyler Herro,47.6,4,MIA vs. ATL,W,Miami Heat,2.221,5.557,4.4,4.667,4.2,0.105,0,1.385,0,2,13.183,38.873,35.26,43.133,35.46,0,4.9,1.0,0.9,0.8,147,0,1,1,0,1,1,1,5,5.855,0.165,35.614,35.5,38.0,38.0,1,1.419,17.327,0.057,0.3,19.0,14.2,1,0.105,1,9.339,23.586,22.1,28.333,24.4,0.947,1,2.656,1.398,5.186,3.8,4.0,3.8,0.079,0,0.73,0.507,0.743,2.5,2.5,0.947,15.768,2,1,37.0,48.44,0,37,37.0,37.0,0.0,
SF/PF,PJ Washington (38239636),Pj Washington,38239636,SF/PF/F/UTIL,8200,DAL@CHI 03/29/2025 08:00PM ET,DAL,32.76,DAL,CHI,CHI,PJ Washington,22024,1629023,1610612742,22401040,3/24/2025,DAL @ BKN,W,31,7,12,0.583,1,2,0.5,1,1,1.0,1,1,2,5,1,0,0,2,16,8,28.9,1,3/24/2025,P.J. Washington,28.9,8,DAL @ BKN,W,Dallas Mavericks,1.944,2.294,2.0,1.667,1.4,0.161,0,1.471,0,3,12.213,32.371,32.48,33.5,30.98,0,-0.52,0.8,0.8,0.7,144,0,0,0,0,1,1,1,0,8.592,0.281,32.392,30.6,35.667,30.8,0,1.286,12.897,2.216,-3.1,2.667,-3.4,0,0.258,4,10.429,14.804,17.1,23.0,20.4,0.516,1,1.333,3.95,7.882,6.4,3.333,5.4,0.065,0,0.488,0.086,0.637,5.067,0.2,0.516,12.863,4,1,32.0,37.96,0,48,32.0,32.0,0.0,Playing
SG/SF,Coby White (38239640),Coby White,38239640,SG/SF/F/G/UTIL,8100,DAL@CHI 03/29/2025 08:00PM ET,CHI,34.26,DAL,CHI,DAL,Coby White,22024,1629632,1610612741,22401063,3/27/2025,CHI vs. LAL,W,38,9,20,0.45,5,10,0.5,3,4,0.75,1,2,3,9,0,0,2,2,26,-1,41.1,1,3/27/2025,Coby White,41.1,-1,CHI vs. LAL,W,Chicago Bulls,1.838,4.5,4.4,5.0,5.0,0.237,1,2.455,0,3,7.58,32.535,40.16,47.1,43.94,1,1.5,1.0,1.0,1.0,147,0,1,1,0,1,1,1,14,2.394,0.066,33.394,36.2,37.333,37.0,1,1.425,12.023,-2.439,6.1,14.333,8.8,1,-0.026,15,5.731,20.379,28.8,33.0,31.6,0.684,1,1.966,2.214,3.545,4.3,3.0,3.2,0.079,0,0.562,0.399,0.889,1.133,0.8,0.684,15.833,2,1,37.0,41.57,0,48,37.0,37.0,0.0,
PF/C,Jaren Jackson Jr. (38239645),Jaren Jackson,38239645,PF/C/F/UTIL,8000,LAL@MEM 03/29/2025 08:00PM ET,MEM,38.3,LAL,MEM,LAL,Jaren Jackson Jr.,22024,1628991,1610612763,22401064,3/27/2025,MEM @ OKC,L,31,9,21,0.429,5,7,0.714,4,4,1.0,1,1,2,4,0,2,0,4,27,-11,41.4,1,3/27/2025,Jaren Jackson Jr.,41.4,-11,MEM @ OKC,L,Memphis Grizzlies,1.269,2.091,1.5,2.0,2.2,0.129,1,1.714,0,2,15.539,38.785,32.25,35.133,30.5,0,-0.26,0.9,0.8,0.6,147,0,0,1,1,1,1,1,1,9.882,0.352,29.364,28.1,29.667,29.8,1,1.563,13.342,4.773,-3.3,-4.0,-7.0,0,-0.355,1,11.628,22.424,19.9,23.0,19.0,0.871,0,3.115,2.068,5.591,3.5,2.333,3.0,0.065,0,0.667,-0.063,0.785,1.567,1.7,0.871,13.025,3,0,33.0,38.03,0,48,33.0,33.0,0.0,
