Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Tyrese Martin,SG,BKN,dk,6.7,4300,1.6,0,-14,HOU,98.25,209.5,,,,,Proj 👉,1.8,0.4,0.8,0.4,0.0,0.1,0.3,8.0,1134107,37499819
Alex Len,C,SAC,dk,4.9,3000,1.6,0,-10,OKC,115,237.5,,,,,Proj 👉,0.2,0.0,0.3,0.1,0.1,0.0,0.0,5.0,616982,37500227
Joe Ingles,SG,MIN,dk,4.5,3000,1.5,0,-10,WAS,115.25,218.5,,,,,Proj 👉,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8.0,553306,37500031
Doug Mcdermott,SF/PF,SAC,dk,3.9,3000,1.3,0,-11,OKC,115,237.5,,,,,Proj 👉,0.6,0.2,0.1,0.0,0.0,0.0,0.0,6.0,554804,37500260
Taj Gibson,C,CHA,dk,3.7,3300,1.1,0,-12,DEN,106.25,225,,,,,Proj 👉,0.3,0.0,0.4,0.1,0.0,0.1,0.1,5.0,330057,37499942
Aaron Holiday,PG,HOU,dk,3.0,3000,1,0,-12,BKN,111.25,209.5,,,,,Proj 👉,0.4,0.1,0.1,0.1,0.0,0.0,0.1,4.0,884087,37500004
Landry Shamet,SG/SF,NYK,dk,3.0,3200,0.9,0,-13,LAL,118.5,226,,,,,Proj 👉,0.5,0.1,0.1,0.1,0.0,0.1,0.1,6.0,893100,37499963
Adam Flagler,PG,OKC,dk,2.5,3000,0.8,0,-12,SAC,122.5,237.5,,,,,Proj 👉,0.1,0.0,0.1,0.0,0.0,0.0,0.0,4.0,1136581,37500113
Leonard Miller,PF/C,MIN,dk,2.5,3000,0.8,0,-12,WAS,115.25,218.5,,,,,Proj 👉,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.0,1376841,37500037
Alex Ducas,SG,OKC,dk,2.5,3000,0.8,0,-12,SAC,122.5,237.5,,,,,Proj 👉,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1184616,37500110
Pj Hall,C,DEN,dk,2.2,3000,0.7,0,-12,CHA,118.75,225,,,,,Proj 👉,0.1,0.0,0.1,0.0,0.0,0.0,0.0,3.0,1232490,37500212
Reed Sheppard,PG/SG,HOU,dk,2.1,3000,0.7,0,-12,BKN,111.25,209.5,,,,,Proj 👉,0.3,0.1,0.1,0.1,0.0,0.0,0.1,3.0,1465031,37500012
Zeke Nnaji,C,DEN,dk,1.4,3000,0.5,0,-13,CHA,118.75,225,,,,,Proj 👉,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1193676,37500210
Nate Williams,PG/SF,HOU,dk,1.3,3000,0.4,0,-13,BKN,111.25,209.5,,,,,Proj 👉,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1138994,37500007
Anthony Gill,PF/C,WAS,dk,1.3,3000,0.4,0,-13,MIN,103.25,218.5,,,,,Proj 👉,0.1,0.0,0.1,0.0,0.0,0.0,0.0,2.0,604290,37500150
Isaiah Crawford,PF,SAC,dk,0.00,3000,0,0,-15,OKC,115,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176631,37500234
Armel Traore,SF/PF,LAL,dk,0.00,3000,0,0,-15,NYK,107.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373357,37500165
Sidy Cissoko,SG/SF,SAS,dk,0.00,3000,0,0,-15,MIA,109.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1432656,37500085
Mason Jones,SG,SAC,dk,0.00,3000,0,0,-15,OKC,115,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134017,37500246
Charles Bassey,C,SAS,dk,0.00,3000,0,0,-15,MIA,109.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138669,37500002
Victor Wembanyama,C,SAS,dk,0.00,11000,0,0,-55,MIA,109.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373356,37499558
Isaac Jones,PF/C,SAC,dk,0.00,3000,0,0,-15,OKC,115,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403624,37500249
Matt Ryan,SG/SF,NYK,dk,0.00,3000,0,0,-15,LAL,118.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880463,37500046
Ajay Mitchell,PG,OKC,dk,0.00,3000,0,0,-15,SAC,122.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340238,37500120
Dillon Jones,PF,OKC,dk,0.00,3000,0,0,-15,SAC,122.5,237.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231442,37500101
Pacome Dadiet,SG/SF,NYK,dk,0.00,3000,0,0,-15,LAL,118.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500956,37500061
Cody Martin,SG/SF,CHA,dk,0.00,3700,0,0,-18,DEN,106.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842971,37499901
Tyler Kolek,PG,NYK,dk,0.00,3000,0,0,-15,LAL,118.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232325,37500054
Lamelo Ball,PG,CHA,dk,0.00,10000,0,0,-50,DEN,106.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257420,37499570
Tidjane Salaun,PF,CHA,dk,0.00,3000,0,0,-15,DEN,106.25,225,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504463,37500093
Mitchell Robinson,C,NYK,dk,0.00,3900,0,0,-19,LAL,118.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076265,37499875
Christian Koloko,C,LAL,dk,0.00,3800,0,0,-19,NYK,107.5,226,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193674,37499895
Riley Minix,PF,SAS,dk,0.00,3000,0,0,-15,MIA,109.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1482016,37500090
Harrison Ingram,PF,SAS,dk,0.00,3000,0,0,-15,MIA,109.25,221.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326454,37500073
