id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3930,Jokic,Nikola,69.24,DEN,C,SAS,37.00,32.49,1.86,12.16,9.95,1.84,0.69,3.25,10.82,5.27,1.28,12.68,10.87,0.76,0.372,,
6728,Wembanyama,Victor,58.09,SAS,F,@ DEN,36.00,25.52,3.25,11.41,5.18,1.44,3.42,3.84,6.05,3.67,0.71,9.30,10.50,0.65,0.046,,
3640,Davis,Anthony,57.31,LAL,F,ATL,36.00,27.27,0.69,12.66,4.25,1.43,2.34,2.51,9.15,6.90,1.94,9.84,8.40,0.76,0.023,,
6275,Cunningham,Cade,56.29,DET,G,CHA,36.00,27.06,2.56,7.78,10.18,0.89,0.85,3.87,7.34,4.70,0.92,9.90,12.07,0.58,0.180,,
5450,Tatum,Jayson,52.44,BOS,F,@ HOU,38.00,28.98,3.90,9.26,4.84,1.10,0.59,2.96,5.54,6.20,1.43,9.44,11.74,0.49,0.015,,
2011,James,LeBron,50.81,LAL,F,ATL,34.00,23.63,1.98,7.65,9.53,1.03,0.55,4.03,7.07,3.55,1.14,9.05,9.08,0.49,0.152,,
5693,Gilgeous-Alexander,Shai,50.55,OKC,G,NYK,35.00,29.88,2.21,4.81,6.30,1.63,0.88,2.18,8.27,6.71,0.94,10.48,10.09,0.11,0.003,,
6281,Sengun,Alperen,50.15,HOU,C,BOS,37.00,21.56,0.39,12.31,5.50,1.33,1.04,2.57,8.20,3.99,1.27,8.59,8.04,0.76,0.053,,
5433,Sabonis,Domantas,48.93,SAC,C,MEM,34.00,21.21,0.93,13.25,5.48,0.92,0.49,3.43,7.40,3.62,1.24,8.33,6.01,0.80,0.056,,
5301,Murray,Dejounte,47.70,NOR,G,WAS,35.00,20.51,2.34,7.56,8.35,2.10,0.34,3.51,5.44,2.61,0.68,7.78,9.83,0.38,0.118,Probable,
5052,Towns,Karl-Anthony,46.14,NYK,C,@ OKC,34.00,20.24,1.65,13.89,3.12,0.70,0.94,2.99,5.17,4.95,0.90,6.82,7.22,0.80,0.016,,
6285,Barnes,Scottie,45.39,TOR,F,ORL,35.00,20.14,1.86,8.48,7.02,1.32,0.83,4.06,5.50,3.56,1.25,7.36,8.32,0.38,0.118,,
5664,Young,Trae,45.29,ATL,G,@ LAL,35.00,20.57,2.74,3.56,11.60,1.28,0.14,4.70,3.65,5.05,0.78,6.39,9.73,0.65,0.013,,
5452,Fox,De'Aaron,45.09,SAC,G,MEM,36.00,25.56,2.12,5.30,6.04,1.72,0.43,3.40,7.18,4.84,1.33,9.30,10.84,0.11,0.008,,
6295,Johnson,Jalen,42.92,ATL,F,@ LAL,36.00,18.20,1.37,9.37,5.58,1.40,0.84,2.72,6.01,2.07,0.66,7.38,6.46,0.49,0.034,Injured,
5673,Bridges,Miles,42.78,CHA,F,@ DET,35.00,24.02,2.78,7.55,3.91,0.82,0.48,2.03,5.95,3.78,0.64,8.73,10.39,0.31,0.006,Questionable,
6276,Mobley,Evan,42.38,CLE,C,@ DAL,33.00,20.08,1.06,9.51,3.34,1.16,1.44,2.19,6.65,3.60,1.08,7.71,6.24,0.49,0.010,Out,
5345,Murray,Jamal,42.08,DEN,G,SAS,37.00,20.89,2.30,4.94,6.93,1.44,0.73,2.08,5.37,3.25,0.57,7.67,9.31,0.11,0.003,,
5679,Brunson,Jalen,41.01,NYK,G,@ OKC,35.00,24.86,2.41,3.48,6.78,0.71,0.07,2.61,5.71,6.21,1.20,8.12,8.95,0.11,0.002,,
6330,Reaves,Austin,40.86,LAL,G,ATL,36.00,20.20,2.78,4.98,7.70,1.01,0.33,3.35,4.10,3.66,0.75,6.88,7.87,0.31,0.009,,
