id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3930,Jokic,Nikola,65.26,DEN,C,@ SAS,37.00,31.23,1.82,11.62,8.97,1.87,0.65,3.23,10.39,4.99,1.19,12.21,10.83,0.65,0.247,,
6728,Wembanyama,Victor,59.66,SAS,F,DEN,36.00,26.02,3.42,11.92,5.14,1.34,3.73,3.86,6.00,3.76,0.72,9.42,10.13,0.65,0.046,,
3701,Antetokounmpo,Giannis,57.48,MIL,F,POR,34.00,29.69,0.17,10.97,6.47,0.95,1.45,3.14,11.04,7.10,4.20,11.21,7.54,0.58,0.064,,
5052,Towns,Karl-Anthony,54.31,NYK,C,@ CHI,36.00,26.01,2.15,14.13,3.88,0.84,1.00,2.49,7.20,5.16,0.94,9.35,8.48,0.84,0.017,,
6275,Cunningham,Cade,52.55,DET,G,MIN,36.00,24.13,2.62,7.18,10.43,0.92,0.69,4.28,6.31,3.65,0.73,8.93,11.39,0.58,0.180,,
3916,Embiid,Joel,50.64,PHI,C,@ BKN,33.00,25.85,1.44,10.15,4.70,1.16,1.53,3.94,6.93,7.67,1.00,8.37,7.41,0.58,0.017,Injured,
5679,Brunson,Jalen,47.73,NYK,G,@ CHI,37.00,27.37,2.76,3.62,8.68,0.90,0.08,2.23,6.63,5.83,1.14,9.39,9.59,0.38,0.008,,
2718,Durant,Kevin,46.55,PHO,F,@ IND,37.00,28.03,2.44,6.78,4.16,0.96,1.11,3.46,7.55,5.61,1.00,9.99,8.51,0.11,0.003,,
3001,Harden,James,46.50,LAC,G,ATL,34.00,19.77,2.65,7.85,8.53,1.40,0.70,4.65,2.92,5.98,0.79,5.57,8.22,0.38,0.118,,
5664,Young,Trae,44.84,ATL,G,@ LAC,35.00,22.05,2.69,3.25,10.68,1.27,0.13,4.68,4.02,5.94,0.90,6.71,9.61,0.58,0.012,,
5461,Adebayo,Bam,44.40,MIA,C,UTA,33.00,19.37,1.05,10.14,4.78,1.45,0.89,1.89,6.37,3.48,1.21,7.42,8.53,0.58,0.017,,
5698,Jackson Jr.,Jaren,44.28,MEM,C,@ GSW,34.00,24.45,2.04,7.28,2.42,1.52,1.98,2.78,6.54,5.25,1.37,8.58,9.86,0.31,0.003,,
3542,Lillard,Damian,43.79,MIL,G,POR,34.00,22.96,2.94,4.71,7.83,1.12,0.21,2.86,4.07,6.00,0.57,7.01,8.75,0.31,0.009,,
6152,Haliburton,Tyrese,43.44,IND,G,PHO,35.00,19.26,3.20,3.99,9.18,1.21,0.77,1.81,3.61,2.44,0.46,6.81,7.81,0.49,0.010,,
5913,Herro,Tyler,42.38,MIA,G,UTA,36.00,24.62,3.88,5.16,5.73,0.82,0.08,2.28,4.65,3.68,0.54,8.53,9.94,0.07,0.005,,
6147,Edwards,Anthony,41.93,MIN,G,@ DET,37.00,25.01,3.75,5.57,3.82,1.35,0.56,3.15,5.13,3.50,0.70,8.88,11.30,0.07,0.001,,
5354,Siakam,Pascal,41.06,IND,F,PHO,34.00,21.56,1.90,8.31,3.90,0.91,0.27,1.28,6.08,3.70,1.04,7.98,7.88,0.38,0.008,,
5345,Murray,Jamal,40.09,DEN,G,@ SAS,37.00,20.23,2.24,4.69,6.35,1.39,0.72,2.09,5.18,3.15,0.56,7.42,9.10,0.11,0.003,,
6512,Sochan,Jeremy,39.40,SAS,F,DEN,35.00,17.15,0.56,9.90,3.88,1.23,0.79,1.99,6.33,2.81,0.95,6.89,6.20,0.47,0.009,,
3404,Vucevic,Nikola,39.25,CHI,C,NYK,33.00,18.22,1.69,9.93,3.44,0.65,0.66,1.53,5.89,1.37,0.30,7.58,6.93,0.49,0.010,,
6160,Maxey,Tyrese,38.90,PHI,G,@ BKN,38.00,22.49,2.50,3.41,5.34,1.51,0.48,2.41,5.36,4.27,0.78,7.86,9.92,0.07,0.001,,
5048,Russell,D'Angelo,38.57,BKN,G,PHI,33.00,18.72,2.94,3.92,7.81,1.00,0.32,2.70,3.82,2.26,0.39,6.76,8.54,0.31,0.006,Questionable,
6289,Kuminga,Jonathan,38.51,GSW,F,MEM,33.00,22.59,1.56,6.43,2.91,1.06,0.74,2.07,6.57,4.77,2.10,8.13,8.95,0.11,0.001,Injured,
3932,LaVine,Zach,38.32,CHI,G,NYK,35.00,22.72,3.40,4.92,4.54,0.76,0.34,2.61,4.66,3.20,0.66,8.06,8.37,0.03,0.001,,
5361,Zubac,Ivica,37.96,LAC,C,ATL,33.00,14.25,0.00,12.96,2.35,0.69,1.34,2.11,6.15,1.95,1.19,6.15,3.85,0.64,0.006,,
3946,Randle,Julius,37.95,MIN,F,@ DET,35.00,21.24,1.82,7.07,4.10,0.64,0.20,2.73,5.50,4.78,1.20,7.32,7.72,0.31,0.009,,
