id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3930,Jokic,Nikola,65.35,DEN,C,SAC,34.00,28.82,1.68,11.41,10.23,2.00,0.71,2.89,9.24,5.30,1.22,10.92,8.33,0.65,0.377,,
6728,Wembanyama,Victor,61.03,SAS,F,@ IND,36.00,27.85,3.62,12.96,3.72,1.10,3.98,3.52,6.42,4.15,0.68,10.04,9.95,0.76,0.015,,
3701,Antetokounmpo,Giannis,60.93,MIL,F,MIA,36.00,32.19,0.14,12.55,5.88,0.84,1.46,3.47,12.80,6.17,3.93,12.94,8.22,0.76,0.053,,
5693,Gilgeous-Alexander,Shai,56.06,OKC,G,DAL,35.00,32.52,2.07,5.63,6.41,2.22,1.23,2.48,9.37,7.57,0.92,11.44,10.95,0.11,0.008,,
5433,Sabonis,Domantas,50.14,SAC,C,@ DEN,36.00,19.04,0.83,14.21,6.72,0.83,0.48,2.63,6.70,3.15,1.00,7.53,5.59,0.84,0.092,,
3640,Davis,Anthony,50.06,LAL,F,BOS,36.00,23.34,0.61,11.88,3.48,1.19,1.97,1.97,8.29,4.93,1.39,8.90,7.75,0.65,0.013,,
3001,Harden,James,47.88,LAC,G,WAS,34.00,20.52,2.63,8.07,8.54,1.40,0.70,4.11,3.11,6.41,0.85,5.74,8.26,0.38,0.144,,
5450,Tatum,Jayson,46.58,BOS,F,@ LAL,36.00,24.18,3.26,8.52,5.10,1.07,0.46,2.47,5.03,4.34,0.99,8.29,9.24,0.38,0.027,,
5664,Young,Trae,46.48,ATL,G,TOR,35.00,23.22,2.91,2.99,10.61,1.45,0.23,4.19,4.01,6.47,1.03,6.92,10.48,0.58,0.006,,
2011,James,LeBron,46.34,LAL,F,BOS,34.00,21.97,2.08,7.10,8.25,0.87,0.50,3.17,6.42,2.89,0.88,8.50,8.91,0.38,0.118,,
2999,Curry,Stephen,46.17,GSW,G,CHI,34.00,24.89,4.57,5.32,6.89,1.05,0.52,2.64,3.65,3.88,0.28,8.22,9.83,0.11,0.008,,
