id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3930,Jokic,Nikola,62.12,DEN,C,@ ORL,37.00,28.97,1.57,11.20,9.03,1.75,0.59,3.58,9.41,5.44,1.29,10.98,8.90,0.65,0.319,,
3701,Antetokounmpo,Giannis,61.20,MIL,F,PHI,35.00,31.78,0.12,12.17,6.45,0.85,1.72,4.12,12.25,6.92,4.34,12.37,6.93,0.76,0.084,,
6728,Wembanyama,Victor,58.15,SAS,F,@ MIA,36.00,25.01,3.35,12.60,3.96,1.14,4.01,3.42,5.92,3.12,0.51,9.27,9.05,0.76,0.015,,
5693,Gilgeous-Alexander,Shai,57.41,OKC,G,BKN,35.00,34.16,1.99,5.55,6.81,1.92,1.25,2.85,9.79,8.61,1.08,11.78,9.65,0.11,0.008,,
5433,Sabonis,Domantas,57.13,SAC,C,WAS,36.00,21.93,1.01,16.49,7.07,0.72,0.58,2.66,7.96,2.98,0.98,8.97,6.08,0.91,0.282,,
3640,Davis,Anthony,51.75,LAL,F,@ LAC,36.00,25.01,0.63,11.11,3.74,1.45,2.11,2.42,8.41,6.30,1.78,9.04,8.34,0.65,0.013,,
6160,Maxey,Tyrese,49.99,PHI,G,@ MIL,38.00,31.90,4.17,3.48,5.69,1.72,0.36,2.29,6.69,6.01,0.99,10.86,14.51,0.07,0.001,,
5452,Fox,De'Aaron,49.17,SAC,G,WAS,37.00,27.12,2.19,6.13,6.93,1.71,0.45,3.24,7.60,5.35,1.43,9.79,10.07,0.11,0.012,,
5458,Monk,Malik,45.85,SAC,G,WAS,37.00,22.42,3.06,5.05,8.17,1.28,0.71,2.59,4.73,3.78,0.53,7.79,9.51,0.38,0.027,,
3001,Harden,James,44.49,LAC,G,LAL,34.00,20.27,2.69,6.95,7.98,1.34,0.55,4.26,3.21,5.78,0.77,5.90,8.86,0.31,0.034,,
6500,Banchero,Paolo,43.69,ORL,F,DEN,30.00,25.15,1.88,6.51,5.35,0.64,0.60,2.47,6.64,6.23,2.31,8.52,9.03,0.11,0.008,,
3542,Lillard,Damian,42.99,MIL,G,PHI,35.00,22.71,3.29,4.58,7.65,1.10,0.21,3.35,3.72,5.40,0.49,7.01,8.55,0.31,0.009,,
2011,James,LeBron,42.67,LAL,F,@ LAC,34.00,20.27,1.77,6.87,7.60,0.99,0.44,3.79,6.16,2.64,0.84,7.93,8.16,0.31,0.034,,
5913,Herro,Tyler,42.03,MIA,G,SAS,36.00,22.79,3.71,6.10,6.06,0.77,0.07,2.42,4.21,3.24,0.48,7.92,9.26,0.11,0.012,,
