TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612752,New York Knicks,45,29,16,0.644,2170.0,117.1,118.9,111.3,112.9,5.8,6.0,0.627,2.05,19.5,0.298,0.719,0.514,0.135,0.568,0.601,99.1,97.65,81.37,4416,0.536,2,5,6,6,4,2,15,6,18,6,11,13,7,6,6,3,3,25,5
1610612760,Oklahoma City Thunder,44,36,8,0.818,2112.0,114.0,116.0,101.8,103.7,12.3,12.3,0.6,2.16,18.7,0.268,0.687,0.481,0.12,0.549,0.582,102.3,100.5,83.75,4421,0.561,11,1,1,1,19,6,1,1,25,3,15,24,28,27,1,11,11,8,1
1610612753,Orlando Magic,46,23,23,0.5,2208.0,104.3,107.0,105.8,107.9,-1.6,-0.8,0.623,1.56,17.3,0.306,0.732,0.505,0.155,0.503,0.542,98.9,96.64,80.53,4443,0.493,1,13,20,17,1,29,4,17,19,25,26,9,2,11,20,30,28,30,20
1610612755,Philadelphia 76ers,43,16,27,0.372,2084.0,108.2,110.2,112.6,115.0,-4.4,-4.8,0.579,1.6,16.7,0.275,0.688,0.473,0.143,0.524,0.563,99.1,97.12,80.93,4217,0.461,21,24,23,24,22,24,23,23,29,22,29,22,27,30,13,23,22,28,26
1610612756,Phoenix Suns,43,22,21,0.512,2074.0,112.9,113.7,113.3,114.9,-0.4,-1.1,0.675,1.97,19.8,0.258,0.705,0.49,0.14,0.556,0.592,99.6,98.51,82.09,4256,0.507,21,17,12,16,24,12,22,18,6,11,7,28,18,22,12,7,6,22,15
1610612757,Portland Trail Blazers,45,17,28,0.378,2160.0,105.7,108.7,113.8,115.9,-8.1,-7.2,0.58,1.42,16.7,0.318,0.671,0.489,0.165,0.517,0.549,101.6,99.27,82.72,4462,0.453,2,23,24,23,9,27,25,27,28,29,28,5,29,24,28,25,25,18,28
1610612758,Sacramento Kings,44,23,21,0.523,2137.0,113.4,115.5,110.7,112.6,2.7,2.9,0.615,2.04,18.8,0.283,0.73,0.506,0.129,0.543,0.58,102.0,100.2,83.5,4454,0.514,11,13,12,13,11,7,14,11,21,7,14,19,3,10,3,14,14,9,10
1610612759,San Antonio Spurs,43,20,23,0.465,2074.0,110.0,111.7,111.2,113.6,-1.1,-1.8,0.705,1.94,20.1,0.288,0.704,0.5,0.148,0.536,0.57,101.5,99.59,82.99,4309,0.507,21,21,20,21,24,18,19,20,1,12,4,15,20,14,18,19,19,14,14
1610612761,Toronto Raptors,44,12,32,0.273,2127.0,108.3,110.4,115.0,117.0,-6.7,-6.6,0.688,1.81,19.9,0.315,0.691,0.502,0.159,0.535,0.563,101.9,100.04,83.37,4430,0.471,11,26,27,26,14,22,27,25,4,16,5,6,26,13,24,20,21,11,23
1610612762,Utah Jazz,42,10,32,0.238,2026.0,108.4,111.0,116.1,117.8,-7.7,-6.8,0.628,1.39,17.7,0.325,0.71,0.519,0.178,0.536,0.573,101.9,99.94,83.29,4219,0.463,27,29,27,29,27,21,29,26,17,30,24,3,14,3,30,18,17,13,24
1610612764,Washington Wizards,43,6,37,0.14,2069.0,102.6,104.5,116.9,118.3,-14.3,-13.8,0.629,1.54,17.5,0.272,0.693,0.478,0.157,0.507,0.54,104.5,102.94,85.78,4432,0.426,21,30,30,30,26,30,30,30,16,26,25,23,25,29,21,29,30,4,30
