id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3930,Jokic,Nikola,68.18,DEN,C,PHI,37.00,30.39,1.74,12.17,10.70,1.69,0.81,3.60,9.78,5.61,1.31,11.52,8.75,0.76,0.441,,
3640,Davis,Anthony,59.91,LAL,F,WAS,36.00,29.93,0.75,13.22,4.01,1.20,2.21,2.05,10.30,7.08,2.00,11.05,8.73,0.80,0.024,,
2011,James,LeBron,50.99,LAL,F,WAS,34.00,23.96,1.98,7.74,9.09,0.96,0.61,3.20,7.21,3.60,1.11,9.19,8.94,0.49,0.152,,
6500,Banchero,Paolo,49.61,ORL,F,@ TOR,31.00,28.68,2.01,7.40,5.76,0.79,0.75,3.15,7.21,8.23,3.11,9.22,9.90,0.31,0.022,,
5052,Towns,Karl-Anthony,49.16,NYK,C,@ BKN,34.00,22.33,1.77,13.75,3.52,0.94,0.86,2.75,6.11,4.80,0.87,7.88,6.03,0.80,0.016,,
6160,Maxey,Tyrese,46.17,PHI,G,@ DEN,38.00,27.91,3.49,2.77,6.58,1.69,0.41,2.38,6.35,4.74,0.81,9.84,13.08,0.11,0.001,,
5679,Brunson,Jalen,44.53,NYK,G,@ BKN,37.00,26.30,2.17,3.06,8.15,0.91,0.07,2.92,6.68,6.43,1.30,8.85,8.66,0.38,0.008,,
6285,Barnes,Scottie,43.22,TOR,F,ORL,36.00,19.83,1.43,8.40,5.70,1.53,0.86,3.60,6.19,3.16,1.11,7.62,8.53,0.38,0.027,,
6330,Reaves,Austin,41.07,LAL,G,WAS,36.00,20.74,2.91,4.70,7.46,1.06,0.32,2.89,4.04,3.93,0.79,6.95,7.82,0.31,0.009,,
3111,George,Paul,39.15,PHI,F,@ DEN,35.00,19.49,2.81,5.77,5.02,1.73,0.54,2.30,4.25,2.56,0.45,7.06,8.81,0.07,0.005,Off Injury Report,
6057,Barrett,R.J.,39.07,TOR,G,ORL,34.00,20.61,1.57,7.08,5.30,0.80,0.34,3.87,5.89,4.12,1.71,7.46,8.58,0.31,0.022,,
5461,Adebayo,Bam,39.04,MIA,C,POR,32.00,15.22,0.65,9.19,5.16,1.39,0.85,1.88,5.10,3.07,1.12,5.75,6.72,0.43,0.030,,
5345,Murray,Jamal,37.50,DEN,G,PHI,34.00,19.22,2.04,4.13,6.25,1.31,0.54,2.31,4.98,3.14,0.50,7.02,7.87,0.11,0.003,,
5476,Hart,Josh,36.83,NYK,G,@ BKN,38.00,13.11,1.29,9.11,5.50,1.45,0.43,1.99,3.42,2.40,0.57,4.71,4.52,0.39,0.027,,
5355,Poeltl,Jakob,35.56,TOR,C,ORL,33.00,13.85,0.00,10.48,2.61,1.13,1.42,2.23,6.01,1.83,1.13,6.01,3.79,0.46,0.005,,
5675,Carter Jr.,Wendell,35.54,ORL,C,@ TOR,32.00,14.12,1.21,9.87,3.10,1.10,0.86,1.46,3.97,2.55,1.17,5.18,5.12,0.41,0.008,,
3357,Butler,Jimmy,34.97,MIA,F,POR,32.00,17.76,0.50,5.28,5.23,1.27,0.28,1.39,5.16,5.94,1.16,5.66,4.80,0.07,0.005,Suspended,
5936,Poole,Jordan,34.18,WAS,G,@ LAL,32.00,20.38,3.38,2.79,4.75,1.37,0.30,3.77,3.26,3.72,0.56,6.64,9.23,0.03,0.000,,
6154,Avdija,Deni,33.71,POR,F,@ MIA,34.00,16.09,1.87,7.44,3.39,0.88,0.71,2.64,3.67,3.14,0.95,5.54,6.17,0.28,0.006,,
2872,Westbrook,Russell,32.87,DEN,G,PHI,28.00,13.16,1.25,4.42,7.31,1.37,0.56,3.31,3.63,2.15,1.13,4.88,5.57,0.25,0.007,,
5048,Russell,D'Angelo,31.62,BKN,G,NYK,28.00,15.93,2.64,3.00,6.13,0.82,0.27,1.81,3.09,1.83,0.29,5.73,7.09,0.10,0.002,Questionable,
5682,Porter Jr.,Michael,31.57,DEN,F,PHI,31.00,16.42,1.90,6.80,2.69,0.55,0.53,1.30,4.47,1.78,0.62,6.37,5.32,0.10,0.001,,
