PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
T.J. McConnell (37314747),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Pascal Siakam (37314586),Isaiah Hartenstein (37314589),Reggie Jackson (37315014),Kevin Durant (37314500),Domantas Sabonis (37314489),317.4306901041667,352.0802777495165,49700,100.00%,0,82.34%,0,209.32,$2.47,PHI 3,IND 2,user6,45,marvalshot,14363,4610083425_6
Shai Gilgeous-Alexander (37314483),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Jalen Williams (37314545),Clint Capela (37314733),Trae Young (37314486),Bogdan Bogdanovic (37314767),Reggie Jackson (37315014),306.35157118055554,342.3707075304441,49800,99.67%,0,48.34%,0,209.76999999999998,$1.45,PHI 3,ATL 3,user17,28,marvalshot,14381,4610083426_17
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Bogdan Bogdanovic (37314767),Guerschon Yabusele (37314668),Jarrett Allen (37314610),T.J. McConnell (37314747),Giannis Antetokounmpo (37314476),De'Aaron Fox (37314538),301.82256944444447,337.8764052601272,50000,78.71%,0,-61.16%,0,204.81,$-1.83,PHI 3,ATL 1,user4,48,marvalshot,4938,4610083427_4
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Evan Mobley (37314541),Domantas Sabonis (37314489),Vit Krejci (37314903),Giannis Antetokounmpo (37314476),Clint Capela (37314733),304.2661241319445,342.30845397616906,49800,97.25%,0,6.3%,0,225.66,$0.19,PHI 3,ATL 2,user14,16,marvalshot,14401,4610083428_14
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Jalen Williams (37314545),Giannis Antetokounmpo (37314476),Andrew Nembhard (37314690),Pascal Siakam (37314586),D'Angelo Russell (37314676),341.25784722222227,376.4848026825782,49500,100.00%,98974,670.8%,0,242.09,$20.12,PHI 3,IND 2,user1,1,marvalshot,14422,4610083429_1
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Pascal Siakam (37314586),Myles Turner (37314638),Damian Lillard (37314526),Kevin Durant (37314500),Isaiah Hartenstein (37314589),322.4468012152778,354.5451748857395,49900,100.00%,0,101.07%,0,202.94,$3.03,PHI 3,IND 2,user3,45,marvalshot,14445,4610083430_3
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Bogdan Bogdanovic (37314767),Ricky Council IV (37315019),Guerschon Yabusele (37314668),Trae Young (37314486),Giannis Antetokounmpo (37314476),Jarrett Allen (37314610),320.2191840277778,356.81614547999425,50000,100.00%,0,97.02%,0,239.37,$2.91,PHI 4,ATL 2,user3,49,marvalshot,14448,4610083431_3
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Justin Edwards (37314989),Ricky Council IV (37315019),Giannis Antetokounmpo (37314476),Shai Gilgeous-Alexander (37314483),Pascal Siakam (37314586),Dereck Lively II (37314652),324.5289019097223,362.84526574563677,50000,100.00%,0,108.05%,0,230.21000000000004,$3.24,PHI 4,MIL 1,user10,42,marvalshot,14450,4610083432_10
T.J. McConnell (37314747),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Pascal Siakam (37314586),Isaiah Hartenstein (37314589),Reggie Jackson (37315014),Kevin Durant (37314500),Domantas Sabonis (37314489),317.4306901041667,352.0802777495165,49700,100.00%,0,82.34%,0,209.32,$2.47,PHI 3,IND 2,user7,45,marvalshot,14363,4610083425_7
Shai Gilgeous-Alexander (37314483),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Jalen Williams (37314545),Clint Capela (37314733),Trae Young (37314486),Bogdan Bogdanovic (37314767),Reggie Jackson (37315014),306.35157118055554,342.3707075304441,49800,99.67%,0,48.34%,0,209.76999999999998,$1.45,PHI 3,ATL 3,user23,28,marvalshot,14381,4610083426_23
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Bogdan Bogdanovic (37314767),Guerschon Yabusele (37314668),Jarrett Allen (37314610),T.J. McConnell (37314747),Giannis Antetokounmpo (37314476),De'Aaron Fox (37314538),301.82256944444447,337.8764052601272,50000,78.71%,0,-61.16%,0,204.81,$-1.83,PHI 3,ATL 1,user5,48,marvalshot,4938,4610083427_5
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Evan Mobley (37314541),Clint Capela (37314733),Vit Krejci (37314903),Giannis Antetokounmpo (37314476),Domantas Sabonis (37314489),304.2661241319444,342.308453976169,49800,97.25%,0,6.3%,0,225.66,$0.19,PHI 3,ATL 2,user35,16,marvalshot,14401,4610083428_35
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Jalen Williams (37314545),Domantas Sabonis (37314489),Andrew Nembhard (37314690),Pascal Siakam (37314586),CJ McCollum (37314563),340.04784722222223,371.72848785662075,49800,100.00%,91389,513.8%,0,206.83,$15.41,PHI 3,IND 2,user17,1,marvalshot,14438,4610083429_17
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Pascal Siakam (37314586),Myles Turner (37314638),Damian Lillard (37314526),Kevin Durant (37314500),Isaiah Hartenstein (37314589),322.4468012152778,354.5451748857395,49900,100.00%,0,101.07%,0,202.94,$3.03,PHI 3,IND 2,user6,45,marvalshot,14445,4610083430_6
