id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3640,Davis,Anthony,51.13,LAL,F,@ HOU,36.00,24.50,0.55,11.58,3.53,1.20,2.10,2.06,8.23,6.39,1.80,8.78,8.04,0.65,0.013,,
5693,Gilgeous-Alexander,Shai,50.96,OKC,G,BOS,35.00,29.77,2.06,5.51,5.73,1.74,1.10,2.24,8.45,6.69,0.90,10.51,9.92,0.07,0.005,,
5433,Sabonis,Domantas,49.67,SAC,C,@ GSW,36.00,20.42,0.90,13.68,6.13,0.84,0.53,3.40,7.08,3.56,1.18,7.98,5.88,0.80,0.088,,
6281,Sengun,Alperen,49.55,HOU,C,LAL,35.00,21.12,0.36,11.74,6.06,1.20,1.03,2.32,8.15,3.74,1.19,8.51,7.45,0.65,0.072,,
5450,Tatum,Jayson,49.41,BOS,F,@ OKC,37.00,25.58,3.37,9.93,4.88,1.09,0.48,3.01,5.07,5.33,1.24,8.44,10.88,0.49,0.015,,
6145,Ball,LaMelo,49.03,CHA,G,@ CLE,35.00,28.10,4.45,4.99,7.63,1.15,0.19,4.30,5.49,3.77,0.64,9.94,12.74,0.31,0.009,Questionable,
5301,Murray,Dejounte,46.37,NOR,G,@ WAS,35.00,19.99,2.26,7.49,7.96,2.08,0.39,3.50,5.32,2.57,0.65,7.58,9.58,0.31,0.096,Probable,
6115,Bitadze,Goga,45.05,ORL,C,UTA,33.00,18.79,0.24,11.53,2.67,1.30,2.47,1.60,7.72,2.63,1.28,7.96,5.20,0.64,0.006,Questionable,
6276,Mobley,Evan,44.09,CLE,C,CHA,33.00,20.11,1.05,9.96,3.65,1.19,1.81,2.47,6.79,3.38,1.01,7.84,5.98,0.49,0.010,Out,
2011,James,LeBron,43.44,LAL,F,@ HOU,34.00,21.50,2.01,6.57,7.60,0.82,0.54,3.92,6.26,2.95,0.92,8.27,8.68,0.31,0.034,,
2999,Curry,Stephen,41.98,GSW,G,SAC,34.00,23.07,4.19,4.59,6.54,0.83,0.44,2.90,3.38,3.74,0.30,7.57,8.82,0.11,0.003,,
5460,Mitchell,Donovan,41.95,CLE,G,CHA,33.00,23.19,3.47,4.95,5.24,1.49,0.47,2.11,4.68,3.42,0.75,8.15,9.86,0.07,0.002,,
6518,Williams,Jalen,41.17,OKC,G,BOS,35.00,21.66,2.16,5.72,5.21,1.48,0.71,2.06,6.32,2.54,0.65,8.48,9.21,0.07,0.005,,
6112,Garland,Darius,39.38,CLE,G,CHA,32.00,21.10,2.84,3.14,7.10,1.27,0.23,2.39,4.58,3.42,0.47,7.42,8.69,0.31,0.006,,
5266,Brown,Jaylen,39.29,BOS,F,@ OKC,37.00,21.74,2.00,6.48,4.24,1.30,0.43,3.09,6.07,3.60,1.41,8.07,9.66,0.11,0.003,,
5458,Monk,Malik,38.22,SAC,G,@ GSW,36.00,20.47,3.04,4.16,5.99,0.83,0.64,2.02,4.33,2.69,0.42,7.37,9.39,0.07,0.002,,
6330,Reaves,Austin,37.46,LAL,G,@ HOU,37.00,19.81,2.82,4.54,6.29,0.92,0.29,2.92,3.98,3.39,0.71,6.80,8.30,0.11,0.003,,
6290,Murphy,Trey,37.41,NOR,F,@ WAS,35.00,21.85,3.27,4.93,3.04,1.19,0.67,1.12,4.10,3.84,0.53,7.37,9.07,0.03,0.001,,
6162,Anthony,Cole,37.07,ORL,G,UTA,29.00,18.74,2.19,4.92,5.71,1.14,0.61,2.18,4.44,3.29,0.71,6.63,9.20,0.07,0.002,Questionable,
5489,Hartenstein,Isaiah,36.81,OKC,C,BOS,32.00,12.34,0.11,11.97,3.50,0.82,1.29,1.58,5.32,1.37,0.62,5.43,3.73,0.49,0.010,Injured,
3006,DeRozan,DeMar,36.80,SAC,G,@ GSW,37.00,23.57,0.78,4.08,3.65,1.17,0.41,1.89,7.71,5.81,1.05,8.49,9.08,0.03,0.001,,
3723,McCollum,C.J.,36.15,NOR,G,@ WAS,34.00,21.37,3.37,4.30,3.63,1.04,0.53,1.83,4.60,2.06,0.59,7.97,9.37,0.03,0.001,,
5468,Allen,Jarrett,35.82,CLE,C,CHA,31.00,14.04,0.00,11.36,2.23,1.03,1.00,1.33,5.71,2.62,0.93,5.71,2.59,0.55,0.005,,
5356,VanVleet,Fred,35.74,HOU,G,LAL,37.00,16.19,2.65,4.06,6.45,1.65,0.41,1.61,2.97,2.30,0.48,5.62,8.89,0.10,0.003,,
