id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3367,Harris,Tobias,28.37,DET,F,@ NYK,33.00,13.52,1.56,5.84,2.63,0.75,0.88,1.04,3.62,1.60,0.23,5.18,5.73,0.06,0.001,,
6507,Duren,Jalen,28.36,DET,C,@ NYK,28.00,10.10,0.00,9.85,2.31,0.47,1.10,2.19,4.10,1.90,0.86,4.10,2.20,0.28,0.003,,
5700,DiVincenzo,Donte,28.09,MIN,G,@ WAS,28.00,12.87,3.06,4.17,3.94,1.48,0.24,1.82,1.30,1.09,0.23,4.36,5.60,0.02,0.000,Injured,
5473,Kuzma,Kyle,27.92,WAS,F,MIN,29.00,16.01,1.43,5.33,2.38,0.61,0.44,2.47,4.99,1.74,0.68,6.42,7.58,0.06,0.001,,
3377,Leonard,Kawhi,27.67,LAC,F,MIA,22.00,14.82,1.25,4.72,2.68,0.96,0.50,1.30,4.27,2.53,0.34,5.52,5.45,0.03,0.000,,
5427,Beasley,Malik,26.98,DET,G,@ NYK,31.00,17.38,4.00,2.95,1.78,0.81,0.06,1.02,2.23,0.92,0.40,6.23,8.19,0.01,0.000,,
5364,Hield,Buddy,26.76,GSW,G,@ TOR,30.00,16.07,3.50,3.81,1.35,0.98,0.47,1.55,2.30,0.97,0.14,5.80,7.29,0.02,0.000,,
6521,Jovic,Nikola,26.53,MIA,F,@ LAC,31.00,11.76,1.69,5.43,3.11,1.15,0.39,1.36,2.46,1.77,0.39,4.15,5.07,0.05,0.001,,
6746,Coulibaly,Bilal,26.09,WAS,F,MIN,32.00,11.47,1.01,5.12,2.99,1.34,0.73,1.96,3.14,2.16,0.61,4.15,5.34,0.05,0.000,,
5491,Brooks,Dillon,25.95,HOU,G,MEM,35.00,14.58,2.37,4.24,1.98,0.98,0.24,1.12,2.80,1.87,0.31,5.17,7.87,0.03,0.000,,
3674,Schroder,Dennis,25.92,GSW,G,@ TOR,30.00,14.12,1.88,2.63,4.36,0.87,0.19,2.25,3.02,2.44,0.40,4.90,6.66,0.03,0.000,,
6188,McDaniels,Jaden,25.87,MIN,F,@ WAS,31.00,11.09,1.38,5.65,1.86,1.48,0.89,1.15,3.01,0.93,0.36,4.39,5.73,0.05,0.000,,
