id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6728,Wembanyama,Victor,66.63,SAS,F,MEM,36.00,30.62,4.15,12.75,4.02,1.43,5.04,4.37,6.95,4.27,0.70,11.10,11.91,0.76,0.023,,
3930,Jokic,Nikola,62.64,DEN,C,@ MIA,37.00,27.58,1.65,12.44,9.01,1.59,0.56,2.78,9.20,4.23,1.05,10.85,8.14,0.76,0.372,,
3701,Antetokounmpo,Giannis,61.51,MIL,F,TOR,35.00,31.72,0.12,12.18,6.35,0.99,1.69,3.55,12.21,6.94,4.38,12.33,7.38,0.76,0.084,,
6145,Ball,LaMelo,60.16,CHA,G,@ CHI,38.00,32.21,4.83,6.72,9.66,1.52,0.30,3.78,6.72,4.28,0.74,11.55,14.36,0.49,0.054,Questionable,
2011,James,LeBron,51.52,LAL,F,BKN,34.00,26.31,2.30,7.25,8.69,0.88,0.56,3.68,7.79,3.83,1.21,10.09,9.03,0.38,0.118,,
5450,Tatum,Jayson,50.46,BOS,F,ORL,37.00,25.52,3.40,10.05,5.06,1.33,0.51,3.16,4.86,5.60,1.31,8.26,9.73,0.58,0.041,,
5679,Brunson,Jalen,49.95,NYK,G,MIN,37.00,30.80,2.94,3.32,8.02,1.05,0.07,2.66,7.54,6.90,1.38,10.48,11.63,0.38,0.008,,
6518,Williams,Jalen,46.09,OKC,G,@ DAL,34.00,25.05,2.12,5.81,5.85,1.72,0.74,2.20,7.58,3.53,0.86,9.70,10.96,0.07,0.005,,
6285,Barnes,Scottie,45.32,TOR,F,@ MIL,38.00,20.86,1.51,8.50,6.08,1.63,0.89,3.56,6.68,2.97,1.05,8.19,10.08,0.38,0.042,,
6147,Edwards,Anthony,43.54,MIN,G,@ NYK,38.00,26.74,4.09,5.35,4.18,1.18,0.48,3.26,5.13,4.21,0.86,9.22,11.45,0.07,0.002,,
6121,Williamson,Zion,43.47,NOR,F,UTA,30.00,24.39,0.24,6.41,5.40,1.06,0.92,2.61,8.90,5.87,2.42,9.14,7.07,0.11,0.008,Out,
5301,Murray,Dejounte,43.15,NOR,G,UTA,35.00,16.67,1.35,6.18,9.07,2.23,0.41,3.24,5.13,2.36,0.53,6.48,8.17,0.45,0.049,Probable,
3404,Vucevic,Nikola,42.46,CHI,C,CHA,33.00,18.60,1.77,11.19,3.77,0.80,0.79,1.71,5.91,1.47,0.36,7.68,7.17,0.64,0.013,,
6164,Bane,Desmond,42.45,MEM,G,@ SAS,34.00,23.04,3.07,6.25,5.29,1.16,0.42,2.45,5.44,2.95,0.44,8.51,9.37,0.11,0.008,,
5698,Jackson Jr.,Jaren,42.23,MEM,C,@ SAS,33.00,22.72,1.81,7.49,2.44,1.56,1.60,2.43,6.48,4.33,1.18,8.29,9.37,0.31,0.003,,
6511,Williams,Mark,42.01,CHA,C,@ CHI,31.00,18.20,0.00,11.75,2.74,0.87,1.44,1.18,7.51,3.18,1.23,7.51,3.69,0.64,0.006,,
6057,Barrett,R.J.,41.96,TOR,G,@ MIL,36.00,22.53,1.64,7.54,5.46,0.69,0.42,3.51,6.70,4.21,1.75,8.34,9.53,0.31,0.022,,
6330,Reaves,Austin,41.83,LAL,G,BKN,36.00,22.14,3.01,4.44,7.57,0.90,0.30,3.23,4.45,4.21,0.91,7.46,8.59,0.31,0.009,,
3542,Lillard,Damian,41.58,MIL,G,TOR,35.00,22.59,3.05,4.38,6.87,1.27,0.23,2.98,3.63,6.18,0.60,6.68,9.11,0.11,0.003,,
5913,Herro,Tyler,41.12,MIA,G,DEN,36.00,23.38,3.57,5.24,6.00,0.65,0.08,2.49,4.65,3.37,0.50,8.22,9.73,0.11,0.008,,
5673,Bridges,Miles,40.75,CHA,F,@ CHI,36.00,21.29,2.37,8.15,4.09,0.67,0.47,1.87,5.60,2.98,0.51,7.97,9.75,0.38,0.011,Questionable,
3932,LaVine,Zach,39.81,CHI,G,CHA,35.00,23.62,3.03,5.01,5.02,0.82,0.34,3.12,5.36,3.81,0.80,8.39,8.27,0.07,0.005,,
5266,Brown,Jaylen,38.89,BOS,F,ORL,37.00,20.25,1.79,6.86,4.62,1.42,0.43,3.27,5.70,3.48,1.24,7.49,9.05,0.11,0.003,,
6500,Banchero,Paolo,38.69,ORL,F,@ BOS,28.00,22.79,1.84,6.14,4.14,0.56,0.46,2.23,5.75,5.77,2.13,7.59,8.65,0.11,0.003,,
3369,Irving,Kyrie,38.43,DAL,G,OKC,35.00,22.06,2.59,5.00,4.46,1.11,0.49,2.36,5.45,3.39,0.36,8.04,9.33,0.07,0.002,,
6290,Murphy,Trey,38.30,NOR,F,UTA,36.00,21.92,3.26,4.93,3.26,1.36,0.76,1.18,4.33,3.48,0.43,7.59,8.38,0.03,0.001,,
5476,Hart,Josh,37.62,NYK,G,MIN,38.00,13.98,1.30,9.68,4.98,1.55,0.35,2.00,3.80,2.48,0.58,5.10,4.96,0.39,0.012,,
3723,McCollum,C.J.,37.49,NOR,G,UTA,35.00,21.91,3.26,3.90,4.37,0.98,0.66,1.62,5.06,2.01,0.68,8.32,9.90,0.03,0.001,,
5461,Adebayo,Bam,37.48,MIA,C,DEN,31.00,14.57,0.57,8.92,5.10,1.35,0.73,1.77,5.00,2.86,1.05,5.57,6.24,0.32,0.022,,
