id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6145,Ball,LaMelo,55.78,CHA,G,DAL,38.00,29.78,4.41,6.17,9.01,1.53,0.31,4.02,6.03,4.49,0.76,10.44,14.70,0.49,0.054,Questionable,
3001,Harden,James,51.27,LAC,G,CHI,34.00,22.71,2.95,7.94,8.74,1.44,1.10,3.90,3.61,6.64,0.88,6.56,9.08,0.38,0.118,,
5450,Tatum,Jayson,50.38,BOS,F,@ GSW,36.00,26.04,3.50,9.77,5.00,1.16,0.59,2.92,5.24,5.06,1.15,8.74,10.60,0.49,0.034,,
5052,Towns,Karl-Anthony,50.34,NYK,C,ATL,34.00,23.19,1.89,14.11,3.47,0.93,0.85,3.01,6.21,5.10,0.93,8.10,6.81,0.84,0.017,,
6275,Cunningham,Cade,49.92,DET,G,@ HOU,36.00,24.34,2.64,6.31,9.29,1.02,0.81,4.23,6.36,3.70,0.78,9.00,11.46,0.49,0.054,,
6281,Sengun,Alperen,49.43,HOU,C,DET,35.00,21.54,0.41,10.95,6.29,1.49,0.96,2.79,8.00,4.31,1.91,8.41,8.69,0.58,0.064,,
5664,Young,Trae,49.31,ATL,G,@ NYK,37.00,24.86,3.35,3.01,11.43,1.22,0.21,4.01,4.49,5.83,0.90,7.84,10.76,0.65,0.013,,
6147,Edwards,Anthony,48.16,MIN,G,@ MEM,38.00,28.71,4.13,6.19,4.88,1.49,0.53,3.77,5.41,5.50,0.92,9.54,12.10,0.11,0.003,,
5679,Brunson,Jalen,46.89,NYK,G,ATL,37.00,26.59,2.50,3.44,8.83,1.09,0.08,2.86,6.43,6.23,1.22,8.93,9.70,0.38,0.008,,
5301,Murray,Dejounte,46.60,NOR,G,UTA,35.00,18.89,1.53,6.53,9.39,2.31,0.43,3.35,5.81,2.68,0.61,7.34,9.32,0.49,0.053,Probable,
6117,Morant,Ja,45.36,MEM,G,MIN,32.00,22.96,1.65,5.27,8.70,1.28,0.32,3.82,6.30,5.41,1.19,7.95,9.59,0.38,0.027,,
3369,Irving,Kyrie,43.79,DAL,G,@ CHA,37.00,26.19,2.95,5.26,4.78,1.19,0.48,2.14,6.78,3.78,0.39,9.73,10.05,0.07,0.002,,
2718,Durant,Kevin,43.69,PHO,F,@ CLE,36.00,26.15,1.92,6.43,3.92,0.87,1.14,3.06,7.33,5.73,1.12,9.25,9.52,0.11,0.002,,
6511,Williams,Mark,43.59,CHA,C,DAL,32.00,18.13,0.00,12.57,2.68,1.09,1.53,1.33,7.09,3.95,1.52,7.09,4.51,0.75,0.008,,
5002,Booker,Devin,43.28,PHO,G,@ CLE,36.00,25.56,2.79,3.84,6.80,0.99,0.27,2.74,5.48,6.23,0.77,8.27,10.23,0.11,0.002,,
2999,Curry,Stephen,42.64,GSW,G,BOS,34.00,23.28,4.29,5.42,5.92,0.89,0.53,2.79,3.50,3.41,0.25,7.79,9.95,0.07,0.005,,
5460,Mitchell,Donovan,42.61,CLE,G,PHO,32.00,23.54,3.77,5.18,5.09,1.64,0.36,2.08,4.60,3.03,0.67,8.37,10.35,0.07,0.005,,
5698,Jackson Jr.,Jaren,42.25,MEM,C,MIN,33.00,22.52,1.87,7.08,2.53,1.80,1.64,2.40,6.31,4.29,1.16,8.18,9.01,0.31,0.003,,
6290,Murphy,Trey,42.15,NOR,F,UTA,36.00,25.04,3.72,5.14,3.38,1.41,0.70,1.15,4.98,3.92,0.49,8.70,9.38,0.07,0.001,,
5468,Allen,Jarrett,41.42,CLE,C,PHO,32.00,17.90,0.00,12.19,2.63,0.84,1.10,1.32,7.33,3.24,1.14,7.33,3.37,0.73,0.007,,
3723,McCollum,C.J.,41.19,NOR,G,UTA,35.00,24.82,3.71,4.09,4.53,1.02,0.68,1.68,5.69,2.31,0.78,9.40,11.13,0.03,0.001,,
6112,Garland,Darius,41.02,CLE,G,PHO,32.00,22.02,3.16,3.18,7.39,1.33,0.24,2.53,4.73,3.08,0.40,7.89,8.97,0.31,0.006,,
3946,Randle,Julius,40.70,MIN,F,@ MEM,36.00,21.73,1.68,7.84,5.21,0.68,0.25,3.75,5.95,4.79,1.18,7.63,8.53,0.31,0.022,,
5673,Bridges,Miles,40.59,CHA,F,DAL,35.00,20.77,2.52,7.99,4.34,0.75,0.50,1.87,4.97,3.27,0.55,7.49,9.51,0.31,0.009,Questionable,
3404,Vucevic,Nikola,40.09,CHI,C,@ LAC,33.00,18.27,1.67,10.07,3.44,0.90,0.72,1.79,5.76,1.74,0.39,7.43,7.74,0.57,0.011,,
5476,Hart,Josh,40.08,NYK,G,ATL,38.00,13.86,1.33,10.10,6.04,1.65,0.40,2.15,3.80,2.27,0.54,5.13,4.71,0.46,0.051,,
3932,LaVine,Zach,39.62,CHI,G,@ LAC,35.00,24.17,3.09,4.99,4.38,1.04,0.28,3.19,5.83,3.24,0.66,8.92,8.36,0.03,0.001,,
6295,Johnson,Jalen,39.40,ATL,F,@ NYK,34.00,17.87,1.31,8.75,4.32,1.19,0.82,2.28,5.95,2.04,0.71,7.26,6.42,0.36,0.011,Injured,
6282,Giddey,Josh,39.34,CHI,G,@ LAC,33.00,14.14,1.43,7.45,8.58,1.10,0.60,3.75,3.94,1.97,0.65,5.37,6.69,0.32,0.099,,
5266,Brown,Jaylen,39.13,BOS,F,@ GSW,36.00,21.52,1.87,6.27,4.50,1.23,0.47,2.97,6.24,3.43,1.18,8.11,9.33,0.11,0.003,,
6732,Thompson,Amen,38.82,HOU,F,DET,37.00,14.43,0.37,9.88,3.38,2.03,1.65,2.44,5.26,2.80,1.24,5.63,4.96,0.41,0.008,,
6523,Kessler,Walker,37.21,UTA,C,@ NOR,30.00,12.33,0.00,13.18,1.36,0.46,2.61,1.37,5.37,1.59,1.20,5.37,1.73,0.61,0.000,,
6280,Green,Jalen,35.60,HOU,G,DET,35.00,22.23,3.04,4.63,2.85,1.16,0.38,2.67,4.55,4.01,0.65,7.59,9.97,0.03,0.000,,
5356,VanVleet,Fred,35.60,HOU,G,DET,37.00,15.84,2.59,4.14,6.07,1.91,0.52,1.66,3.05,1.97,0.41,5.64,8.34,0.10,0.003,,
5044,Powell,Norman,35.23,LAC,G,CHI,34.00,22.57,3.28,3.96,2.74,1.19,0.23,1.82,4.72,3.29,0.66,8.00,8.83,0.02,0.000,,
5043,Porzingis,Kristaps,35.15,BOS,F,@ GSW,29.00,17.98,1.90,7.01,1.87,0.72,1.76,1.51,4.13,4.02,0.64,6.03,6.67,0.30,0.000,,
5977,Gafford,Daniel,35.05,DAL,F,@ CHA,28.00,17.65,0.00,8.41,1.77,0.70,1.50,1.42,7.49,2.67,1.34,7.49,2.61,0.36,0.000,,
6164,Bane,Desmond,34.69,MEM,G,MIN,32.00,16.01,2.03,6.18,5.24,1.26,0.39,2.78,3.83,2.26,0.34,5.86,6.70,0.10,0.007,,
6751,George,Keyonte,33.98,UTA,G,@ NOR,32.00,18.89,3.03,3.27,6.15,0.76,0.13,3.37,3.37,3.06,0.63,6.40,8.52,0.11,0.002,,
5717,Bridges,Mikal,32.50,NYK,F,ATL,39.00,19.91,2.59,3.30,3.28,1.06,0.47,1.68,5.50,1.14,0.34,8.09,7.82,0.02,0.000,,
3957,Wiggins,Andrew,32.36,GSW,F,BOS,34.00,18.16,2.27,5.35,2.46,0.82,0.78,1.23,4.19,2.97,0.91,6.46,8.42,0.07,0.001,,
6111,Washington,PJ,32.09,DAL,F,@ CHA,35.00,13.77,1.76,7.34,2.37,1.52,1.14,1.97,3.30,1.89,0.67,5.06,6.43,0.25,0.002,,
5469,Anunoby,O.G.,32.07,NYK,F,ATL,37.00,17.22,2.04,5.10,2.09,1.51,1.01,1.65,4.54,2.02,0.53,6.58,7.05,0.07,0.001,,
5475,White,Derrick,31.54,BOS,G,@ GSW,34.00,14.47,2.99,4.46,4.53,0.85,1.11,1.52,2.02,1.46,0.26,5.01,6.86,0.03,0.001,,
5711,Bamba,Mo,31.52,LAC,C,CHI,26.00,11.99,1.43,9.00,1.56,0.62,2.04,1.14,3.20,1.30,0.60,4.63,4.84,0.32,0.000,,
3367,Harris,Tobias,30.62,DET,F,@ HOU,35.00,14.37,1.64,6.57,2.69,0.89,0.98,1.39,3.79,1.87,0.25,5.43,6.75,0.09,0.001,,
6962,Collier,Isaiah,30.61,UTA,G,@ NOR,32.00,9.88,0.93,4.84,8.38,1.28,0.29,3.59,2.86,1.37,0.71,3.79,5.37,0.19,0.006,,
6503,Daniels,Dyson,30.56,ATL,G,@ NYK,35.00,12.99,1.23,4.78,3.61,2.52,0.68,1.74,4.22,0.86,0.58,5.45,6.59,0.02,0.000,,
6507,Duren,Jalen,29.84,DET,C,@ HOU,28.00,10.29,0.00,10.60,2.17,0.49,1.28,2.01,4.00,2.29,1.04,4.00,2.20,0.34,0.003,,
5967,Reid,Naz,29.59,MIN,C,@ MEM,28.00,15.61,2.39,5.37,1.80,0.96,1.10,1.68,3.42,1.60,0.56,5.81,6.69,0.06,0.000,,
6743,Sensabaugh,Brice,29.00,UTA,F,@ NOR,26.00,17.57,3.05,4.11,2.62,0.74,0.19,2.13,3.24,1.94,0.17,6.29,7.24,0.03,0.000,Questionable,
6149,Okongwu,Onyeka,28.52,ATL,C,@ NYK,27.00,12.62,0.55,7.74,1.96,0.58,0.99,0.97,4.47,2.03,0.63,5.02,3.99,0.24,0.000,,
6514,Eason,Tari,28.50,HOU,F,DET,25.00,11.57,1.02,7.18,1.42,1.84,0.94,1.09,3.46,1.59,0.60,4.48,4.80,0.20,0.000,,
6195,Marshall,Naji,28.47,DAL,F,@ CHA,32.00,16.16,1.36,4.13,2.88,1.33,0.22,1.99,5.00,2.08,0.40,6.36,6.50,0.03,0.000,Questionable,
3439,Beal,Bradley,28.32,PHO,G,@ CLE,31.00,16.21,1.93,3.26,3.14,0.91,0.65,1.58,4.37,1.68,0.43,6.30,6.67,0.02,0.000,Questionable,
3729,Gobert,Rudy,28.20,MIN,C,@ MEM,32.00,10.01,0.00,9.60,1.43,0.63,1.55,1.48,3.92,2.17,1.14,3.92,2.68,0.28,0.000,,
6327,Aldama,Santi,27.60,MEM,F,MIN,25.00,12.36,1.80,6.95,2.25,0.85,0.50,1.10,2.96,1.04,0.42,4.76,5.06,0.08,0.001,Questionable,
3674,Schroder,Dennis,27.22,GSW,G,BOS,33.00,14.16,1.80,3.21,4.78,0.83,0.22,2.32,3.31,2.14,0.34,5.11,7.18,0.03,0.001,,
6212,Richards,Nick,26.81,PHO,C,@ CLE,29.00,10.22,0.00,9.58,1.18,0.46,1.16,1.64,3.91,2.40,0.97,3.91,2.29,0.28,0.000,,
6076,Strus,Max,26.68,CLE,F,PHO,30.00,12.19,2.54,5.07,3.51,0.79,0.31,1.34,1.76,1.05,0.25,4.30,5.78,0.05,0.001,,
6771,Jackson-Davis,Trayce,26.64,GSW,C,BOS,26.00,10.19,0.00,8.00,2.18,0.58,1.09,0.99,4.61,0.97,0.71,4.61,2.89,0.22,0.002,,
3914,Dinwiddie,Spencer,26.37,DAL,G,@ CHA,32.00,12.90,1.84,2.91,4.77,0.85,0.32,1.24,1.98,3.42,0.63,3.82,5.96,0.02,0.000,,
5449,Ball,Lonzo,26.26,CHI,G,@ LAC,26.00,8.50,2.14,4.12,5.19,1.62,0.74,2.01,0.73,0.62,0.21,2.87,5.21,0.03,0.001,,
6047,Hunter,De'Andre,25.90,ATL,F,@ NYK,28.00,17.01,2.34,3.64,1.44,0.65,0.17,1.31,3.32,3.35,0.60,5.66,6.45,0.02,0.000,,
5491,Brooks,Dillon,25.37,HOU,G,DET,35.00,13.76,2.35,4.39,1.93,1.07,0.20,1.04,2.55,1.61,0.29,4.90,6.77,0.02,0.000,,
6968,Filipowski,Kyle,25.20,UTA,C,@ NOR,26.00,10.41,1.09,6.91,2.54,0.86,0.38,1.56,2.88,1.38,0.78,3.97,3.96,0.06,0.001,,
6124,Jerome,Ty,24.67,CLE,G,PHO,22.00,12.45,1.60,2.99,4.08,0.99,0.11,1.34,3.12,1.41,0.21,4.72,4.96,0.02,0.000,,
6188,McDaniels,Jaden,24.67,MIN,F,@ MEM,32.00,10.79,1.35,5.44,1.74,1.48,0.70,1.25,2.88,0.98,0.38,4.23,5.22,0.04,0.000,,
3004,Holiday,Jrue,24.49,BOS,G,@ GSW,30.00,10.79,1.64,4.36,3.65,0.85,0.49,1.50,2.35,1.17,0.17,3.99,5.21,0.02,0.000,,
3399,Thompson,Klay,24.40,DAL,G,@ CHA,27.00,14.30,2.97,3.08,2.08,0.75,0.44,1.52,2.12,1.15,0.08,5.09,6.56,0.02,0.000,Questionable,
5235,Niang,Georges,24.06,CLE,F,PHO,26.00,11.97,2.38,5.65,1.91,0.54,0.22,1.24,2.09,0.65,0.12,4.47,4.80,0.05,0.000,,
5442,Jones,Derrick,23.94,LAC,F,CHI,30.00,13.04,1.12,4.40,1.26,1.09,0.61,0.98,4.14,1.40,0.48,5.26,4.85,0.02,0.000,,
4049,Theis,Daniel,23.71,NOR,C,UTA,28.00,7.69,0.62,7.55,1.73,0.74,1.31,1.13,2.47,0.89,0.31,3.09,3.18,0.10,0.000,,
5342,Dunn,Kris,23.68,LAC,G,CHI,27.00,9.03,1.24,4.35,3.26,1.72,0.44,1.29,2.47,0.37,0.17,3.71,4.59,0.01,0.000,Questionable,
5907,Wade,Dean,23.43,CLE,F,PHO,28.00,8.62,2.13,6.24,1.78,1.10,0.62,0.45,0.63,0.97,0.60,2.76,4.12,0.04,0.000,,
6733,Thompson,Ausar,23.34,DET,F,@ HOU,23.00,10.18,0.43,5.34,2.17,1.12,0.69,1.34,3.72,1.45,1.14,4.15,4.63,0.04,0.000,,
6363,Alvarado,Jose,22.96,NOR,G,UTA,24.00,9.80,1.78,2.24,3.96,1.66,0.35,1.00,1.64,1.18,0.34,3.42,5.01,0.01,0.000,,
5427,Beasley,Malik,22.69,DET,G,@ HOU,26.00,14.36,3.26,2.67,1.50,0.73,0.06,0.96,1.83,0.92,0.43,5.09,7.17,0.01,0.000,,
5028,Looney,Kevon,21.84,GSW,F,BOS,22.00,6.22,0.00,8.57,2.03,0.60,0.48,0.73,2.66,0.90,0.63,2.66,1.94,0.04,0.000,,
