id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3930,Jokic,Nikola,71.27,DEN,C,ATL,37.00,33.03,1.93,12.88,10.00,2.02,0.83,3.98,10.63,5.98,1.51,12.56,9.59,0.76,0.441,,
5052,Towns,Karl-Anthony,53.02,NYK,C,UTA,34.00,25.46,2.30,14.01,3.14,0.91,1.13,2.40,6.71,5.14,0.91,9.01,8.67,0.84,0.017,,
6281,Sengun,Alperen,51.44,HOU,C,DAL,34.00,22.44,0.47,11.88,6.09,1.45,0.98,2.53,8.05,4.93,1.56,8.52,8.92,0.65,0.072,,
6275,Cunningham,Cade,50.79,DET,G,ORL,36.00,25.32,2.39,6.88,9.27,0.89,0.80,5.02,6.90,4.35,0.96,9.29,11.46,0.49,0.054,,
6285,Barnes,Scottie,49.22,TOR,F,BKN,35.00,21.86,1.98,8.92,7.89,1.21,1.03,4.03,6.07,3.78,1.33,8.05,8.57,0.38,0.118,,
5664,Young,Trae,48.62,ATL,G,@ DEN,35.00,23.14,2.94,3.23,12.36,1.08,0.14,4.39,4.39,5.54,0.88,7.33,10.38,0.76,0.015,,
5433,Sabonis,Domantas,48.18,SAC,C,PHI,36.00,19.55,0.85,12.84,6.55,0.84,0.51,3.52,6.75,3.50,1.19,7.60,4.94,0.76,0.084,,
5345,Murray,Jamal,44.87,DEN,G,ATL,37.00,21.79,2.35,5.28,7.39,1.67,0.82,2.59,5.54,3.66,0.66,7.89,9.47,0.31,0.022,,
6160,Maxey,Tyrese,44.74,PHI,G,@ SAC,38.00,29.11,3.52,3.30,4.95,1.32,0.35,2.14,6.77,5.01,0.92,10.29,12.32,0.03,0.001,,
3404,Vucevic,Nikola,44.45,CHI,C,@ WAS,33.00,21.65,1.78,11.35,3.10,0.66,0.74,1.49,7.22,1.87,0.40,9.00,7.82,0.65,0.013,,
5461,Adebayo,Bam,42.66,MIA,C,NOR,35.00,16.49,0.87,11.09,5.02,1.23,0.93,1.97,5.42,3.04,1.07,6.29,6.49,0.59,0.041,,
5452,Fox,De'Aaron,42.65,SAC,G,PHI,36.00,23.77,2.15,4.99,6.34,1.47,0.35,3.51,6.80,3.72,1.06,8.95,10.01,0.11,0.003,,
5301,Murray,Dejounte,42.64,NOR,G,@ MIA,37.00,18.27,2.11,7.11,7.56,1.70,0.34,3.47,4.94,2.06,0.56,7.05,10.09,0.31,0.095,Probable,
3369,Irving,Kyrie,42.01,DAL,G,@ HOU,36.00,26.17,3.27,4.34,4.38,1.16,0.45,2.11,6.29,3.78,0.40,9.56,10.67,0.03,0.001,,
6282,Giddey,Josh,40.80,CHI,G,@ WAS,31.00,14.40,1.53,8.25,8.58,1.02,0.61,3.31,3.92,1.97,0.67,5.45,5.97,0.32,0.121,,
5913,Herro,Tyler,40.62,MIA,G,NOR,36.00,22.68,3.80,5.69,5.63,0.77,0.08,2.68,4.13,3.02,0.47,7.93,8.69,0.07,0.005,,
3111,George,Paul,40.16,PHI,F,@ SAC,35.00,21.66,3.22,5.47,4.59,1.67,0.50,2.56,4.39,3.22,0.59,7.61,9.33,0.07,0.002,Off Injury Report,
3932,LaVine,Zach,39.83,CHI,G,@ WAS,35.00,22.77,3.30,5.31,4.96,0.95,0.35,2.75,4.65,3.57,0.73,7.95,9.44,0.07,0.002,,
5936,Poole,Jordan,39.01,WAS,G,CHI,34.00,21.69,3.20,3.22,6.04,1.55,0.40,2.88,3.82,4.45,0.69,7.02,9.39,0.11,0.002,,
3357,Butler,Jimmy,38.66,MIA,F,NOR,34.00,20.05,0.58,5.41,5.81,1.45,0.30,1.55,6.03,6.25,1.26,6.61,5.68,0.07,0.005,Suspended,
2872,Westbrook,Russell,38.21,DEN,G,ATL,30.00,13.71,1.24,5.24,8.69,1.99,0.75,3.41,3.77,2.45,1.26,5.01,6.54,0.30,0.021,,
6115,Bitadze,Goga,37.86,ORL,C,@ DET,32.00,13.77,0.17,10.26,3.07,1.10,2.26,1.74,5.51,2.24,1.07,5.68,3.44,0.46,0.009,Questionable,
5355,Poeltl,Jakob,37.02,TOR,C,BKN,30.00,13.72,0.00,10.96,3.21,1.17,1.40,2.15,5.86,2.00,0.99,5.86,3.44,0.46,0.009,,
5356,VanVleet,Fred,37.02,HOU,G,DAL,37.00,17.22,2.87,4.33,6.34,1.60,0.43,1.58,3.18,2.25,0.47,6.05,9.21,0.11,0.003,,
6274,Suggs,Jalen,36.91,ORL,G,@ DET,31.00,20.98,3.05,3.78,3.87,1.79,0.87,2.96,4.33,3.17,0.62,7.38,9.50,0.02,0.000,Questionable,
6290,Murphy,Trey,36.10,NOR,F,@ MIA,37.00,21.91,3.52,4.72,2.54,1.02,0.64,1.29,4.03,3.29,0.47,7.55,8.40,0.03,0.000,,
5476,Hart,Josh,36.08,NYK,G,UTA,37.00,14.37,1.33,7.33,5.74,1.39,0.41,1.55,4.10,2.18,0.48,5.43,4.43,0.26,0.018,,
5973,Claxton,Nicolas,35.15,BKN,C,@ TOR,31.00,13.36,0.00,10.00,2.52,0.89,1.88,1.47,5.90,1.56,1.33,5.90,3.20,0.46,0.005,,
5682,Porter Jr.,Michael,34.45,DEN,F,ATL,32.00,17.92,2.05,7.16,2.88,0.71,0.56,1.53,4.88,2.01,0.65,6.93,6.76,0.30,0.003,,
6125,Johnson,Cam,34.18,BKN,F,@ TOR,33.00,20.00,3.20,4.50,3.07,1.06,0.44,1.40,3.17,4.06,0.64,6.37,7.45,0.03,0.001,Injured,
5976,White,Coby,33.72,CHI,G,@ WAS,34.00,18.84,3.30,4.00,4.56,1.01,0.23,2.27,2.96,3.02,0.51,6.26,8.44,0.03,0.001,Injured,
5458,Monk,Malik,33.70,SAC,G,PHI,32.00,16.36,2.44,3.92,6.22,0.79,0.55,1.90,3.48,2.08,0.34,5.92,7.52,0.10,0.002,,
3006,DeRozan,DeMar,33.63,SAC,G,PHI,35.00,20.57,0.64,4.14,3.60,1.22,0.34,2.00,6.84,4.97,0.92,7.48,7.32,0.03,0.001,,
6503,Daniels,Dyson,33.58,ATL,G,@ DEN,34.00,14.54,1.35,4.60,3.84,2.93,0.87,1.56,4.77,0.95,0.59,6.12,6.65,0.03,0.001,,
3723,McCollum,C.J.,33.43,NOR,G,@ MIA,35.00,19.87,3.09,4.03,3.50,0.83,0.49,1.92,4.45,1.70,0.48,7.54,9.91,0.03,0.001,,
