id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3930,Jokic,Nikola,64.84,DEN,C,BKN,34.00,28.31,1.62,11.96,10.06,1.84,0.76,3.25,9.26,4.93,1.17,10.88,7.73,0.65,0.377,,
5693,Gilgeous-Alexander,Shai,55.04,OKC,G,@ NYK,37.00,33.11,2.19,5.16,6.27,1.90,1.09,2.37,9.57,7.40,0.97,11.76,10.71,0.11,0.008,,
3701,Antetokounmpo,Giannis,52.82,MIL,F,@ ORL,35.00,28.50,0.12,10.44,5.12,0.88,1.37,3.92,10.89,6.36,3.87,11.01,7.26,0.58,0.041,,
5450,Tatum,Jayson,50.15,BOS,F,SAC,37.00,26.49,3.47,9.39,4.92,1.20,0.47,2.63,5.11,5.86,1.33,8.58,10.38,0.49,0.015,,
5052,Towns,Karl-Anthony,50.11,NYK,C,OKC,36.00,21.48,1.66,15.40,3.72,0.81,0.77,3.09,5.76,4.98,0.93,7.42,7.06,0.87,0.017,,
6160,Maxey,Tyrese,48.50,PHI,G,NOR,38.00,28.66,3.71,3.19,6.85,1.96,0.47,2.61,6.34,4.85,0.88,10.05,12.34,0.11,0.002,,
5433,Sabonis,Domantas,45.95,SAC,C,@ BOS,36.00,20.03,0.85,12.26,5.21,0.73,0.47,2.68,7.22,3.04,0.98,8.07,5.55,0.76,0.053,,
3404,Vucevic,Nikola,45.60,CHI,C,WAS,33.00,21.47,1.85,11.78,3.53,0.69,0.77,1.50,7.00,1.92,0.38,8.85,8.05,0.65,0.013,,
3111,George,Paul,44.88,PHI,F,NOR,35.00,22.97,3.33,6.38,5.46,1.96,0.61,2.49,5.02,2.94,0.51,8.35,9.20,0.11,0.008,Off Injury Report,
5301,Murray,Dejounte,43.19,NOR,G,@ PHI,36.00,18.33,1.69,6.65,8.34,1.94,0.35,4.15,5.53,2.20,0.49,7.22,9.31,0.38,0.041,Probable,
6152,Haliburton,Tyrese,43.02,IND,G,GSW,35.00,19.03,3.01,3.66,9.32,1.27,0.76,1.79,3.67,2.66,0.47,6.68,8.32,0.49,0.010,,
6518,Williams,Jalen,42.42,OKC,G,@ NYK,37.00,22.35,1.92,5.45,5.61,1.63,0.81,2.23,6.98,2.63,0.70,8.90,9.23,0.07,0.005,,
3932,LaVine,Zach,42.29,CHI,G,WAS,35.00,24.50,3.14,5.41,5.32,0.98,0.35,2.60,5.44,4.20,0.86,8.58,9.72,0.07,0.005,,
5679,Brunson,Jalen,41.81,NYK,G,OKC,35.00,25.45,2.13,3.41,6.89,0.84,0.08,2.62,6.26,6.54,1.31,8.39,9.41,0.11,0.002,,
6282,Giddey,Josh,41.50,CHI,G,WAS,30.00,14.04,1.51,8.13,9.12,1.00,0.67,3.13,3.80,1.91,0.64,5.31,5.76,0.41,0.156,,
6500,Banchero,Paolo,41.09,ORL,F,MIL,30.00,23.25,1.66,6.59,4.91,0.73,0.47,2.33,5.91,6.45,2.44,7.57,8.66,0.11,0.003,,
5266,Brown,Jaylen,40.34,BOS,F,SAC,37.00,22.38,2.12,6.05,4.78,1.27,0.40,2.69,6.22,3.58,1.36,8.34,9.65,0.11,0.003,,
3542,Lillard,Damian,39.76,MIL,G,@ ORL,35.00,22.19,3.04,4.25,6.55,0.96,0.20,3.17,3.53,6.01,0.58,6.57,9.20,0.11,0.003,,
5354,Siakam,Pascal,39.70,IND,F,GSW,34.00,19.95,1.82,8.70,3.88,0.82,0.32,1.45,5.66,3.17,0.89,7.48,7.81,0.38,0.008,,
5936,Poole,Jordan,39.44,WAS,G,@ CHI,34.00,22.05,3.34,3.20,6.01,1.62,0.36,2.86,3.89,4.25,0.65,7.23,9.42,0.11,0.002,,
5476,Hart,Josh,37.99,NYK,G,OKC,40.00,13.17,1.26,10.50,5.36,1.27,0.39,2.17,3.42,2.55,0.61,4.68,4.88,0.46,0.032,,
