name,position,team,minutes,salary,fpts,own%,stddev,fieldFpts
Quincy Olivari,PG,LAL,0,3000,0,0,0,0
Maxwell Lewis,PF,LAL,0,3000,0,0,0,0
Armel Traore,PF,LAL,0,3000,0,0,0,0
Bronny James,PG,LAL,0,3000,0,0,0,0
Jalen Hood-Schifino,PG,LAL,0,3000,0,0,0,0
Jett Howard,SF/PF,ORL,11,3000,9.04968824,0,5.108610499,8.9
Cole Anthony,PG/SG,ORL,5,3000,5.284843802,3,3.745190946,5.1
Caleb Houstan,SF/PF,ORL,4,3000,2.620992531,0,1.688988204,1.8
Cory Joseph,PG,ORL,0,3000,0,0,0,0
Trevelin Queen,PG,ORL,0,3000,0,0,0,0
Mac McClung,PG,ORL,0,3000,0,0,0,0
