Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
22,4607844315,gmoneyez (3/4),112.479996,211.25,C Isaiah Hartenstein F Jayson Tatum G Caris LeVert PF Obi Toppin PG Cole Anthony SF Aaron Wiggins SG Isaiah Joe UTIL Shai Gilgeous-Alexander,,Donovan Mitchell,SG,5.97%,17.5
25,4607879561,jdanielcz (5/20),122.5,211,C Isaiah Hartenstein F Paul George G Kelly Oubre Jr. PF Aaron Wiggins PG Cole Anthony SF Bennedict Mathurin SG Cason Wallace UTIL Shai Gilgeous-Alexander,,Tyrese Haliburton,PG,5.77%,14.25
26,4607320045,WB1234567890,145.75,210.5,C LOCKED F Evan Mobley G Cole Anthony PF Aaron Wiggins PG T.J. McConnell SF Jayson Tatum SG Cason Wallace UTIL Shai Gilgeous-Alexander,,Tristan da Silva,SF,5.62%,1.5
27,4607001219,kristopher83 (2/2),107.36,209.75,C Kristaps Porzingis F Aaron Wiggins G Shai Gilgeous-Alexander PF Pascal Siakam PG Derrick White SF Dean Wade SG Cason Wallace UTIL Isaiah Hartenstein,,Tyrese Maxey,PG,4.89%,33.25
28,4607561908,Jonnyrose (11/20),117.59999,209.5,C Isaiah Hartenstein F Paul George G Darius Garland PF Aaron Wiggins PG Cole Anthony SF Max Strus SG Cason Wallace UTIL Shai Gilgeous-Alexander,,Myles Turner,C,4.74%,24
29,4607533187,acatalogna (8/20),117.59999,209,C Isaiah Hartenstein F Paul George G Darius Garland PF Jalen Williams PG Cason Wallace SF Aaron Wiggins SG Cole Anthony UTIL Myles Turner,,Jrue Holiday,PG,4.26%,22.5
30,4606885382,jsanders61 (20/20),153.37999,208.5,C Isaiah Hartenstein F Pascal Siakam G Shai Gilgeous-Alexander PF Aaron Wiggins PG Cole Anthony SF Paul George SG Cason Wallace UTIL LOCKED,,Jared Butler,PG,3.85%,0
30,4607672202,chachie79 (12/20),143.02,208.5,C Kristaps Porzingis F Evan Mobley G Cason Wallace PF Aaron Wiggins PG LOCKED SF Jayson Tatum SG Cole Anthony UTIL Jarrett Allen,,Alexandre Sarr,PF,3.40%,15.75
32,4607632942,dallasmike44 (18/20),150.65,208.25,C Kristaps Porzingis F Paul George G Isaiah Joe PF Evan Mobley PG Shai Gilgeous-Alexander SF Aaron Wiggins SG Cole Anthony UTIL LOCKED,,Derrick White,UTIL,3.36%,15
32,4606710301,briskbaxter (11/20),109.97,208.25,C Kristaps Porzingis F Aaron Wiggins G Darius Garland PF Jalen Williams PG T.J. McConnell SF Max Strus SG Cole Anthony UTIL Shai Gilgeous-Alexander,,Jonathan Isaac,PF,2.71%,11.25
34,4607804472,jsfant23 (1/2),117.6,207.75,C Isaiah Hartenstein F Aaron Wiggins G Darius Garland PF Evan Mobley PG Shai Gilgeous-Alexander SF Isaiah Joe SG Cole Anthony UTIL Eric Gordon,,Payton Pritchard,G,2.47%,14.75
35,4606684287,HahamHanukah,150.76999,207.25,C Kristaps Porzingis F LOCKED G Shai Gilgeous-Alexander PF Jalen Williams PG Cole Anthony SF Aaron Wiggins SG Cason Wallace UTIL Isaiah Hartenstein,,Jordan Poole,SG,2.24%,19.75
35,4607293472,gutp (17/20),150.76999,207.25,C Isaiah Hartenstein F LOCKED G Cason Wallace PF Jalen Williams PG Shai Gilgeous-Alexander SF Aaron Wiggins SG Cole Anthony UTIL Kristaps Porzingis,,CJ McCollum,PG,2.20%,18.75
35,4606679868,JRucker504 (18/20),117.600006,207.25,C Myles Turner F Max Strus G Cole Anthony PF Jalen Williams PG Cason Wallace SF Aaron Wiggins SG Paul George UTIL Shai Gilgeous-Alexander,,Trey Murphy III,F,2.12%,36.25
38,4606427185,Shabue1 (8/20),150.76999,206.75,C Isaiah Hartenstein F LOCKED G Luguentz Dort PF Aaron Wiggins PG Shai Gilgeous-Alexander SF Jayson Tatum SG Cole Anthony UTIL Cason Wallace,,Caris LeVert,UTIL,1.95%,11.5
39,4606627032,KGoetsch,117.719986,206.5,C Isaiah Hartenstein F Aaron Wiggins G Darius Garland PF Jalen Williams PG Shai Gilgeous-Alexander SF Isaiah Joe SG Cole Anthony UTIL Cason Wallace,,Zion Williamson,C,1.78%,29
39,4607293475,gutp (20/20),117.719986,206.5,C Isaiah Hartenstein F Aaron Wiggins G Darius Garland PF Jalen Williams PG Shai Gilgeous-Alexander SF Isaiah Joe SG Cole Anthony UTIL Cason Wallace,,Obi Toppin,PF,1.61%,20.75
39,4607576728,jrdhorseman (1/4),117.719986,206.5,C Isaiah Hartenstein F Aaron Wiggins G Darius Garland PF Jalen Williams PG Shai Gilgeous-Alexander SF Isaiah Joe SG Cole Anthony UTIL Cason Wallace,,Jose Alvarado,PG,1.41%,7
39,4607669421,BRUMMIE22 (2/20),117.719986,206.5,C Isaiah Hartenstein F Jalen Williams G Darius Garland PF Aaron Wiggins PG Cole Anthony SF Isaiah Joe SG Cason Wallace UTIL Shai Gilgeous-Alexander,,Dean Wade,SF,1.28%,18.25
39,4607669424,BRUMMIE22 (5/20),117.719986,206.5,C Isaiah Hartenstein F Jalen Williams G Darius Garland PF Aaron Wiggins PG Cole Anthony SF Isaiah Joe SG Cason Wallace UTIL Shai Gilgeous-Alexander,,Kyle Kuzma,F,1.28%,10.5
39,4607683424,trmcq63 (8/20),117.719986,206.5,C Isaiah Hartenstein F Jalen Williams G Darius Garland PF Aaron Wiggins PG Cole Anthony SF Isaiah Joe SG Cason Wallace UTIL Shai Gilgeous-Alexander,,Eric Gordon,UTIL,1.24%,13.75
45,4607632940,dallasmike44 (16/20),150.65,206,C Jarrett Allen F Paul George G Shai Gilgeous-Alexander PF LOCKED PG Cason Wallace SF Aaron Wiggins SG Cole Anthony UTIL Kristaps Porzingis,,Kenrich Williams,PF,1.23%,4
45,4607809189,SoonersTide (11/20),148.26,206,C Isaiah Hartenstein F LOCKED G Shai Gilgeous-Alexander PF Jayson Tatum PG T.J. McConnell SF Aaron Wiggins SG Cole Anthony UTIL Cason Wallace,,Al Horford,PF,1.19%,18.5
47,4607717280,dariuskj (13/20),124.67,205.75,C Kristaps Porzingis F Paul George G Kelly Oubre Jr. PF Guerschon Yabusele PG Cole Anthony SF Aaron Wiggins SG Cason Wallace UTIL Shai Gilgeous-Alexander,,Ricky Council IV,SF,0.94%,1.25
47,4607717273,dariuskj (6/20),115.09001,205.75,C Jarrett Allen F Paul George G Shai Gilgeous-Alexander PF Aaron Wiggins PG Cole Anthony SF Max Strus SG Andrew Nembhard UTIL Isaiah Hartenstein,,Corey Kispert,F,0.94%,17
47,4607846494,wwestry (5/5),115.09001,205.75,C Jarrett Allen F Paul George G Shai Gilgeous-Alexander PF Aaron Wiggins PG Cole Anthony SF Max Strus SG Andrew Nembhard UTIL Isaiah Hartenstein,,Jonas Valanciunas,C,0.93%,15.25
47,4607632901,GhengisShaun,115.090004,205.75,C Jarrett Allen F Luguentz Dort G Cole Anthony PF Evan Mobley PG Shai Gilgeous-Alexander SF Max Strus SG Eric Gordon UTIL Isaiah Hartenstein,,Bilal Coulibaly,SF,0.91%,23.25
51,4606583771,JerezFinest (7/9),153.16,205.25,C Kristaps Porzingis F Paul George G Shai Gilgeous-Alexander PF LOCKED PG Cason Wallace SF Isaiah Joe SG Cole Anthony UTIL Isaiah Hartenstein,,Justin Champagnie,PF,0.67%,4
52,4606850604,BigReub74,104.630005,205,C Myles Turner F Dean Wade G Jrue Holiday PF Al Horford PG Shai Gilgeous-Alexander SF Jayson Tatum SG Luguentz Dort UTIL Aaron Wiggins,,Goga Bitadze,UTIL,0.67%,15.5
53,4606710296,briskbaxter (6/20),150.87,204.75,C Jarrett Allen F Evan Mobley G Shai Gilgeous-Alexander PF Aaron Wiggins PG Cole Anthony SF Paul George SG Cason Wallace UTIL LOCKED,,Yves Missi,UTIL,0.66%,19
53,4606839926,ChloeCougar,148.26,204.75,C Jarrett Allen F Trey Murphy III G Shai Gilgeous-Alexander PF Aaron Wiggins PG Cole Anthony SF LOCKED SG Cason Wallace UTIL Isaiah Hartenstein,,Jordan Hawkins,SG,0.64%,3.25
53,4607074743,Tomdilorenzo13,109.97,204.75,C Myles Turner F Luguentz Dort G Darius Garland PF Dean Wade PG Shai Gilgeous-Alexander SF Aaron Wiggins SG Jaylen Brown UTIL Cole Anthony,,Carlton Carrington,G,0.59%,18.75
56,4607633976,bernie071392 (2/20),145.97,204.5,C LOCKED F Pascal Siakam G Shai Gilgeous-Alexander PF Evan Mobley PG Cason Wallace SF Aaron Wiggins SG Cole Anthony UTIL Darius Garland,,Anthony Black,G,0.57%,19.75
57,4606416864,cpworld90 (14/20),148.26,204.25,C Isaiah Hartenstein F LOCKED G Cason Wallace PF Jayson Tatum PG Cole Anthony SF Aaron Wiggins SG Andrew Nembhard UTIL Shai Gilgeous-Alexander,,Brandon Boston Jr.,UTIL,0.52%,1.25
57,4606615746,amjennison25 (11/20),148.26,204.25,C Isaiah Hartenstein F LOCKED G Cason Wallace PF Aaron Wiggins PG Andrew Nembhard SF Jayson Tatum SG Cole Anthony UTIL Shai Gilgeous-Alexander,,Kyshawn George,F,0.50%,9.25
57,4607471304,illwood (3/20),148.26,204.25,C Isaiah Hartenstein F LOCKED G Shai Gilgeous-Alexander PF Jayson Tatum PG Cason Wallace SF Aaron Wiggins SG Cole Anthony UTIL Andrew Nembhard,,Dejounte Murray,PG,0.45%,40.5
57,4607547567,Sajohnson98 (5/20),148.26,204.25,C Isaiah Hartenstein F LOCKED G Cole Anthony PF Aaron Wiggins PG Cason Wallace SF Jayson Tatum SG Andrew Nembhard UTIL Shai Gilgeous-Alexander,,Wendell Carter Jr.,C,0.44%,11.25
57,4607809195,SoonersTide (17/20),148.26,204.25,C Isaiah Hartenstein F LOCKED G Cason Wallace PF Jayson Tatum PG Andrew Nembhard SF Aaron Wiggins SG Cole Anthony UTIL Shai Gilgeous-Alexander,,Joel Embiid,C,0.40%,0
57,4607801484,checkmate4u (1/3),112.7,204.25,C Isaiah Hartenstein F Isaiah Joe G Cason Wallace PF Evan Mobley PG Shai Gilgeous-Alexander SF Max Strus SG Cole Anthony UTIL Jarrett Allen,,Jaylin Williams,C,0.39%,18.75
63,4607599445,egar2246 (12/20),112.479996,204,C Kristaps Porzingis F Max Strus G Kelly Oubre Jr. PF Evan Mobley PG Shai Gilgeous-Alexander SF Aaron Wiggins SG Cason Wallace UTIL Isaiah Hartenstein,,Sam Hauser,PF,0.27%,6.25
64,4607293461,gutp (6/20),155.89,203.75,C Isaiah Hartenstein F Aaron Wiggins G Cason Wallace PF Jalen Williams PG Shai Gilgeous-Alexander SF Paul George SG Cole Anthony UTIL LOCKED,,Javonte Green,UTIL,0.25%,13.5
