Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
delon wright,PG/SG/G/UTIL,MIL,12.4%,0.0%,0.14%,0.14%,0.1%,$-2.26
jae crowder,C/PF/F/UTIL,SAC,10.81%,0.0%,0.11%,0.03%,0.03%,$-2.26
bryce mcgowens,SG/G/UTIL,POR,7.7%,0.0%,0.09%,0.01%,0.03%,$-2.26
jamal cain,SF/F/UTIL,NOP,12.01%,0.0%,0.11%,0.02%,0.03%,$-2.28
johnny furphy,SF/SG/G/F/UTIL,IND,12.87%,0.0%,0.11%,0.06%,0.03%,$-2.29
cody zeller,C/UTIL,ATL,8.18%,0.0%,0.03%,0.01%,0.03%,$-2.3
jordan mclaughlin,PG/G/UTIL,SAC,12.44%,0.0%,0.09%,0.08%,0.1%,$-2.32
emanuel miller,PF/F/UTIL,CHI,9.86%,0.0%,0.09%,0.03%,0.03%,$-2.33
torrey craig,PF/F/UTIL,CHI,9.72%,0.0%,0.1%,0.03%,0.03%,$-2.33
chris duarte,SF/SG/G/F/UTIL,CHI,10.47%,0.0%,0.12%,0.04%,0.03%,$-2.35
reece beekman,PG/G/UTIL,BKN,15.1%,0.0%,0.08%,0.01%,0.03%,$-2.35
matisse thybulle,PF/F/UTIL,POR,11.88%,0.0%,0.1%,0.03%,0.03%,$-2.36
keaton wallace,PG/G/UTIL,ATL,14.36%,0.0%,0.12%,0.01%,0.03%,$-2.36
jaylon tyson,SF/SG/G/F/UTIL,CLE,10.63%,0.0%,0.1%,0.04%,0.03%,$-2.36
luke travers,SF/F/UTIL,CLE,11.78%,0.0%,0.09%,0.03%,0.03%,$-2.37
zeke nnaji,C/UTIL,DEN,13.77%,0.0%,0.12%,0.01%,0.03%,$-2.37
vlatko cancar,C/UTIL,DEN,10.54%,0.0%,0.07%,0.04%,0.03%,$-2.37
aj johnson,SG/G/UTIL,MIL,6.99%,0.0%,0.06%,0.01%,0.03%,$-2.37
chris livingston,SF/F/UTIL,MIL,11.54%,0.0%,0.11%,0.04%,0.03%,$-2.38
brandon williams,PG/G/UTIL,DAL,9.12%,0.0%,0.08%,0.03%,0.03%,$-2.38
daeqwon plowden,SF/SG/G/F/UTIL,ATL,11.25%,0.0%,0.1%,0.03%,0.03%,$-2.38
jazian gortman,PG/G/UTIL,DAL,10.64%,0.0%,0.05%,0.02%,0.03%,$-2.39
josh okogie,SF/F/UTIL,PHX,11.44%,0.0%,0.07%,0.06%,0.03%,$-2.4
dillon jones,PF/F/UTIL,OKC,6.75%,0.0%,0.05%,0.01%,0.03%,$-2.4
ajay mitchell,PG/G/UTIL,OKC,6.75%,0.0%,0.07%,0.01%,0.03%,$-2.4
jalen bridges,SF/F/UTIL,PHX,8.66%,0.0%,0.07%,0.03%,0.03%,$-2.41
kyle lowry,PG/SG/G/UTIL,PHI,10.54%,0.0%,0.1%,0.05%,0.03%,$-2.41
isaiah crawford,PF/F/UTIL,SAC,13.44%,0.0%,0.06%,0.01%,0.03%,$-2.41
spencer jones,SF/SG/G/F/UTIL,DEN,10.4%,0.0%,0.1%,0.08%,0.03%,$-2.42
stanley umude,SG/G/UTIL,MIL,12.44%,0.0%,0.15%,0.01%,0.03%,$-2.43
jalen pickett,PG/SG/G/UTIL,DEN,9.97%,0.0%,0.11%,0.03%,0.03%,$-2.43
tyrese martin,SF/SG/G/F/UTIL,BKN,9.88%,0.0%,0.08%,0.19%,0.1%,$-2.44
jt thor,PF/F/UTIL,CLE,9.7%,0.0%,0.09%,0.07%,0.03%,$-2.44
jeremiah robinson-earl,C/PF/F/UTIL,NOP,8.45%,0.0%,0.04%,0.03%,0.03%,$-2.45
hunter tyson,PF/SF/F/UTIL,DEN,8.14%,0.0%,0.07%,0.03%,0.03%,$-2.45
colby jones,SF/SG/G/F/UTIL,SAC,9.12%,0.0%,0.07%,0.08%,0.03%,$-2.46
tosan evbuomwan,PF/SF/F/UTIL,BKN,10.17%,0.0%,0.06%,0.03%,0.03%,$-2.47
kessler edwards,PF/SF/F/UTIL,DAL,7.37%,0.0%,0.08%,0.03%,0.03%,$-2.48
rayan rupert,SF/SG/G/F/UTIL,POR,9.35%,0.0%,0.08%,0.03%,0.03%,$-2.48
quenton jackson,PG/SG/G/UTIL,IND,7.84%,0.0%,0.05%,0.03%,0.03%,$-2.48
de'anthony melton,PG/G/UTIL,BKN,8.86%,0.0%,0.06%,0.08%,0.03%,$-2.48
aaron nesmith,PF/F/UTIL,IND,8.8%,0.0%,0.06%,0.04%,0.03%,$-2.49
adama sanogo,C/UTIL,CHI,8.31%,0.0%,0.09%,0.02%,0.03%,$-2.49
gary trent jr.,SF/SG/G/F/UTIL,MIL,8.49%,0.0%,0.1%,0.02%,0.03%,$-2.49
kj martin,PF/SF/F/UTIL,PHI,9.34%,0.0%,0.06%,0.05%,0.03%,$-2.49
doug mcdermott,PF/SF/F/UTIL,SAC,8.11%,0.0%,0.08%,0.04%,0.03%,$-2.5
bol bol,C/PF/F/UTIL,PHX,7.35%,0.0%,0.05%,0.03%,0.03%,$-2.5
nikola topic,PG/G/UTIL,OKC,9.47%,0.0%,0.11%,0.04%,0.03%,$-2.5
trendon watford,PF/F/UTIL,BKN,7.59%,0.0%,0.03%,0.03%,0.04%,$-2.51
mason jones,SG/G/UTIL,SAC,10.83%,0.0%,0.07%,0.01%,0.03%,$-2.51
larry nance jr.,C/UTIL,ATL,7.11%,0.0%,0.06%,0.03%,0.03%,$-2.53
robert williams,C/PF/F/UTIL,POR,6.94%,0.0%,0.06%,0.03%,0.03%,$-2.53
liam robbins,C/UTIL,MIL,5.57%,0.0%,0.02%,0.01%,0.03%,$-2.53
mouhamed gueye,C/UTIL,ATL,8.12%,0.0%,0.03%,0.04%,0.03%,$-2.54
maxwell lewis,SF/F/UTIL,BKN,9.21%,0.0%,0.06%,0.04%,0.03%,$-2.54
dominick barlow,C/UTIL,ATL,7.2%,0.0%,0.11%,0.02%,0.03%,$-2.54
duop reath,C/UTIL,POR,7.98%,0.0%,0.05%,0.02%,0.03%,$-2.54
jevon carter,PG/G/UTIL,CHI,8.13%,0.0%,0.06%,0.05%,0.03%,$-2.55
dariq whitehead,SG/G/UTIL,BKN,10.42%,0.0%,0.02%,0.01%,0.03%,$-2.56
olivier-maxence prosper,PF/SF/F/UTIL,DAL,7.85%,0.0%,0.06%,0.05%,0.03%,$-2.56
trey alexander,PG/SG/G/UTIL,DEN,8.23%,0.0%,0.04%,0.05%,0.03%,$-2.56
ousmane dieng,C/PF/F/UTIL,OKC,7.87%,0.0%,0.08%,0.03%,0.03%,$-2.57
james johnson,C/PF/F/UTIL,IND,6.85%,0.0%,0.06%,0.04%,0.03%,$-2.58
monte morris,PG/G/UTIL,PHX,7.34%,0.0%,0.04%,0.04%,0.03%,$-2.58
e.j. liddell,C/UTIL,CHI,9.95%,0.0%,0.03%,0.01%,0.03%,$-2.58
antonio reeves,SF/SG/G/F/UTIL,NOP,7.61%,0.0%,0.05%,0.05%,0.03%,$-2.59
markieff morris,C/PF/F/UTIL,DAL,6.11%,0.0%,0.04%,0.03%,0.03%,$-2.59
enrique freeman,C/PF/F/UTIL,IND,8.24%,0.0%,0.04%,0.04%,0.03%,$-2.59
tristan thompson,C/UTIL,CLE,4.45%,0.0%,0.03%,0.01%,0.03%,$-2.61
alex len,C/UTIL,SAC,4.58%,0.0%,0.03%,0.01%,0.03%,$-2.61
keion brooks jr.,PF/SF/F/UTIL,NOP,6.53%,0.0%,0.04%,0.04%,0.03%,$-2.62
daron holmes ii,C/UTIL,DEN,8.64%,0.0%,0.06%,0.01%,0.03%,$-2.62
taze moore,SG/G/UTIL,POR,5.72%,0.0%,0.04%,0.03%,0.03%,$-2.62
craig porter jr.,PG/G/UTIL,CLE,8.98%,0.0%,0.03%,0.01%,0.03%,$-2.62
jared mccain,PG/G/UTIL,PHI,6.28%,0.0%,0.05%,0.04%,0.03%,$-2.63
bojan bogdanovic,SF/F/UTIL,BKN,6.45%,0.0%,0.03%,0.04%,0.03%,$-2.63
