Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4676777788,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Marcus Sasser (38231998) (LOCKED),Dennis Schroder (38231739) (LOCKED),Josh Hart (38231592),Ausar Thompson (38231802) (LOCKED),Yves Missi (38231806),Donovan Mitchell (38231558) (LOCKED),Giannis Antetokounmpo (38231518),KJ Simpson (38231866) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
4676777789,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Kevin Porter Jr. (38231748),Dennis Schroder (38231739) (LOCKED),Ausar Thompson (38231802) (LOCKED),Evan Mobley (38231569) (LOCKED),Ivica Zubac (38231590) (LOCKED),Tyler Kolek (38232021),Giannis Antetokounmpo (38231518),KJ Simpson (38231866) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4676777790,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Dennis Schroder (38231739) (LOCKED),Marcus Sasser (38231998) (LOCKED),Ausar Thompson (38231802) (LOCKED),Giannis Antetokounmpo (38231518),Ivica Zubac (38231590) (LOCKED),Donovan Mitchell (38231558) (LOCKED),Gary Trent Jr. (38231780),KJ Simpson (38231866) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4676777791,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Marcus Sasser (38231998) (LOCKED),Donovan Mitchell (38231558) (LOCKED),Ausar Thompson (38231802) (LOCKED),Evan Mobley (38231569) (LOCKED),Giannis Antetokounmpo (38231518),KJ Simpson (38231866) (LOCKED),Jamison Battle (38231856) (LOCKED),Dennis Schroder (38231739) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4676777792,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Stephen Curry (38231544),Dennis Schroder (38231739) (LOCKED),Keion Brooks Jr. (38232034),Kyle Filipowski (38231690),Ivica Zubac (38231590) (LOCKED),KJ Simpson (38231866) (LOCKED),Tidjane Salaun (38232066) (LOCKED),Giannis Antetokounmpo (38231518),,5. For faster processing only include entries you are changing in the file you upload
4676777793,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Dennis Schroder (38231739) (LOCKED),Marcus Sasser (38231998) (LOCKED),Ausar Thompson (38231802) (LOCKED),Evan Mobley (38231569) (LOCKED),Jalen Duren (38231615) (LOCKED),KJ Simpson (38231866) (LOCKED),Giannis Antetokounmpo (38231518),Kelly Olynyk (38231709),,
4676777794,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Tyler Kolek (38232021),Dennis Schroder (38231739) (LOCKED),OG Anunoby (38231623),Kyle Filipowski (38231690),Jalen Duren (38231615) (LOCKED),KJ Simpson (38231866) (LOCKED),Giannis Antetokounmpo (38231518),Kelly Olynyk (38231709),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG/SG,Cameron Payne (38231758),Cameron Payne,38231758,PG/SG/G/UTIL,4800,NYK@MIL 03/28/2025 08:00PM ET,NYK,14.76
,,,,,,,,,,,,,SF/PF,Peyton Watson (38231776),Peyton Watson,38231776,SF/PF/F/UTIL,4700,UTA@DEN 03/28/2025 09:00PM ET,DEN,18.80
,,,,,,,,,,,,,SF/PF,De'Andre Hunter (38231772) (LOCKED),De'Andre Hunter,38231772,SF/PF/F/UTIL,4700,In Progress,CLE,26.73
,,,,,,,,,,,,,PG,Ty Jerome (38231785) (LOCKED),Ty Jerome,38231785,PG/G/UTIL,4700,In Progress,CLE,22.80
,,,,,,,,,,,,,SG/SF,Gary Trent Jr. (38231780),Gary Trent Jr.,38231780,SG/SF/F/G/UTIL,4700,NYK@MIL 03/28/2025 08:00PM ET,MIL,18.75
,,,,,,,,,,,,,C,Nick Richards (38231788),Nick Richards,38231788,C/UTIL,4700,PHX@MIN 03/28/2025 08:00PM ET,PHX,23.82
,,,,,,,,,,,,,SG/SF,Ziaire Williams (38231790) (LOCKED),Ziaire Williams,38231790,SG/SF/F/G/UTIL,4600,In Progress,BKN,21.43
,,,,,,,,,,,,,SG/SF,Bogdan Bogdanovic (38231795) (LOCKED),Bogdan Bogdanovic,38231795,SG/SF/F/G/UTIL,4600,In Progress,LAC,20.58
,,,,,,,,,,,,,C,DeAndre Jordan (38231800),DeAndre Jordan,38231800,C/UTIL,4500,UTA@DEN 03/28/2025 09:00PM ET,DEN,12.38
,,,,,,,,,,,,,SF/PF,Ausar Thompson (38231802) (LOCKED),Ausar Thompson,38231802,SF/PF/F/UTIL,4500,In Progress,DET,22.78
,,,,,,,,,,,,,PG/SG,Nick Smith Jr. (38231808) (LOCKED),Nick Smith Jr.,38231808,PG/SG/G/UTIL,4500,In Progress,CHA,16.44
,,,,,,,,,,,,,C,Yves Missi (38231806),Yves Missi,38231806,C/UTIL,4500,GSW@NOP 03/28/2025 08:00PM ET,NOP,24.44
,,,,,,,,,,,,,PG/SG,Jordan Hawkins (38231812),Jordan Hawkins,38231812,PG/SG/G/UTIL,4500,GSW@NOP 03/28/2025 08:00PM ET,NOP,18.47
,,,,,,,,,,,,,C,Day'Ron Sharpe (38231816) (LOCKED),Day'Ron Sharpe,38231816,C/UTIL,4400,In Progress,BKN,21.84
,,,,,,,,,,,,,SG/SF,Josh Okogie (38231818) (LOCKED),Josh Okogie,38231818,SG/SF/F/G/UTIL,4400,In Progress,CHA,15.01
,,,,,,,,,,,,,PF/C,Jonathan Mogbo (38231823) (LOCKED),Jonathan Mogbo,38231823,PF/C/F/UTIL,4400,In Progress,TOR,16.00
,,,,,,,,,,,,,SG/SF,Max Strus (38231827) (LOCKED),Max Strus,38231827,SG/SF/F/G/UTIL,4300,In Progress,CLE,21.61
,,,,,,,,,,,,,SG,Taurean Prince (38231832),Taurean Prince,38231832,SG/G/UTIL,4300,NYK@MIL 03/28/2025 08:00PM ET,MIL,18.23
,,,,,,,,,,,,,SG,AJ Lawson (38231846) (LOCKED),AJ Lawson,38231846,SG/G/UTIL,4200,In Progress,TOR,15.40
,,,,,,,,,,,,,PF/C,Karlo Matkovic (38231835),Karlo Matkovic,38231835,PF/C/F/UTIL,4200,GSW@NOP 03/28/2025 08:00PM ET,NOP,17.12
,,,,,,,,,,,,,PG,Ryan Rollins (38231839),Ryan Rollins,38231839,PG/G/UTIL,4200,NYK@MIL 03/28/2025 08:00PM ET,MIL,11.50
,,,,,,,,,,,,,SF/PF,Ryan Dunn (38231842),Ryan Dunn,38231842,SF/PF/F/UTIL,4200,PHX@MIN 03/28/2025 08:00PM ET,PHX,14.32
,,,,,,,,,,,,,SF/PF,Noah Clowney (38231849) (LOCKED),Noah Clowney,38231849,SF/PF/F/UTIL,4100,In Progress,BKN,17.66
,,,,,,,,,,,,,SG,Tyrese Martin (38231853) (LOCKED),Tyrese Martin,38231853,SG/G/UTIL,4100,In Progress,BKN,17.56
,,,,,,,,,,,,,SF,Jamison Battle (38231856) (LOCKED),Jamison Battle,38231856,SF/F/UTIL,4100,In Progress,TOR,11.83
,,,,,,,,,,,,,SF/PF,DaQuan Jeffries (38231859) (LOCKED),DaQuan Jeffries,38231859,SF/PF/F/UTIL,4100,In Progress,CHA,13.72
,,,,,,,,,,,,,PG,KJ Simpson (38231866) (LOCKED),KJ Simpson,38231866,PG/G/UTIL,4000,In Progress,CHA,15.97
,,,,,,,,,,,,,SG,Buddy Hield (38231863),Buddy Hield,38231863,SG/G/UTIL,4000,GSW@NOP 03/28/2025 08:00PM ET,GSW,20.75
,,,,,,,,,,,,,PF/C,Dario Saric (38231882),Dario Saric,38231882,PF/C/F/UTIL,3900,UTA@DEN 03/28/2025 09:00PM ET,DEN,10.68
,,,,,,,,,,,,,SG/SF,Ja'Kobe Walter (38231869) (LOCKED),Ja'Kobe Walter,38231869,SG/SF/F/G/UTIL,3900,In Progress,TOR,15.44
,,,,,,,,,,,,,C,Jusuf Nurkic (38231874) (LOCKED),Jusuf Nurkic,38231874,C/UTIL,3900,In Progress,CHA,23.92
,,,,,,,,,,,,,C,Quinten Post (38231880),Quinten Post,38231880,C/UTIL,3900,GSW@NOP 03/28/2025 08:00PM ET,GSW,17.81
,,,,,,,,,,,,,PG/SG,Collin Gillespie (38231876),Collin Gillespie,38231876,PG/SG/G/UTIL,3900,PHX@MIN 03/28/2025 08:00PM ET,PHX,9.79
,,,,,,,,,,,,,PG/SG,Kris Dunn (38231901) (LOCKED),Kris Dunn,38231901,PG/SG/G/UTIL,3800,In Progress,LAC,19.09
,,,,,,,,,,,,,C,Ben Simmons (38231905) (LOCKED),Ben Simmons,38231905,C/UTIL,3800,In Progress,LAC,22.65
,,,,,,,,,,,,,SF,Ronald Holland II (38231893) (LOCKED),Ronald Holland II,38231893,SF/F/UTIL,3800,In Progress,DET,12.80
,,,,,,,,,,,,,SF/PF,Ochai Agbaji (38231886) (LOCKED),Ochai Agbaji,38231886,SF/PF/F/UTIL,3800,In Progress,TOR,19.99
,,,,,,,,,,,,,C,Colin Castleton (38231896) (LOCKED),Colin Castleton,38231896,C/UTIL,3800,In Progress,TOR,11.79
,,,,,,,,,,,,,PG,Damion Baugh (38231898) (LOCKED),Damion Baugh,38231898,PG/G/UTIL,3800,In Progress,CHA,20.23
,,,,,,,,,,,,,PG,Tyus Jones (38231890),Tyus Jones,38231890,PG/G/UTIL,3800,PHX@MIN 03/28/2025 08:00PM ET,PHX,24.27
,,,,,,,,,,,,,SF,Brice Sensabaugh (38231912),Brice Sensabaugh,38231912,SF/F/UTIL,3700,UTA@DEN 03/28/2025 09:00PM ET,UTA,17.13
,,,,,,,,,,,,,SG,Sam Merrill (38231917) (LOCKED),Sam Merrill,38231917,SG/G/UTIL,3700,In Progress,CLE,14.46
,,,,,,,,,,,,,SG/SF,Gary Payton II (38231907),Gary Payton II,38231907,SG/SF/F/G/UTIL,3700,GSW@NOP 03/28/2025 08:00PM ET,GSW,14.37
,,,,,,,,,,,,,C,Oso Ighodaro (38231915),Oso Ighodaro,38231915,C/UTIL,3700,PHX@MIN 03/28/2025 08:00PM ET,PHX,11.02
,,,,,,,,,,,,,SG/SF,Jalen Wilson (38231923) (LOCKED),Jalen Wilson,38231923,SG/SF/F/G/UTIL,3600,In Progress,BKN,16.82
,,,,,,,,,,,,,PF,Cole Swider (38231928) (LOCKED),Cole Swider,38231928,PF/F/UTIL,3600,In Progress,TOR,5.75
,,,,,,,,,,,,,PF,Bol Bol (38231920),Bol Bol,38231920,PF/F/UTIL,3600,PHX@MIN 03/28/2025 08:00PM ET,PHX,14.30
,,,,,,,,,,,,,PF,Derrick Jones Jr. (38231939) (LOCKED),Derrick Jones Jr.,38231939,PF/F/UTIL,3500,In Progress,LAC,18.96
,,,,,,,,,,,,,SG/SF,Tim Hardaway Jr. (38231931) (LOCKED),Tim Hardaway Jr.,38231931,SG/SF/F/G/UTIL,3500,In Progress,DET,17.60
,,,,,,,,,,,,,C,Mo Bamba (38231948),Mo Bamba,38231948,C/UTIL,3500,GSW@NOP 03/28/2025 08:00PM ET,NOP,13.24
,,,,,,,,,,,,,PF/C,Precious Achiuwa (38231944),Precious Achiuwa,38231944,PF/C/F/UTIL,3500,NYK@MIL 03/28/2025 08:00PM ET,NYK,17.44
,,,,,,,,,,,,,PG,Mike Conley (38231936),Mike Conley,38231936,PG/G/UTIL,3500,PHX@MIN 03/28/2025 08:00PM ET,MIN,21.35
,,,,,,,,,,,,,C,Mason Plumlee (38231942),Mason Plumlee,38231942,C/UTIL,3500,PHX@MIN 03/28/2025 08:00PM ET,PHX,16.67
,,,,,,,,,,,,,SG/SF,Johnny Juzang (38231960),Johnny Juzang,38231960,SG/SF/F/G/UTIL,3400,UTA@DEN 03/28/2025 09:00PM ET,UTA,15.31
,,,,,,,,,,,,,C,Isaiah Stewart (38231950) (LOCKED),Isaiah Stewart,38231950,C/UTIL,3400,In Progress,DET,18.65
,,,,,,,,,,,,,SG/SF,Josh Green (38231965) (LOCKED),Josh Green,38231965,SG/SF/F/G/UTIL,3400,In Progress,CHA,15.94
,,,,,,,,,,,,,PF/C,Jeremiah Robinson-Earl (38231952),Jeremiah Robinson-Earl,38231952,PF/C/F/UTIL,3400,GSW@NOP 03/28/2025 08:00PM ET,NOP,14.85
,,,,,,,,,,,,,C,Mitchell Robinson (38231970),Mitchell Robinson,38231970,C/UTIL,3400,NYK@MIL 03/28/2025 08:00PM ET,NYK,15.80
,,,,,,,,,,,,,SF/PF,Royce O'Neale (38231956),Royce O'Neale,38231956,SF/PF/F/UTIL,3400,PHX@MIN 03/28/2025 08:00PM ET,PHX,22.20
,,,,,,,,,,,,,PF,KJ Martin (38231987),KJ Martin,38231987,PF/F/UTIL,3300,UTA@DEN 03/28/2025 09:00PM ET,UTA,13.52
,,,,,,,,,,,,,PG/SG,Marcus Sasser (38231998) (LOCKED),Marcus Sasser,38231998,PG/SG/G/UTIL,3300,In Progress,DET,12.53
,,,,,,,,,,,,,C,Chris Boucher (38231977) (LOCKED),Chris Boucher,38231977,C/UTIL,3300,In Progress,TOR,19.09
,,,,,,,,,,,,,PF,Jared Rhoden (38231984) (LOCKED),Jared Rhoden,38231984,PF/F/UTIL,3300,In Progress,TOR,14.05
,,,,,,,,,,,,,SG,Seth Curry (38231990) (LOCKED),Seth Curry,38231990,SG/G/UTIL,3300,In Progress,CHA,10.62
,,,,,,,,,,,,,SG/SF,Antonio Reeves (38231972),Antonio Reeves,38231972,SG/SF/F/G/UTIL,3300,GSW@NOP 03/28/2025 08:00PM ET,NOP,8.3
,,,,,,,,,,,,,SG/SF,Landry Shamet (38231993),Landry Shamet,38231993,SG/SF/F/G/UTIL,3300,NYK@MIL 03/28/2025 08:00PM ET,NYK,7.33
,,,,,,,,,,,,,SG/SF,Grayson Allen (38231979),Grayson Allen,38231979,SG/SF/F/G/UTIL,3300,PHX@MIN 03/28/2025 08:00PM ET,PHX,20.54
,,,,,,,,,,,,,SG/SF,Amir Coffey (38232024) (LOCKED),Amir Coffey,38232024,SG/SF/F/G/UTIL,3200,In Progress,LAC,16.26
,,,,,,,,,,,,,PG/SG,Jalen Pickett (38232017),Jalen Pickett,38232017,PG/SG/G/UTIL,3200,UTA@DEN 03/28/2025 09:00PM ET,DEN,8.67
,,,,,,,,,,,,,PF,Simone Fontecchio (38232014) (LOCKED),Simone Fontecchio,38232014,PF/F/UTIL,3200,In Progress,DET,12.53
,,,,,,,,,,,,,C,Moussa Diabate (38232029) (LOCKED),Moussa Diabate,38232029,C/UTIL,3200,In Progress,CHA,16.53
,,,,,,,,,,,,,PG,Elfrid Payton (38232031),Elfrid Payton,38232031,PG/G/UTIL,3200,GSW@NOP 03/28/2025 08:00PM ET,NOP,18.18
,,,,,,,,,,,,,PG/SG,AJ Green (38232002),AJ Green,38232002,PG/SG/G/UTIL,3200,NYK@MIL 03/28/2025 08:00PM ET,MIL,14.50
,,,,,,,,,,,,,PG,Tyler Kolek (38232021),Tyler Kolek,38232021,PG/G/UTIL,3200,NYK@MIL 03/28/2025 08:00PM ET,NYK,5.06
,,,,,,,,,,,,,SG/SF,Nickeil Alexander-Walker (38232006),Nickeil Alexander-Walker,38232006,SG/SF/F/G/UTIL,3200,PHX@MIN 03/28/2025 08:00PM ET,MIN,19.22
,,,,,,,,,,,,,SF,Cody Martin (38232011),Cody Martin,38232011,SF/F/UTIL,3200,PHX@MIN 03/28/2025 08:00PM ET,PHX,19.78
,,,,,,,,,,,,,SF/PF,Maxwell Lewis (38232050) (LOCKED),Maxwell Lewis,38232050,SF/PF/F/UTIL,3100,In Progress,BKN,6.64
,,,,,,,,,,,,,SF,Cody Williams (38232063),Cody Williams,38232063,SF/F/UTIL,3100,UTA@DEN 03/28/2025 09:00PM ET,UTA,10.68
,,,,,,,,,,,,,SG/SF,Isaac Okoro (38232054) (LOCKED),Isaac Okoro,38232054,SG/SF/F/G/UTIL,3100,In Progress,CLE,12.45
,,,,,,,,,,,,,PF,Tidjane Salaun (38232066) (LOCKED),Tidjane Salaun,38232066,PF/F/UTIL,3100,In Progress,CHA,13.88
,,,,,,,,,,,,,SF,Keion Brooks Jr. (38232034),Keion Brooks Jr.,38232034,SF/F/UTIL,3100,GSW@NOP 03/28/2025 08:00PM ET,NOP,10.05
,,,,,,,,,,,,,PF,Brandon Boston Jr. (38232043),Brandon Boston Jr.,38232043,PF/F/UTIL,3100,GSW@NOP 03/28/2025 08:00PM ET,NOP,20.86
,,,,,,,,,,,,,SF/PF,Gui Santos (38232059),Gui Santos,38232059,SF/PF/F/UTIL,3100,GSW@NOP 03/28/2025 08:00PM ET,GSW,11.37
,,,,,,,,,,,,,SF/PF,Pat Connaughton (38232046),Pat Connaughton,38232046,SF/PF/F/UTIL,3100,NYK@MIL 03/28/2025 08:00PM ET,MIL,10.53
,,,,,,,,,,,,,PG,Rob Dillingham (38232037),Rob Dillingham,38232037,PG/G/UTIL,3100,PHX@MIN 03/28/2025 08:00PM ET,MIN,10.21
,,,,,,,,,,,,,SF,Jaylen Clark (38232040),Jaylen Clark,38232040,SF/F/UTIL,3100,PHX@MIN 03/28/2025 08:00PM ET,MIN,9.99
,,,,,,,,,,,,,PG,De'Anthony Melton (38232187) (LOCKED),De'Anthony Melton,38232187,PG/G/UTIL,3000,In Progress,BKN,22.25
,,,,,,,,,,,,,PG,Cam Thomas (38232190) (LOCKED),Cam Thomas,38232190,PG/G/UTIL,3000,In Progress,BKN,35.29
,,,,,,,,,,,,,PG,Reece Beekman (38232193) (LOCKED),Reece Beekman,38232193,PG/G/UTIL,3000,In Progress,BKN,6.22
,,,,,,,,,,,,,SF/PF,Tosan Evbuomwan (38232196) (LOCKED),Tosan Evbuomwan,38232196,SF/PF/F/UTIL,3000,In Progress,BKN,18.68
,,,,,,,,,,,,,PG,Tyson Etienne (38232200) (LOCKED),Tyson Etienne,38232200,PG/G/UTIL,3000,In Progress,BKN,0
,,,,,,,,,,,,,SG,Dariq Whitehead (38232203) (LOCKED),Dariq Whitehead,38232203,SG/G/UTIL,3000,In Progress,BKN,6.82
,,,,,,,,,,,,,SG/SF,Jordan Miller (38232315) (LOCKED),Jordan Miller,38232315,SG/SF/F/G/UTIL,3000,In Progress,LAC,9.04
,,,,,,,,,,,,,SG,Seth Lundy (38232320) (LOCKED),Seth Lundy,38232320,SG/G/UTIL,3000,In Progress,LAC,0
,,,,,,,,,,,,,C,Drew Eubanks (38232323) (LOCKED),Drew Eubanks,38232323,C/UTIL,3000,In Progress,LAC,12.85
,,,,,,,,,,,,,PF,Patrick Baldwin Jr. (38232325) (LOCKED),Patrick Baldwin Jr.,38232325,PF/F/UTIL,3000,In Progress,LAC,4.11
,,,,,,,,,,,,,PF/C,Nicolas Batum (38232328) (LOCKED),Nicolas Batum,38232328,PF/C/F/UTIL,3000,In Progress,LAC,11.76
,,,,,,,,,,,,,PF/C,Kobe Brown (38232332) (LOCKED),Kobe Brown,38232332,PF/C/F/UTIL,3000,In Progress,LAC,5.41
,,,,,,,,,,,,,SG,Cam Christie (38232336) (LOCKED),Cam Christie,38232336,SG/G/UTIL,3000,In Progress,LAC,4.41
,,,,,,,,,,,,,SG,Trentyn Flowers (38232339) (LOCKED),Trentyn Flowers,38232339,SG/G/UTIL,3000,In Progress,LAC,6.75
,,,,,,,,,,,,,PG,Patty Mills (38232342) (LOCKED),Patty Mills,38232342,PG/G/UTIL,3000,In Progress,LAC,7.18
,,,,,,,,,,,,,SG/SF,Julian Strawther (38232135),Julian Strawther,38232135,SG/SF/F/G/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,DEN,16.12
,,,,,,,,,,,,,C,DaRon Holmes II (38232140),DaRon Holmes II,38232140,C/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,DEN,0
,,,,,,,,,,,,,PF,Vlatko Cancar (38232142),Vlatko Cancar,38232142,PF/F/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,DEN,5.80
,,,,,,,,,,,,,SG/SF,Spencer Jones (38232145),Spencer Jones,38232145,SG/SF/F/G/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,DEN,3.03
,,,,,,,,,,,,,PG/SG,Trey Alexander (38232150),Trey Alexander,38232150,PG/SG/G/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,DEN,2.29
,,,,,,,,,,,,,SF,Hunter Tyson (38232154),Hunter Tyson,38232154,SF/F/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,DEN,5.55
,,,,,,,,,,,,,PF,PJ Hall (38232157),PJ Hall,38232157,PF/F/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,DEN,3.51
,,,,,,,,,,,,,PF/C,Zeke Nnaji (38232160),Zeke Nnaji,38232160,PF/C/F/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,DEN,7.97
,,,,,,,,,,,,,PG,EJ Harkless (38232270),EJ Harkless,38232270,PG/G/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,UTA,9.42
,,,,,,,,,,,,,C,Taylor Hendricks (38232273),Taylor Hendricks,38232273,C/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,UTA,18.08
,,,,,,,,,,,,,SF,Svi Mykhailiuk (38232275),Svi Mykhailiuk,38232275,SF/F/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,UTA,16.3
,,,,,,,,,,,,,C,Oscar Tshiebwe (38232278),Oscar Tshiebwe,38232278,C/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,UTA,16.64
,,,,,,,,,,,,,SG,Jaden Springer (38232280),Jaden Springer,38232280,SG/G/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,UTA,5.27
,,,,,,,,,,,,,PF/C,Micah Potter (38232283),Micah Potter,38232283,PF/C/F/UTIL,3000,UTA@DEN 03/28/2025 09:00PM ET,UTA,11.96
,,,,,,,,,,,,,PF/C,Dean Wade (38232069) (LOCKED),Dean Wade,38232069,PF/C/F/UTIL,3000,In Progress,CLE,15.58
,,,,,,,,,,,,,PG,Jaden Ivey (38232078) (LOCKED),Jaden Ivey,38232078,PG/G/UTIL,3000,In Progress,DET,30.88
,,,,,,,,,,,,,C,Tolu Smith (38232081) (LOCKED),Tolu Smith,38232081,C/UTIL,3000,In Progress,DET,0
,,,,,,,,,,,,,SF,Ron Harper Jr. (38232083) (LOCKED),Ron Harper Jr.,38232083,SF/F/UTIL,3000,In Progress,DET,0
,,,,,,,,,,,,,C,Paul Reed (38232086) (LOCKED),Paul Reed,38232086,C/UTIL,3000,In Progress,DET,11.30
,,,,,,,,,,,,,PF,Lindy Waters III (38232088) (LOCKED),Lindy Waters III,38232088,PF/F/UTIL,3000,In Progress,DET,10.71
,,,,,,,,,,,,,PG,Daniss Jenkins (38232091) (LOCKED),Daniss Jenkins,38232091,PG/G/UTIL,3000,In Progress,DET,-0.1
,,,,,,,,,,,,,PF,Bobi Klintman (38232094) (LOCKED),Bobi Klintman,38232094,PF/F/UTIL,3000,In Progress,DET,1.33
,,,,,,,,,,,,,PG,Emoni Bates (38232211) (LOCKED),Emoni Bates,38232211,PG/G/UTIL,3000,In Progress,CLE,2.14
,,,,,,,,,,,,,SG/SF,Jaylon Tyson (38232214) (LOCKED),Jaylon Tyson,38232214,SG/SF/F/G/UTIL,3000,In Progress,CLE,7.19
,,,,,,,,,,,,,C,Tristan Thompson (38232219) (LOCKED),Tristan Thompson,38232219,C/UTIL,3000,In Progress,CLE,6.31
,,,,,,,,,,,,,SF/PF,Javonte Green (38232221) (LOCKED),Javonte Green,38232221,SF/PF/F/UTIL,3000,In Progress,CLE,14.09
,,,,,,,,,,,,,C,Nae'Qwan Tomlin (38232225) (LOCKED),Nae'Qwan Tomlin,38232225,C/UTIL,3000,In Progress,CLE,4.5
,,,,,,,,,,,,,PG,Craig Porter Jr. (38232227) (LOCKED),Craig Porter Jr.,38232227,PG/G/UTIL,3000,In Progress,CLE,7.21
,,,,,,,,,,,,,SF,Luke Travers (38232230) (LOCKED),Luke Travers,38232230,SF/F/UTIL,3000,In Progress,CLE,3.56
,,,,,,,,,,,,,C,Ulrich Chomche (38232206) (LOCKED),Ulrich Chomche,38232206,C/UTIL,3000,In Progress,TOR,2.71
,,,,,,,,,,,,,SG,Garrett Temple (38232208) (LOCKED),Garrett Temple,38232208,SG/G/UTIL,3000,In Progress,TOR,5.22
,,,,,,,,,,,,,C,Grant Williams (38232345) (LOCKED),Grant Williams,38232345,C/UTIL,3000,In Progress,CHA,24.09
,,,,,,,,,,,,,SG,Brandon Miller (38232347) (LOCKED),Brandon Miller,38232347,SG/G/UTIL,3000,In Progress,CHA,36.81
,,,,,,,,,,,,,PG,Tre Mann (38232350) (LOCKED),Tre Mann,38232350,PG/G/UTIL,3000,In Progress,CHA,23.88
,,,,,,,,,,,,,C,Taj Gibson (38232353) (LOCKED),Taj Gibson,38232353,C/UTIL,3000,In Progress,CHA,9.21
,,,,,,,,,,,,,SF,Marcus Garrett (38232355) (LOCKED),Marcus Garrett,38232355,SF/F/UTIL,3000,In Progress,CHA,15.88
,,,,,,,,,,,,,PG,Malachi Flynn (38232358) (LOCKED),Malachi Flynn,38232358,PG/G/UTIL,3000,In Progress,CHA,9.94
,,,,,,,,,,,,,SF/PF,Wendell Moore Jr. (38232361) (LOCKED),Wendell Moore Jr.,38232361,SF/PF/F/UTIL,3000,In Progress,CHA,10.08
,,,,,,,,,,,,,SG/SF,Jamal Cain (38232073),Jamal Cain,38232073,SG/SF/F/G/UTIL,3000,GSW@NOP 03/28/2025 08:00PM ET,NOP,7.93
,,,,,,,,,,,,,PG,Dejounte Murray (38232122),Dejounte Murray,38232122,PG/G/UTIL,3000,GSW@NOP 03/28/2025 08:00PM ET,NOP,41.03
,,,,,,,,,,,,,C,Herbert Jones (38232125),Herbert Jones,38232125,C/UTIL,3000,GSW@NOP 03/28/2025 08:00PM ET,NOP,24.28
,,,,,,,,,,,,,PF,Trey Murphy III (38232127),Trey Murphy III,38232127,PF/F/UTIL,3000,GSW@NOP 03/28/2025 08:00PM ET,NOP,37.01
,,,,,,,,,,,,,SG/SF,Lester Quinones (38232130),Lester Quinones,38232130,SG/SF/F/G/UTIL,3000,GSW@NOP 03/28/2025 08:00PM ET,NOP,4.1
,,,,,,,,,,,,,PF,Jackson Rowe (38232250),Jackson Rowe,38232250,PF/F/UTIL,3000,GSW@NOP 03/28/2025 08:00PM ET,GSW,7.4
,,,,,,,,,,,,,PG,Taran Armstrong (38232253),Taran Armstrong,38232253,PG/G/UTIL,3000,GSW@NOP 03/28/2025 08:00PM ET,GSW,0
,,,,,,,,,,,,,C,Kevon Looney (38232256),Kevon Looney,38232256,C/UTIL,3000,GSW@NOP 03/28/2025 08:00PM ET,GSW,16.86
,,,,,,,,,,,,,PG,Pat Spencer (38232258),Pat Spencer,38232258,PG/G/UTIL,3000,GSW@NOP 03/28/2025 08:00PM ET,GSW,6.62
,,,,,,,,,,,,,C,Trayce Jackson-Davis (38232261),Trayce Jackson-Davis,38232261,C/UTIL,3000,GSW@NOP 03/28/2025 08:00PM ET,GSW,17.99
,,,,,,,,,,,,,SF/PF,Kevin Knox II (38232263),Kevin Knox II,38232263,SF/PF/F/UTIL,3000,GSW@NOP 03/28/2025 08:00PM ET,GSW,7.5
,,,,,,,,,,,,,PF,Braxton Key (38232267),Braxton Key,38232267,PF/F/UTIL,3000,GSW@NOP 03/28/2025 08:00PM ET,GSW,0
,,,,,,,,,,,,,C,Jericho Sims (38232164),Jericho Sims,38232164,C/UTIL,3000,NYK@MIL 03/28/2025 08:00PM ET,MIL,8.21
,,,,,,,,,,,,,C,Bobby Portis (38232166),Bobby Portis,38232166,C/UTIL,3000,NYK@MIL 03/28/2025 08:00PM ET,MIL,30
