Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4684188601,to77778 (2/2),265.34,97,C Jusuf Nurkic F Pascal Siakam G Zach LaVine PF Kyle Filipowski PG Tyrese Haliburton SF Johnny Juzang SG Collin Sexton UTIL Brice Sensabaugh,,Jusuf Nurkic,C,59.13%,14
2,4684188570,to77778 (1/2),265.24,83,C Jusuf Nurkic F Miles Bridges G Zach LaVine PF DaQuan Jeffries PG Andrew Nembhard SF Brice Sensabaugh SG Collin Sexton UTIL Tyrese Haliburton,,Jonathan Mogbo,PF,32.59%,3.25
3,4683893236,Idiobel (1/2),290.09003,82,C Jalen Duren F Johnny Juzang G Malik Beasley PF Kyle Filipowski PG Tyrese Haliburton SF DeMar DeRozan SG Seth Curry UTIL Jusuf Nurkic,,Dennis Schroder,SG,29.61%,-0.5
4,4684204429,Ambiance1 (2/5),265.29,79.75,C Myles Turner F DeMar DeRozan G Tyrese Haliburton PF Kyle Filipowski PG KJ Simpson SF Brice Sensabaugh SG Andrew Nembhard UTIL Jusuf Nurkic,,Tyrese Haliburton,PG,26.55%,13
5,4684262764,xenagaby77,280.16,78.5,C Jusuf Nurkic F LOCKED G Collin Sexton PF Pascal Siakam PG Tyrese Haliburton SF Brice Sensabaugh SG Seth Curry UTIL Isaiah Collier,,Ausar Thompson,SF,25.34%,3.5
6,4684313208,jrbep44,290.09,77.25,C Jusuf Nurkic F DeMar DeRozan G Isaiah Collier PF Ausar Thompson PG Tyrese Haliburton SF Brice Sensabaugh SG Seth Curry UTIL Jalen Duren,,KJ Simpson,G,17.08%,3.5
7,4683893384,avantc (3/3),292.51,76.75,C Jusuf Nurkic F Brice Sensabaugh G Seth Curry PF Pascal Siakam PG Tyrese Haliburton SF DeMar DeRozan SG LOCKED UTIL Jalen Duren,,Paul Reed,C,14.14%,0
8,4684111056,4Cups (2/6),277.74,76,C Myles Turner F Tidjane Salaun G Isaiah Collier PF Obi Toppin PG Tyrese Haliburton SF DeMar DeRozan SG Collin Sexton UTIL Ausar Thompson,,Ja'Kobe Walter,SG,14.12%,0
9,4683851970,CWHomes,289.78998,73.75,C Myles Turner F Kyle Filipowski G Collin Sexton PF Pascal Siakam PG Tyrese Haliburton SF Johnny Juzang SG Bradley Beal UTIL Jamison Battle,,Malik Beasley,SG,12.78%,4.75
10,4683961584,clmabrey (1/2),307.38,72.25,C Domantas Sabonis F LOCKED G LOCKED PF Pascal Siakam PG Collin Sexton SF Malik Beasley SG Andrew Nembhard UTIL Jusuf Nurkic,,Jalen Duren,UTIL,12.70%,8
11,4684237131,cardsfan314816 (10/20),302.59003,72,C Jusuf Nurkic F Jonathan Mogbo G Dennis Schroder PF Pascal Siakam PG Tyrese Haliburton SF Brice Sensabaugh SG Keyonte George UTIL Jalen Duren,,Brice Sensabaugh,F,12.70%,6.25
12,4684366481,jonforce44 (3/4),307.77,71.25,C Jusuf Nurkic F Zach LaVine G LOCKED PF Pascal Siakam PG Tyrese Haliburton SF DeMar DeRozan SG LOCKED UTIL Orlando Robinson,,Kyle Filipowski,PF,12.31%,8.75
12,4684226343,justajoe2u (15/20),305.01,71.25,C Jusuf Nurkic F Pascal Siakam G LOCKED PF Kyle Filipowski PG Andrew Nembhard SF Jamison Battle SG Keyonte George UTIL Jalen Duren,,Jamison Battle,SF,12.03%,0.75
14,4684321913,Amenrabuck (6/20),307.43,70.25,C Jusuf Nurkic F LOCKED G Isaiah Collier PF Pascal Siakam PG Tyrese Haliburton SF Brice Sensabaugh SG LOCKED UTIL Jalen Duren,,Tim Hardaway Jr.,SG,8.26%,0
15,4684376577,ajimale08 (2/20),319.38,69.5,C Jusuf Nurkic F LOCKED G Devin Booker PF Pascal Siakam PG Isaiah Collier SF LOCKED SG Keyonte George UTIL Jalen Duren,,Myles Turner,C,7.21%,7.5
15,4684204199,SpeedRacer101 (4/20),307.47998,69.5,C Jalen Duren F Kyle Filipowski G Keyonte George PF Pascal Siakam PG Isaiah Collier SF LOCKED SG Andrew Nembhard UTIL LOCKED,,Pascal Siakam,F,6.98%,16
15,4684289604,mblack412 (3/20),292.61,69.5,C Myles Turner F Jamison Battle G LOCKED PF Pascal Siakam PG Tyrese Haliburton SF Brice Sensabaugh SG Keyonte George UTIL Jusuf Nurkic,,Oscar Tshiebwe,UTIL,5.63%,0
18,4683840365,headcoles (2/3),265.34,69.25,C Obi Toppin F Brice Sensabaugh G Keyonte George PF Kyle Filipowski PG Malik Monk SF Josh Okogie SG Collin Sexton UTIL Tyrese Haliburton,,Royce O'Neale,PF,5.38%,0
19,4684186754,papaaj1 (13/20),307.43,68.75,C Jusuf Nurkic F LOCKED G Isaiah Collier PF Pascal Siakam PG Tyrese Haliburton SF Jamison Battle SG Keyonte George UTIL LOCKED,,Jayson Tatum,F,5.34%,4.75
19,4684245765,DetroitNative876 (3/5),305.01,68.75,C Jusuf Nurkic F LOCKED G Dennis Schroder PF Pascal Siakam PG Tyrese Haliburton SF Brice Sensabaugh SG Keyonte George UTIL Jalen Duren,,Devin Booker,UTIL,5.22%,6.5
19,4684034229,timothyandstacy (11/20),295.03,68.75,C Jusuf Nurkic F Kyle Filipowski G LOCKED PF Pascal Siakam PG Andrew Nembhard SF Brice Sensabaugh SG Keyonte George UTIL LOCKED,,Isaiah Collier,G,4.91%,13
22,4684286225,PackerRock2 (3/5),294.88,68,C Domantas Sabonis F DaQuan Jeffries G LOCKED PF Miles Bridges PG Isaiah Collier SF LOCKED SG Johnny Juzang UTIL Jusuf Nurkic,,Miles Bridges,PF,4.78%,11.75
23,4684204677,ej_stratton,279.91003,67.75,C Domantas Sabonis F Trey Lyles G LOCKED PF Keegan Murray PG Malik Monk SF DeMar DeRozan SG Zach LaVine UTIL Jonas Valanciunas,,Domantas Sabonis,C,4.67%,14
