Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Quenton Jackson (38042226),Quenton Jackson,38042226,PG/G/UTIL,3000,MIL@IND 03/11/2025 07:30PM ET,IND,11.98
C,Tony Bradley (38042229),Tony Bradley,38042229,C/UTIL,3000,MIL@IND 03/11/2025 07:30PM ET,IND,4.42
PG,Ryan Rollins (38042291),Ryan Rollins,38042291,PG/G/UTIL,3000,MIL@IND 03/11/2025 07:30PM ET,MIL,10.96
SF/PF,Pat Connaughton (38042294),Pat Connaughton,38042294,SF/PF/F/UTIL,3000,MIL@IND 03/11/2025 07:30PM ET,MIL,10.75
C,Bobby Portis (38042298),Bobby Portis,38042298,C/UTIL,3000,MIL@IND 03/11/2025 07:30PM ET,MIL,30.0
C,Pete Nance (38042300),Pete Nance,38042300,C/UTIL,3000,MIL@IND 03/11/2025 07:30PM ET,MIL,5.14
C,Chris Livingston (38042302),Chris Livingston,38042302,C/UTIL,3000,MIL@IND 03/11/2025 07:30PM ET,MIL,3.75
SG,Stanley Umude (38042304),Stanley Umude,38042304,SG/G/UTIL,3000,MIL@IND 03/11/2025 07:30PM ET,MIL,2.36
PG,Jamaree Bouyea (38042307),Jamaree Bouyea,38042307,PG/G/UTIL,3000,MIL@IND 03/11/2025 07:30PM ET,MIL,5.0
C,Drew Eubanks (38042185),Drew Eubanks,38042185,C/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,LAC,13.48
PG,Dejounte Murray (38042191),Dejounte Murray,38042191,PG/G/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,NOP,41.03
C,Herbert Jones (38042194),Herbert Jones,38042194,C/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,NOP,24.28
PF/C,Jeremiah Robinson-Earl (38042196),Jeremiah Robinson-Earl,38042196,PF/C/F/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,NOP,14.28
SF,Jamal Cain (38042200),Jamal Cain,38042200,SF/F/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,NOP,8.57
SG,Antonio Reeves (38042203),Antonio Reeves,38042203,SG/G/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,NOP,8.0
SF/PF,Keion Brooks Jr. (38042206),Keion Brooks Jr.,38042206,SF/PF/F/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,NOP,4.62
PG,Lester Quinones (38042210),Lester Quinones,38042210,PG/G/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,NOP,3.38
SG,Seth Lundy (38042276),Seth Lundy,38042276,SG/G/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,LAC,0.0
SG,Cam Christie (38042279),Cam Christie,38042279,SG/G/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,LAC,4.25
SG,Trentyn Flowers (38042282),Trentyn Flowers,38042282,SG/G/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,LAC,6.75
PF,Patrick Baldwin Jr. (38042285),Patrick Baldwin Jr.,38042285,PF/F/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,LAC,4.11
PG,Patty Mills (38042288),Patty Mills,38042288,PG/G/UTIL,3000,LAC@NOP 03/11/2025 08:00PM ET,LAC,8.17
