Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4625756890,Bigboy329 (2/4),263.74002,108.25,C Anthony Davis F Josh Okogie G LaMelo Ball PF Miles Bridges PG Austin Reaves SF Josh Green SG Max Christie UTIL LOCKED,,D'Angelo Russell,SG,23.47%,10
2,4625666529,jjax2504 (20/20),274.69,107.25,C Anthony Davis F Dorian Finney-Smith G Jaylen Brown PF LeBron James PG Austin Reaves SF LOCKED SG Max Christie UTIL Jarred Vanderbilt,,Al Horford,PF,13.25%,0
3,4625624321,runupmoney97,280.92,103.75,C Anthony Davis F Miles Bridges G Austin Reaves PF LeBron James PG LOCKED SF Max Christie SG Dalton Knecht UTIL LOCKED,,RJ Barrett,SF,10.54%,7
4,4625798292,Wineternal,263.22998,99.25,C Anthony Davis F Ausar Thompson G Austin Reaves PF Miles Bridges PG Darius Garland SF Josh Green SG Max Strus UTIL LOCKED,,Malik Monk,SG,9.90%,4.75
5,4625666510,jjax2504 (1/20),292.98,99,C Anthony Davis F LOCKED G Luke Kennard PF LeBron James PG Austin Reaves SF LOCKED SG Max Christie UTIL Jalen Duren,,Ty Jerome,PG,9.81%,12
6,4625569943,mason19 (17/20),275.45,98.75,C Anthony Davis F Nick Smith Jr. G Darius Garland PF Miles Bridges PG D'Angelo Russell SF Josh Green SG LOCKED UTIL Max Christie,,Karl-Anthony Towns,C,9.08%,9.25
7,4625666526,jjax2504 (17/20),263.4,98,C Anthony Davis F Max Christie G Austin Reaves PF Tobias Harris PG LaMelo Ball SF Nick Smith Jr. SG Max Strus UTIL LOCKED,,Anthony Davis,C,8.97%,39.75
8,4625344986,quintrail,280.41,97.5,C Jarrett Allen F LeBron James G LOCKED PF Evan Mobley PG LOCKED SF Tim Hardaway Jr. SG Nick Smith Jr. UTIL Anthony Davis,,Jakob Poeltl,C,8.96%,8.25
9,4625583384,Mase1990 (7/20),298.1,95.5,C Anthony Davis F LOCKED G LOCKED PF LeBron James PG Austin Reaves SF Max Christie SG Nick Smith Jr. UTIL LOCKED,,Payton Pritchard,SG,8.66%,0
10,4625605204,Footballchamp1967,292.8,95.25,C Anthony Davis F Keegan Murray G LOCKED PF LeBron James PG Austin Reaves SF Dalton Knecht SG Max Christie UTIL LOCKED,,Kel'el Ware,C,8.18%,2.75
11,4625719016,bubbamsu (2/11),289.01,93.25,C Anthony Davis F Trey Lyles G LaMelo Ball PF Miles Bridges PG Austin Reaves SF Ja'Kobe Walter SG Max Christie UTIL LOCKED,,Jaylen Brown,SF,7.72%,10.25
12,4625366666,H062 (10/20),258.11,93,C Anthony Davis F Simone Fontecchio G Cameron Payne PF LeBron James PG LaMelo Ball SF Tim Hardaway Jr. SG Sam Merrill UTIL Jalen Duren,,Gradey Dick,SG,7.66%,4.5
13,4625657845,bfowler0419 (1/2),276.46002,92.5,C Anthony Davis F Dalton Knecht G Cade Cunningham PF Chris Boucher PG LaMelo Ball SF LOCKED SG Max Christie UTIL Ty Jerome,,Jrue Holiday,PG,7.15%,1.5
14,4625250530,CoeBudz420,275.82,91.25,C Anthony Davis F DaQuan Jeffries G LOCKED PF LeBron James PG LaMelo Ball SF Max Strus SG Seth Curry UTIL Zach Edey,,Max Strus,SF,6.95%,4.5
