Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4650535063,erik.haymon (5/6),345.86002,59.75,C Andre Drummond F OG Anunoby G Tyrese Haliburton PF Ochai Agbaji PG Jalen Brunson SF Josh Hart SG Anfernee Simons UTIL Richaun Holmes,,Deni Avdija,PF,36.27%,7.25
2,4650042226,jwatkinsjd (8/20),348.11002,59.25,C Myles Turner F Deni Avdija G Tyrese Haliburton PF Josh Hart PG Anfernee Simons SF Ochai Agbaji SG Gradey Dick UTIL Immanuel Quickley,,Josh Hart,F,30.65%,9.75
3,4650117743,dfsproduction1,344.81003,57.5,C Richaun Holmes F Josh Hart G Immanuel Quickley PF Jerami Grant PG Jordan Poole SF Deni Avdija SG Anfernee Simons UTIL Andre Drummond,,RJ Barrett,F,28.75%,0
4,4650042227,jwatkinsjd (9/20),347.36002,57.25,C Myles Turner F Deni Avdija G Tyrese Haliburton PF Josh Hart PG Anfernee Simons SF Ochai Agbaji SG Gradey Dick UTIL Paul George,,Jalen Brunson,PG,23.41%,9.5
4,4650372862,mosdef8523 (3/3),344.81003,57.25,C Andre Drummond F Jerami Grant G Toumani Camara PF Deni Avdija PG Tyrese Haliburton SF Josh Hart SG Anfernee Simons UTIL Donovan Clingan,,Aaron Nesmith,SG,23.39%,0.25
4,4650361935,mosdef8523 (1/3),344.36002,57.25,C Andre Drummond F OG Anunoby G Mikal Bridges PF Deni Avdija PG Jalen Brunson SF Josh Hart SG Anfernee Simons UTIL Ariel Hukporti,,Gradey Dick,SG,21.19%,2.75
7,4650302043,touss14 (1/20),350.79,57,C Andre Drummond F Josh Hart G Jalen Brunson PF Deni Avdija PG Tyrese Haliburton SF Ochai Agbaji SG Anfernee Simons UTIL LOCKED,,Andre Drummond,C,18.24%,7
8,4650316952,zigger77 (3/20),345.94003,56.75,C Andre Drummond F Jayson Tatum G Tyrese Haliburton PF Josh Hart PG Immanuel Quickley SF Ochai Agbaji SG Gradey Dick UTIL Donovan Clingan,,Anfernee Simons,PG,18.12%,8.5
9,4650356167,soifasoif (10/20),352.29,56.5,C Myles Turner F Ochai Agbaji G Immanuel Quickley PF Deni Avdija PG Tyrese Haliburton SF Josh Hart SG Anfernee Simons UTIL LOCKED,,Jayson Tatum,F,17.86%,10
9,4650118002,BigT44,344.06003,56.5,C Donovan Clingan F Kyshawn George G Jalen Brunson PF Deni Avdija PG Anfernee Simons SF Josh Hart SG Toumani Camara UTIL Andre Drummond,,Immanuel Quickley,PG,12.80%,6.5
11,4649919241,gkv420,345.95,56.25,C Richaun Holmes F Tobias Harris G Jordan Poole PF Deni Avdija PG Anfernee Simons SF Toumani Camara SG LOCKED UTIL Kristaps Porzingis,,Myles Turner,C,12.03%,9.5
11,4650182943,HamNoBurger,344.06003,56.25,C Andre Drummond F Jerami Grant G Jalen Brunson PF Josh Hart PG Anfernee Simons SF Deni Avdija SG Toumani Camara UTIL Richaun Holmes,,Tyrese Haliburton,PG,11.26%,9.5
13,4650234297,seand713 (3/3),345.47998,55.75,C Andre Drummond F Tobias Harris G Toumani Camara PF Deni Avdija PG Tyrese Haliburton SF Jayson Tatum SG Jrue Holiday UTIL LOCKED,,Jerami Grant,F,10.40%,3.5
14,4650212971,beastmode2423 (4/20),350.02002,54.25,C Andre Drummond F Ochai Agbaji G Tyrese Haliburton PF Deni Avdija PG Immanuel Quickley SF Jayson Tatum SG Anfernee Simons UTIL LOCKED,,Ochai Agbaji,UTIL,9.57%,5.5
14,4650326512,salatso22 (20/20),345.09003,54.25,C Andre Drummond F Jayson Tatum G Tyrese Haliburton PF Josh Hart PG Jordan Poole SF Aaron Nesmith SG Gradey Dick UTIL Richaun Holmes,,Toumani Camara,SF,8.67%,6
14,4650551552,crippy123,343.69,54.25,C Donovan Clingan F Tobias Harris G Kelly Oubre Jr. PF OG Anunoby PG Jalen Brunson SF Josh Hart SG Mikal Bridges UTIL Aaron Nesmith,,Payton Pritchard,SG,8.43%,0
17,4649964959,maccat33 (8/14),351.44,53.75,C Myles Turner F LOCKED G Tyrese Haliburton PF Deni Avdija PG Jordan Poole SF Josh Hart SG Gradey Dick UTIL Richaun Holmes,,Donovan Clingan,C,7.75%,5.75
18,4650535060,erik.haymon (2/6),348.31003,53.5,C Andre Drummond F Ochai Agbaji G Tyrese Haliburton PF Pascal Siakam PG Jalen Brunson SF Josh Hart SG Aaron Nesmith UTIL Myles Turner,,Jordan Poole,PG,6.96%,10.25
19,4649996930,austinsin (10/20),343.86002,53.25,C Richaun Holmes F Khris Middleton G Toumani Camara PF Josh Hart PG Jordan Poole SF Deni Avdija SG Anfernee Simons UTIL Donovan Clingan,,Pascal Siakam,PF,6.24%,2.5
20,4650237827,honkee80,347.47003,52.75,C Andre Drummond F LOCKED G Jordan Poole PF Deni Avdija PG Anfernee Simons SF Jayson Tatum SG Bilal Coulibaly UTIL Donovan Clingan,,Richaun Holmes,C,5.63%,4.75
21,4649931791,Airborntrey (3/17),350.87003,52.5,C Myles Turner F Ochai Agbaji G Anfernee Simons PF Josh Hart PG Immanuel Quickley SF Jayson Tatum SG Gradey Dick UTIL LOCKED,,Kelly Oubre Jr.,G,5.58%,3.25
21,4650083538,maxk3293,345.76,52.5,C Andre Drummond F Deni Avdija G Jalen Brunson PF Jerami Grant PG Tyrese Haliburton SF Josh Hart SG Aaron Nesmith UTIL Donovan Clingan,,Andrew Nembhard,SG,5.51%,-0.5
23,4649894727,Wildcats2895 (1/3),350.51,52.25,C Andre Drummond F LOCKED G Jordan Poole PF Tobias Harris PG Cade Cunningham SF Jayson Tatum SG Gradey Dick UTIL LOCKED,,Derrick White,SG,5.40%,0
24,4650042232,jwatkinsjd (14/20),351.54,52,C Andre Drummond F Deni Avdija G LOCKED PF Josh Hart PG Tyrese Haliburton SF Ochai Agbaji SG Gradey Dick UTIL Jordan Poole,,Cade Cunningham,PG,3.88%,9.75
24,4650006192,ajack88 (10/20),350.69,52,C Andre Drummond F Deni Avdija G Immanuel Quickley PF Jerami Grant PG Tyrese Haliburton SF Josh Hart SG Anfernee Simons UTIL LOCKED,,Kyshawn George,UTIL,3.65%,2.75
24,4650385253,ianhayden (15/20),346.15002,52,C Andre Drummond F Josh Hart G Jrue Holiday PF Deni Avdija PG Anfernee Simons SF Jayson Tatum SG Toumani Camara UTIL LOCKED,,Tyrese Maxey,G,3.55%,2
27,4650051178,mrcoolbean (3/4),353.35,51.75,C Myles Turner F Deni Avdija G LOCKED PF Tobias Harris PG Anfernee Simons SF Mikal Bridges SG Toumani Camara UTIL LOCKED,,Jrue Holiday,SG,3.09%,3.5
28,4649969849,bkpdad (11/20),354.97,51.5,C Andre Drummond F LOCKED G Jalen Brunson PF Deni Avdija PG Tyrese Haliburton SF Josh Hart SG Anfernee Simons UTIL LOCKED,,Paul George,PF,2.81%,4.5
28,4649986751,JulesSantana (12/20),354.97,51.5,C Andre Drummond F LOCKED G Jalen Brunson PF Deni Avdija PG Tyrese Haliburton SF Josh Hart SG Anfernee Simons UTIL LOCKED,,OG Anunoby,SF,2.76%,5.25
