Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Min Actual,DK,Plus Minus,Player
1,Isaiah Joe,3600,15.49,4.3,5.05,17835,8,-2.51,SG/SF,OKC,1.23,19,21,28,15,Isaiah Joe
1,Jaren Jackson Jr.,7300,34.5,4.73,4.42,17835,8,-2,PF/C,MEM,7.12,31.3,25,22.5,-17,Jaren Jackson
1,Nick Richards,5800,27.11,4.67,4.4,17835,8,-1.89,C,CHA,4.19,25.8,24,21,-6,Nick Richards
1,Domantas Sabonis,9300,47.24,5.08,4.21,17835,8,0.74,C,SAC,12.09,35.5,36,41.3,-5,Domantas Sabonis
1,Isaiah Hartenstein,7600,37.07,4.88,4.11,17835,8,-0.93,C,OKC,6.69,26,28,35,15,Isaiah Hartenstein
1,Jordan Poole,7000,35.78,5.11,4.09,17835,8,0.78,PG/SG,WAS,5.27,29.6,32,28.8,-21,Jordan Poole
1,OG Anunoby,6100,29.16,4.78,3.99,17835,8,-1.34,SF/PF,NYK,2.89,34.3,40,48.5,18,OG Anunoby
1,Jaylen Wells,4000,17.99,4.5,3.88,17835,8,-2.01,SG/SF,MEM,1.24,24.8,18,16,-27,Jaylen Wells
1,Desmond Bane,6700,29.77,4.44,3.66,17835,8,-3.73,SG/SF,MEM,3.9,32,32,40,15,Desmond Bane
1,Julian Phillips,3000,16.65,5.55,3.64,17835,8,1.65,PF,CHI,0.99,10.8,28,19.8,-1,Julian Phillips
1,Jonathan Mogbo,3200,12.75,3.98,3.62,17835,8,-3.25,PF/C,TOR,1.51,15.9,23,23.3,-28,Jonathan Mogbo
1,Aaron Gordon,5900,27.58,4.67,3.59,17835,8,-1.92,PF,DEN,3.01,31.6,34,28.8,1,Aaron Gordon
1,Darius Garland,7400,36.27,4.9,3.45,17835,8,-0.73,PG,CLE,5.74,32.7,33,31,-1,Darius Garland
1,De'Aaron Fox,9000,43.4,4.82,3.12,17835,8,-1.6,PG,SAC,8.31,36.1,38,40,-4,DeAaron Fox
1,Dereck Lively II,5500,26.66,4.85,3.03,17835,8,-0.84,C,DAL,4.02,22.7,19,24.8,8,Dereck Lively
1,Ochai Agbaji,4800,22.54,4.7,3.02,17835,8,-1.46,SF/PF,TOR,1.3,23.4,22,8.5,-19,Ochai Agbaji
1,Aaron Wiggins,3700,16.05,4.34,2.89,17835,8,-2.45,SF/PF,OKC,1.76,16.8,20,23.3,29,Aaron Wiggins
1,Marcus Smart,4500,21.99,4.89,2.68,17835,8,-0.51,PG/SG,MEM,2.3,26.2,26,34.5,13,Marcus Smart
1,Malcolm Brogdon,5900,28.11,4.76,2.5,17835,8,-1.39,PG/SG,WAS,4.4,27.9,25,27.3,-29,Malcolm Brogdon
1,Tyus Jones,6100,29.13,4.78,2.43,17835,8,-1.37,PG,PHX,2.77,29.6,28,33.3,13,Tyus Jones
1,Jonas Valanciunas,5700,28.77,5.05,2.16,17835,8,0.27,C,WAS,8.03,22.7,0,0,0,Jonas Valanciunas
1,CJ McCollum,7200,35.59,4.94,2.11,17835,8,-0.41,PG/SG,NOP,5.08,32.4,37,43.3,4,CJ McCollum
1,Bilal Coulibaly,5400,25,4.63,1.98,17835,8,-2,SF,WAS,1.93,28.8,29,19,-18,Bilal Coulibaly
1,Tidjane Salaun,4600,19.76,4.3,1.97,17835,8,-3.24,PF,CHA,1.46,21.5,2,7.3,4,Tidjane Salaun
1,Christian Braun,5500,22.19,4.03,1.82,17835,8,-5.31,SG/SF,DEN,1.86,22.5,39,22,2,Christian Braun
1,Klay Thompson,5000,19.93,3.99,1.8,17835,8,-5.07,SG/SF,DAL,1.91,29.1,21,17.5,36,Klay Thompson
1,Kyrie Irving,8600,42.09,4.89,1.73,17835,8,-0.91,PG/SG,DAL,6.37,35.6,25,39,10,Kyrie Irving
1,Spencer Dinwiddie,4700,17.01,3.62,1.6,17835,8,-6.49,PG,DAL,1.36,25.7,23,24,21,Spencer Dinwiddie
1,Brandon Clarke,4200,20.31,4.84,1.58,17835,8,-0.69,PF/C,MEM,2.78,18.7,18,11.3,-15,Brandon Clarke
