DK Name,Predicted Ownership,Scaled Ownership
Pacome Dadiet,0.003,0.002006001962449138
Tyler Kolek,0.003,0.002006001962449138
Ariel Hukporti,0.003,0.002006001962449138
Kevin McCullar Jr.,0.003,0.002006001962449138
Oscar Tshiebwe,0.003,0.002006001962449138
Patty Mills,0.003,0.002006001962449138
David Jones Garcia,0.003,0.002006001962449138
Taylor Hendricks,0.003,0.002006001962449138
Pete Nance,0.003,0.002006001962449138
Jeff Dowtin,0.003,0.002006001962449138
Adem Bona,0.536309685,0.0020060005990689914
Eric Gordon,0.003,0.002006001962449138
Jared McCain,0.003,0.002006001962449138
Dario Saric,0.003,0.002006001962449138
Spencer Jones,0.003,0.002006001962449138
Zeke Nnaji,0.003,0.002006001962449138
PJ Hall,0.003,0.002006001962449138
DaRon Holmes II,0.003,0.002006001962449138
Cole Swider,0.003,0.002006001962449138
Alondes Williams,0.003,0.002006001962449138
Daniss Jenkins,0.003,0.002006001962449138
Marcus Sasser,0.003,0.002006001962449138
Wendell Moore Jr.,0.003,0.002006001962449138
Bobi Klintman,0.003,0.002006001962449138
Gui Santos,0.003,0.002006001962449138
Pat Spencer,0.003,0.002006001962449138
Quinten Post,0.003,0.002006001962449138
TyTy Washington Jr.,0.003,0.002006001962449138
Bol Bol,0.003,0.002006001962449138
Collin Gillespie,0.003,0.002006001962449138
Justin Minaya,0.003,0.002006001962449138
Duop Reath,0.003,0.002006001962449138
Bryce McGowens,0.003,0.002006001962449138
Taze Moore,0.003,0.002006001962449138
Matisse Thybulle,0.003,0.002006001962449138
Markieff Morris,0.003,0.002006001962449138
Jazian Gortman,0.01,0.00200600194455398
Kessler Edwards,0.003,0.002006001962449138
Brandon Williams,0.003,0.002006001962449138
Dante Exum,0.003,0.002006001962449138
Maxwell Lewis,0.003,0.002006001962449138
Bronny James,0.003,0.002006001962449138
Jalen Hood-Schifino,0.003,0.002006001962449138
Colby Jones,0.01,0.00200600194455398
Jordan McLaughlin,0.003,0.002006001962449138
Jae Crowder,0.003,0.002006001962449138
Orlando Robinson,0.003,0.002006001962449138
Mason Jones,0.003,0.002006001962449138
Isaiah Crawford,0.003,0.002006001962449138
Isaac Jones,0.003,0.002006001962449138
Devin Carter,0.003,0.002006001962449138
