Contest ID,Player Pool,Test MSE,Test R^2,Ownership Correlation
1,147.0,41.151603808299804,0.45064311535508195,0.7784306725916552
2,154.0,29.998958618808814,0.5515409456880717,0.7487125404015675
3,131.0,64.64099980584179,0.4555354998582294,0.6830126326481458
4,114.0,120.2549604465068,0.40308090856936774,0.6413553625400576
5,43.0,76.2590281844311,0.7456880822541672,0.8973772532816675
6,45.0,66.31604720216313,0.815953835719269,0.908881034766058
7,71.0,52.94836369111061,0.7646334374049215,0.8774053554069559
8,134.0,52.342529267478874,0.565301894421577,0.7714880493410068
9,71.0,33.220272385338056,0.8793818150886438,0.937786573812657
10,211.0,26.103491532557943,0.6252712244611517,0.7953241216688913
11,210.0,20.91796068331852,0.7204432621359793,0.8533855884705368
12,387.0,10.214692271702333,0.7050202010438921,0.8436261585492273
13,104.0,23.145919911479822,0.8637390241269383,0.9422867059589071
14,382.0,18.37119116455235,0.549098390220704,0.7642256761038291
15,106.0,44.18746277067936,0.7493499917623504,0.8743632969121947
16,387.0,11.186482658574226,0.7427283444257378,0.8720989895243124
Average,168.5625,43.203747775177725,0.6617131232835052,0.8243600007486044
