Contest ID,Player Pool,Test MSE,Test R^2,Ownership Correlation,Configuration
6,45,71.935,0.755,0.902,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
7,71,39.513,0.783,0.913,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
8,134,42.041,0.61,0.808,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
9,71,40.721,0.8,0.922,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
10,211,28.503,0.505,0.795,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
11,210,15.666,0.771,0.886,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
12,387,11.37,0.641,0.802,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
13,104,14.768,0.901,0.963,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
14,382,11.029,0.708,0.843,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
15,106,31.207,0.768,0.904,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
16,387,10.612,0.74,0.861,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
17,173,22.709,0.654,0.843,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
18,246,21.864,0.523,0.784,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
19,280,20.073,0.429,0.737,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
20,247,11.2,0.757,0.891,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
21,177,24.746,0.679,0.843,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
22,247,24.18,0.573,0.771,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
23,141,19.911,0.797,0.924,"depth=5, learning_rate=0.05, l2_leaf_reg=5, iterations=500"
Average,192.7,26.559,0.7,0.858,"depth=7, learning_rate=0.05, l2_leaf_reg=9, iterations=250"
5,43,53.146,0.789,0.935,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
6,45,62.491,0.793,0.919,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
7,71,39.001,0.788,0.91,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
8,134,41.889,0.608,0.802,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
9,71,44.031,0.787,0.914,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
10,211,28.99,0.5,0.789,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
11,210,16.431,0.759,0.879,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
12,387,10.652,0.662,0.815,"depth=5, learning_rate=0.05, l2_leaf_reg=7, iterations=250"
