Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Tournament Feasibility
1,Jonathan Mogbo,3200,12.75,3.98,3.62,17835,8,-3.25,PF/C,TOR,1.51,15.9,0.0
1,Aaron Gordon,5900,27.58,4.67,3.59,17835,8,-1.92,PF,DEN,3.01,31.6,0.0
1,Darius Garland,7400,36.27,4.9,3.45,17835,8,-0.73,PG,CLE,5.74,32.7,0.0
1,De'Aaron Fox,9000,43.4,4.82,3.12,17835,8,-1.6,PG,SAC,8.31,36.1,0.0
1,Dereck Lively II,5500,26.66,4.85,3.03,17835,8,-0.84,C,DAL,4.02,22.7,0.0
1,Ochai Agbaji,4800,22.54,4.7,3.02,17835,8,-1.46,SF/PF,TOR,1.3,23.4,0.0
1,Aaron Wiggins,3700,16.05,4.34,2.89,17835,8,-2.45,SF/PF,OKC,1.76,16.8,0.0
1,Marcus Smart,4500,21.99,4.89,2.68,17835,8,-0.51,PG/SG,MEM,2.3,26.2,0.0
1,Malcolm Brogdon,5900,28.11,4.76,2.5,17835,8,-1.39,PG/SG,WAS,4.4,27.9,0.0
1,Tyus Jones,6100,29.13,4.78,2.43,17835,8,-1.37,PG,PHX,2.77,29.6,0.0
1,Jonas Valanciunas,5700,28.77,5.05,2.16,17835,8,0.27,C,WAS,8.03,22.7,0.0
1,CJ McCollum,7200,35.59,4.94,2.11,17835,8,-0.41,PG/SG,NOP,5.08,32.4,0.0
1,Bilal Coulibaly,5400,25.0,4.63,1.98,17835,8,-2.0,SF,WAS,1.93,28.8,0.0
1,Tidjane Salaun,4600,19.76,4.3,1.97,17835,8,-3.24,PF,CHA,1.46,21.5,0.0
1,Christian Braun,5500,22.19,4.03,1.82,17835,8,-5.31,SG/SF,DEN,1.86,22.5,0.0
1,Klay Thompson,5000,19.93,3.99,1.8,17835,8,-5.07,SG/SF,DAL,1.91,29.1,0.0
1,Kyrie Irving,8600,42.09,4.89,1.73,17835,8,-0.91,PG/SG,DAL,6.37,35.6,0.0
1,Spencer Dinwiddie,4700,17.01,3.62,1.6,17835,8,-6.49,PG,DAL,1.36,25.7,0.0
1,Brandon Clarke,4200,20.31,4.84,1.58,17835,8,-0.69,PF/C,MEM,2.78,18.7,0.0
1,Vasilije Micic,5000,22.72,4.54,1.49,17835,8,-2.28,PG,CHA,2.5,19.1,0.0
1,Cason Wallace,4400,17.19,3.91,1.38,17835,8,-4.81,PG/SG,OKC,1.1,21.6,0.0
1,Isaac Okoro,4200,14.2,3.38,1.28,17835,8,-6.8,SG/SF,CLE,0.69,25.3,0.0
1,Trey Murphy III,6600,28.78,4.36,1.24,17835,8,-4.22,SG/SF,NOP,3.05,31.0,0.0
1,Michael Porter Jr.,7100,30.0,4.23,1.16,17835,8,-5.5,SF/PF,DEN,3.66,32.5,0.0
1,Jarrett Allen,6700,33.29,4.97,1.14,17835,8,-0.21,C,CLE,5.41,30.9,0.0
1,Jalen Smith,3400,20.6,6.06,1.14,17835,8,3.6,C,CHI,3.47,15.7,0.0
1,Anthony Gill,3000,17.52,5.84,1.08,17835,8,2.52,PF/C,WAS,1.51,8.6,0.0
1,Carlton Carrington,4600,19.52,4.24,1.05,17835,8,-3.48,PG/SG,WAS,1.51,26.9,0.0
1,Bradley Beal,8300,34.73,4.18,1.0,17835,8,-6.77,SG/SF,PHX,3.98,33.0,0.0
1,Brandon Boston Jr.,5300,15.22,2.87,0.98,17835,8,-11.28,PG/SF,NOP,1.74,16.4,0.0
1,Jamal Murray,8000,36.39,4.55,0.88,17835,8,-3.61,PG/SG,DEN,5.02,32.7,0.0
1,Cody Martin,5200,22.66,4.36,0.88,17835,8,-3.34,SF,CHA,1.84,25.9,0.0
1,Quentin Grimes,5200,18.24,3.51,0.88,17835,8,-7.76,SG/SF,DAL,1.5,20.2,0.0
1,Keegan Murray,6300,26.32,4.18,0.82,17835,8,-5.18,SF/PF,SAC,2.04,34.1,0.0
1,Daniel Gafford,5400,23.2,4.3,0.81,17835,8,-3.8,C,DAL,4.49,22.8,0.0
1,Isaac Jones,3200,16.27,5.08,0.74,17835,8,0.27,PF/C,SAC,1.84,10.2,0.0
1,Luguentz Dort,4900,21.34,4.36,0.72,17835,8,-3.16,SG/SF,OKC,1.31,28.9,0.0
1,Jake LaRavia,3900,11.5,2.95,0.65,17835,8,-8.0,SF/PF,MEM,1.19,23.0,0.0
1,Russell Westbrook,6000,25.71,4.29,0.64,17835,8,-4.29,PG,DEN,4.18,22.5,0.0
1,Brandon Ingram,8500,37.26,4.38,0.61,17835,8,-5.24,PG,NOP,6.55,33.0,0.0
1,Julian Strawther,3200,13.24,4.14,0.61,17835,8,-2.76,SG/SF,DEN,0.99,14.2,0.0
1,Josh Green,4800,19.7,4.1,0.6,17835,8,-4.3,SF/PF,CHA,1.01,24.3,0.0
1,Grayson Allen,5400,22.73,4.21,0.53,17835,8,-4.27,SG,PHX,1.77,31.4,0.0
1,Alex Caruso,4100,18.12,4.42,0.52,17835,8,-2.38,SG/SF,OKC,1.59,26.8,0.0
1,Georges Niang,4300,15.6,3.63,0.5,17835,8,-5.9,SF/PF,CLE,1.15,20.9,0.0
1,Caris LeVert,5100,21.84,4.28,0.47,17835,8,-3.66,PG/SG,CLE,2.36,27.3,0.0
1,Scotty Pippen Jr.,4100,16.21,3.95,0.44,17835,8,-4.29,PG,MEM,2.51,24.0,0.0
1,Gradey Dick,5600,25.42,4.54,0.37,17835,8,-2.58,SG,TOR,2.55,23.8,0.0
1,Davion Mitchell,3700,14.89,4.02,0.37,17835,8,-3.61,PG/SG,TOR,1.0,18.5,0.0
1,Javonte Green,4000,8.4,2.1,0.3,17835,8,-11.6,SF/PF,NOP,0.56,24.0,0.0
1,Ty Jerome,4400,15.35,3.49,0.25,17835,8,-6.65,PG,CLE,2.35,17.6,0.0
1,Johnny Davis,3000,5.18,1.73,0.22,17835,8,-9.82,SG/SF,WAS,0.37,11.4,0.0
1,Josh Okogie,4000,4.45,1.11,0.21,17835,8,-15.55,SF,PHX,0.53,15.5,0.0
1,Kevin Huerter,5100,16.3,3.2,0.2,17835,8,-9.2,SG/SF,SAC,1.3,24.7,0.0
1,Jeremiah Robinson-Earl,4300,9.84,2.29,0.2,17835,8,-11.66,PF/C,NOP,1.07,13.1,0.0
1,Sam Merrill,4100,12.71,3.1,0.19,17835,8,-7.79,SG,CLE,0.84,17.4,0.0
1,Herbert Jones,5300,18.26,3.44,0.16,17835,8,-8.24,SF/PF,NOP,1.28,30.3,0.0
1,Peyton Watson,4700,13.33,2.84,0.16,17835,8,-10.17,PF,DEN,1.04,18.9,0.0
1,Torrey Craig,3300,9.44,2.86,0.13,17835,8,-7.06,PF,CHI,0.7,18.5,0.0
1,Jae Crowder,3300,6.68,2.02,0.12,17835,8,-9.82,PF,SAC,0.33,21.9,0.0
1,Dean Wade,3600,11.95,3.32,0.12,17835,8,-6.05,SF/PF,CLE,0.72,20.9,0.0
1,Monte Morris,3100,6.94,2.24,0.11,17835,8,-8.56,PG,PHX,0.84,12.8,0.0
1,Keon Ellis,3900,2.91,0.75,0.1,17835,8,-16.59,PG/SG,SAC,0.19,18.9,0.0
1,Kenrich Williams,3000,11.12,3.71,0.08,17835,8,-3.88,PF/C,OKC,1.04,13.8,0.0
1,Jay Huff,3300,14.8,4.49,0.08,17835,8,-1.7,C,MEM,2.11,9.5,0.0
1,Nick Smith Jr.,3000,8.87,2.96,0.07,17835,8,-6.13,SG/SF,CHA,0.79,13.4,0.0
