DK Name,Original_Ownership,Scaled_Ownership
Domantas Sabonis,11.50389533,11.503895329288564
Josh Okogie,7.415273989,7.4152739890444765
Nikola Vucevic,5.153467613,5.153467613462644
Keegan Murray,4.126184098,4.126184098652571
Julian Strawther,4.323754078,4.3237540786160436
Dennis Schroder,5.095787982,5.095787982473308
Kyshawn George,4.114579811,4.114579811654716
Kelly Oubre Jr.,3.258774176,3.2587741768129392
Jerami Grant,0.889988003,0.008381054446393562
Malik Monk,2.002279579,2.0022795800452426
Jalen Duren,2.804046108,2.804046108897011
Peyton Watson,2.917703515,2.9177035158759974
Anfernee Simons,0.796575833,0.008381053803446628
Kevin Huerter,1.487787482,1.4877874831403624
Josh Giddey,3.121297189,3.121297189838356
Ausar Thompson,2.828122243,2.828122243892559
Buddy Hield,0.868937153,0.008381054301502596
Jevon Carter,0.0043,0.008381048350288675
Trey Lyles,0.720618976,0.008381053280642925
AJ Green,1.960888088,1.9608880890528946
Tim Hardaway Jr.,1.995699615,1.9956996160464593
LeBron James,0.0095,0.008381048386079771
Gabe Vincent,3.921250071,3.921250071690459
Monte Morris,2.393174321,2.393174321972973
Isaiah Collier,0.0,0.00838104832069219
Jared Butler,5.281227563,5.281227563439023
Cameron Payne,0.01,0.008381048389521223
Johnny Juzang,0.307328318,0.008381050436003287
Lindy Waters III,0.01,0.008381048389521223
Cam Reddish,1.16029807,1.16029807120091
Lonzo Ball,1.857214507,1.8572145080720626
Ryan Rollins,0.01,0.008381048389521223
Jaden Hardy,0.01,0.008381048389521223
Micah Potter,0.0038,0.008381048346847223
Cody Williams,1.304707252,1.304707253174211
Simone Fontecchio,0.147934799,0.008381049338913107
Kyle Anderson,0.01,0.008381048389521223
Giannis Antetokounmpo,0.0113,0.008381048398468998
Donovan Clingan,2.30585882,2.3058588209891164
John Collins,0.007,0.008381048368872513
Dwight Powell,2.570212163,2.5702121639402415
Jusuf Nurkic,0.0058,0.00838104836061303
Ricky Council IV,0.0033,0.008381048343405771
Kyle Lowry,0.849791156,0.008381054169722551
Keon Ellis,0.414555273,0.008381051174036052
Isaiah Stewart,1.703634853,1.7036348541004562
Christian Koloko,0.01,0.008381048389521223
Delon Wright,0.01,0.008381048389521223
Ronald Holland II,0.531866674,0.00838105198147908
Talen Horton-Tucker,0.722318804,0.008381053292342677
Brice Sensabaugh,0.066189087,0.008381048776265276
Johnny Davis,0.003,0.0083810483413409
Moses Moody,0.003,0.0083810483413409
Jalen Bridges,0.003,0.0083810483413409
Jordan Poole,0.0079,0.008381048375067127
Dereck Lively II,0.0057,0.00838104835992474
Andre Drummond,0.0046,0.008381048352353546
Dalano Banton,0.0037,0.008381048346158932
Kevon Looney,0.01,0.008381048389521223
Paul Reed,0.0035,0.008381048344782352
Landry Shamet,0.01,0.008381048389521223
Justin Edwards,0.003,0.0083810483413409
Jalen Pickett,0.003,0.0083810483413409
Drew Eubanks,0.769172986,0.008381053614835482
Devin Booker,0.009,0.00838104838263832
PJ Washington,0.0071,0.008381048369560804
Ayo Dosunmu,0.0064,0.008381048364742771
Kyle Kuzma,0.0064,0.008381048364742771
Grayson Allen,0.005,0.008381048355106707
Naji Marshall,0.0045,0.008381048351665255
Jaxson Hayes,0.0044,0.008381048350976965
Alex Len,0.0037,0.008381048346158932
DeAndre Jordan,0.01,0.008381048389521223
Julian Phillips,0.338887555,0.008381050653222465
Doug McDermott,0.0033,0.008381048343405771
Dalen Terry,0.092633601,0.00838104895828031
Reggie Jackson,0.01,0.008381048389521223
Torrey Craig,0.003,0.0083810483413409
Pat Connaughton,0.003,0.0083810483413409
