Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
ryan rollins,PG/G/UTIL,MIL,34.35%,0.02%,2.14%,20.0%,38.84%,$1.86
isaiah hartenstein,C/UTIL,OKC,26.24%,0.02%,1.38%,4.92%,6.57%,$0.47
jonas valanciunas,C/UTIL,WAS,26.81%,0.01%,1.4%,10.78%,22.25%,$0.38
mark williams,C/UTIL,CHA,26.54%,0.01%,1.36%,12.85%,17.42%,$0.25
pascal siakam,PF/F/UTIL,IND,25.83%,0.01%,1.27%,8.28%,7.28%,$0.15
delon wright,PG/G/UTIL,MIL,25.43%,0.01%,1.22%,5.21%,10.01%,$0.1
cade cunningham,PG/G/UTIL,DET,26.66%,0.01%,1.25%,17.66%,17.74%,$0.03
keon ellis,SG/G/UTIL,SAC,27.01%,0.01%,1.24%,20.95%,34.76%,$0.01
aj green,PG/SG/G/UTIL,MIL,26.43%,0.01%,1.21%,22.77%,26.2%,$-0.02
shai gilgeous-alexander,PG/G/UTIL,OKC,25.57%,0.01%,1.2%,17.76%,15.86%,$-0.1
gary trent jr.,SF/SG/G/F/UTIL,MIL,25.0%,0.01%,1.14%,10.47%,7.51%,$-0.14
zion williamson,PF/F/UTIL,NOP,22.86%,0.01%,1.16%,7.98%,6.74%,$-0.14
aaron wiggins,PF/SF/F/UTIL,OKC,26.1%,0.01%,1.16%,18.6%,14.33%,$-0.16
nikola jokic,C/UTIL,DEN,26.62%,0.01%,1.14%,24.27%,24.76%,$-0.2
precious achiuwa,C/PF/F/UTIL,NYK,25.92%,0.01%,1.12%,15.2%,12.6%,$-0.24
trae young,PG/G/UTIL,ATL,23.07%,0.01%,1.05%,5.11%,4.87%,$-0.25
andre jackson jr.,SF/SG/G/F/UTIL,MIL,25.0%,0.01%,1.1%,12.38%,9.37%,$-0.27
santi aldama,PF/F/UTIL,MEM,23.6%,0.01%,1.08%,8.39%,10.22%,$-0.28
michael porter jr.,PF/SF/F/UTIL,DEN,25.72%,0.01%,1.09%,21.51%,15.92%,$-0.3
marjon beauchamp,PG/SF/G/F/UTIL,MIL,23.74%,0.01%,1.03%,1.82%,1.69%,$-0.32
anthony edwards,PG/SG/G/UTIL,MIN,25.45%,0.01%,1.06%,20.72%,14.46%,$-0.35
jalen duren,C/UTIL,DET,22.9%,0.01%,1.02%,5.08%,8.07%,$-0.36
domantas sabonis,C/UTIL,SAC,24.31%,0.01%,1.04%,10.36%,11.93%,$-0.38
ausar thompson,PF/SF/F/UTIL,DET,23.68%,0.01%,1.02%,11.38%,8.93%,$-0.41
jaren jackson jr.,C/PF/F/UTIL,MEM,23.13%,0.01%,1.02%,9.46%,5.88%,$-0.41
jae'sean tate,PF/SF/F/UTIL,HOU,23.73%,0.01%,1.02%,7.04%,6.23%,$-0.43
cam whitmore,SF/SG/G/F/UTIL,HOU,23.38%,0.01%,1.01%,14.6%,11.31%,$-0.46
naz reid,C/PF/F/UTIL,MIN,24.97%,0.01%,1.0%,26.06%,21.44%,$-0.47
victor wembanyama,C/UTIL,SAS,23.72%,0.01%,1.01%,15.63%,17.83%,$-0.49
rudy gobert,C/UTIL,MIN,24.15%,0.01%,0.96%,4.03%,6.88%,$-0.49
tari eason,PF/F/UTIL,HOU,23.1%,0.01%,0.99%,10.62%,11.89%,$-0.5
christian braun,SF/SG/G/F/UTIL,DEN,24.68%,0.01%,1.0%,17.56%,11.3%,$-0.51
aaron gordon,C/PF/F/UTIL,DEN,24.52%,0.01%,0.98%,26.72%,24.4%,$-0.53
amen thompson,PG/SF/G/F/UTIL,HOU,24.58%,0.01%,0.96%,16.37%,8.78%,$-0.53
myles turner,C/UTIL,IND,22.37%,0.01%,0.93%,2.83%,4.79%,$-0.54
isaiah joe,SF/SG/G/F/UTIL,OKC,24.0%,0.01%,0.98%,18.17%,12.81%,$-0.55
miles bridges,PF/F/UTIL,CHA,20.97%,0.01%,0.92%,2.85%,2.46%,$-0.55
jamal murray,PG/SG/G/UTIL,DEN,23.83%,0.01%,0.93%,18.92%,14.68%,$-0.6
keegan murray,PF/F/UTIL,SAC,24.12%,0.01%,0.95%,7.49%,9.07%,$-0.6
de'andre hunter,PF/SF/F/UTIL,ATL,22.79%,0.01%,0.93%,7.81%,5.17%,$-0.63
pat connaughton,PF/SF/F/UTIL,MIL,22.53%,0.01%,0.92%,7.99%,7.1%,$-0.64
jalen brunson,PG/G/UTIL,NYK,22.47%,0.01%,0.91%,10.98%,11.68%,$-0.64
malik monk,PG/SG/G/UTIL,SAC,23.82%,0.01%,0.91%,22.44%,17.92%,$-0.65
keldon johnson,PF/SF/F/UTIL,SAS,22.48%,0.01%,0.92%,10.68%,8.16%,$-0.65
karl-anthony towns,C/UTIL,NYK,21.86%,0.01%,0.91%,7.69%,9.15%,$-0.66
demar derozan,SF/F/UTIL,SAC,23.34%,0.01%,0.91%,10.65%,10.08%,$-0.66
brandon clarke,C/UTIL,MEM,21.99%,0.01%,0.85%,2.15%,5.68%,$-0.72
vasilije micic,PG/G/UTIL,CHA,22.31%,0.01%,0.86%,2.98%,4.89%,$-0.74
tyrese haliburton,PG/G/UTIL,IND,20.6%,0.01%,0.83%,3.93%,4.24%,$-0.74
devin vassell,SF/SG/G/F/UTIL,SAS,22.88%,0.01%,0.86%,12.85%,7.93%,$-0.76
stephon castle,PG/SG/G/UTIL,SAS,21.95%,0.01%,0.85%,4.53%,4.37%,$-0.76
zaccharie risacher,PF/SF/F/UTIL,ATL,22.34%,0.01%,0.85%,3.41%,2.58%,$-0.77
mike conley,PG/G/UTIL,MIN,22.6%,0.01%,0.84%,5.04%,8.08%,$-0.78
josh hart,PF/SF/F/UTIL,NYK,22.9%,0.01%,0.84%,8.1%,5.19%,$-0.8
nick smith jr.,SF/SG/G/F/UTIL,CHA,22.75%,0.01%,0.85%,11.3%,7.61%,$-0.82
jose alvarado,PG/G/UTIL,NOP,22.16%,0.01%,0.82%,8.8%,14.01%,$-0.87
kyle kuzma,PF/F/UTIL,WAS,20.67%,0.01%,0.78%,2.2%,2.15%,$-0.9
john collins,C/PF/F/UTIL,UTA,20.87%,0.01%,0.79%,7.21%,5.32%,$-0.9
jordan poole,PG/G/UTIL,WAS,21.59%,0.01%,0.78%,6.65%,8.07%,$-0.91
luke kennard,PG/SG/G/UTIL,MEM,22.01%,0.01%,0.79%,10.73%,10.42%,$-0.92
julian strawther,SG/G/UTIL,DEN,21.94%,0.01%,0.79%,3.93%,6.71%,$-0.93
jeremy sochan,PF/F/UTIL,SAS,20.96%,0.01%,0.78%,7.03%,9.02%,$-0.95
ronald holland ii,PF/SF/F/UTIL,DET,20.61%,0.01%,0.77%,0.37%,0.33%,$-0.96
johnny juzang,SF/SG/G/F/UTIL,UTA,17.18%,0.01%,0.69%,0.01%,0.01%,$-1.0
tobias harris,PF/F/UTIL,DET,20.96%,0.01%,0.74%,3.36%,3.69%,$-1.03
t.j. mcconnell,PG/G/UTIL,IND,19.44%,0.01%,0.69%,0.9%,1.66%,$-1.05
scotty pippen jr.,PG/G/UTIL,MEM,19.14%,0.01%,0.7%,0.5%,0.9%,$-1.07
jalen green,SG/G/UTIL,HOU,20.23%,0.01%,0.71%,3.16%,3.27%,$-1.08
devin carter,PG/SG/G/UTIL,SAC,20.18%,0.01%,0.72%,6.55%,8.32%,$-1.1
dillon brooks,PF/F/UTIL,HOU,20.89%,0.0%,0.69%,0.96%,1.21%,$-1.1
jaylen wells,SF/SG/G/F/UTIL,MEM,21.0%,0.0%,0.71%,11.66%,8.42%,$-1.12
tim hardaway jr.,SF/SG/G/F/UTIL,DET,20.78%,0.0%,0.71%,2.24%,1.36%,$-1.12
aaron nesmith,SF/SG/G/F/UTIL,IND,20.64%,0.0%,0.7%,5.91%,4.37%,$-1.14
larry nance jr.,C/UTIL,ATL,20.0%,0.0%,0.64%,0.02%,0.13%,$-1.15
jordan clarkson,SG/G/UTIL,UTA,18.99%,0.01%,0.64%,1.51%,1.83%,$-1.17
bilal coulibaly,SF/SG/G/F/UTIL,WAS,20.6%,0.0%,0.66%,6.26%,4.04%,$-1.21
richaun holmes,C/UTIL,WAS,18.98%,0.0%,0.66%,0.94%,2.75%,$-1.21
nickeil alexander-walker,SF/SG/G/F/UTIL,MIN,20.13%,0.0%,0.64%,2.66%,1.67%,$-1.22
isaiah collier,PG/SG/G/UTIL,UTA,20.02%,0.0%,0.64%,2.76%,2.33%,$-1.22
onyeka okongwu,C/UTIL,ATL,18.46%,0.01%,0.6%,1.1%,2.0%,$-1.22
taurean prince,PF/SF/F/UTIL,MIL,20.12%,0.0%,0.65%,1.51%,1.25%,$-1.22
kj simpson,PG/G/UTIL,CHA,19.19%,0.01%,0.65%,0.14%,0.17%,$-1.22
isaiah stewart,C/UTIL,DET,19.63%,0.0%,0.64%,2.03%,5.91%,$-1.23
lauri markkanen,PF/SF/F/UTIL,UTA,18.8%,0.0%,0.64%,2.88%,1.67%,$-1.24
malik beasley,SG/G/UTIL,DET,19.35%,0.0%,0.63%,2.5%,3.65%,$-1.24
miles mcbride,PG/SG/G/UTIL,NYK,19.86%,0.0%,0.64%,7.22%,7.7%,$-1.25
andrew nembhard,PG/SG/G/UTIL,IND,19.4%,0.0%,0.64%,2.4%,2.12%,$-1.25
brook lopez,C/UTIL,MIL,16.93%,0.01%,0.57%,0.43%,1.16%,$-1.3
ja morant,PG/G/UTIL,MEM,16.6%,0.01%,0.59%,3.67%,3.79%,$-1.31
bennedict mathurin,SF/F/UTIL,IND,17.9%,0.0%,0.62%,0.71%,0.65%,$-1.31
trey murphy iii,SF/SG/G/F/UTIL,NOP,19.11%,0.0%,0.61%,3.64%,1.86%,$-1.32
kenrich williams,C/PF/F/UTIL,OKC,18.87%,0.0%,0.59%,2.09%,1.94%,$-1.34
chris paul,PG/G/UTIL,SAS,18.4%,0.0%,0.57%,2.11%,2.97%,$-1.36
harrison barnes,PF/SF/F/UTIL,SAS,19.52%,0.0%,0.6%,1.29%,0.95%,$-1.37
alex ducas,SG/G/UTIL,OKC,17.62%,0.0%,0.51%,0.02%,0.01%,$-1.39
marcus sasser,PG/SG/G/UTIL,DET,18.22%,0.0%,0.62%,0.15%,0.1%,$-1.43
luguentz dort,SF/SG/G/F/UTIL,OKC,18.72%,0.0%,0.55%,2.65%,1.72%,$-1.44
obi toppin,C/PF/F/UTIL,IND,17.41%,0.0%,0.54%,0.91%,0.84%,$-1.44
jaden mcdaniels,SF/F/UTIL,MIN,18.77%,0.0%,0.53%,0.82%,0.81%,$-1.44
collin sexton,PG/SG/G/UTIL,UTA,16.23%,0.0%,0.49%,0.96%,0.75%,$-1.49
dyson daniels,PG/SG/G/UTIL,ATL,17.93%,0.0%,0.49%,1.17%,0.93%,$-1.53
cj mccollum,PG/SG/G/UTIL,NOP,17.54%,0.0%,0.49%,3.37%,2.35%,$-1.55
jordan hawkins,PG/SG/G/UTIL,NOP,18.06%,0.0%,0.49%,1.68%,1.86%,$-1.56
malcolm brogdon,PG/SG/G/UTIL,WAS,16.43%,0.0%,0.49%,1.62%,1.42%,$-1.58
julian champagnie,SF/SG/G/F/UTIL,SAS,18.63%,0.0%,0.46%,0.16%,0.1%,$-1.58
mikal bridges,SF/SG/G/F/UTIL,NYK,17.88%,0.0%,0.46%,0.3%,0.12%,$-1.6
zach edey,C/UTIL,MEM,16.88%,0.0%,0.46%,0.82%,2.2%,$-1.61
corey kispert,SF/SG/G/F/UTIL,WAS,17.64%,0.0%,0.45%,0.67%,0.47%,$-1.63
malaki branham,PG/SG/G/UTIL,SAS,17.3%,0.0%,0.28%,0.01%,0.01%,$-1.65
jeff green,C/PF/F/UTIL,HOU,17.46%,0.0%,0.37%,0.02%,0.01%,$-1.67
kyle filipowski,C/UTIL,UTA,19.23%,0.0%,0.38%,0.05%,0.1%,$-1.69
walker kessler,C/UTIL,UTA,16.5%,0.0%,0.41%,0.72%,1.29%,$-1.7
steven adams,C/UTIL,HOU,16.84%,0.0%,0.44%,0.14%,0.37%,$-1.72
keyonte george,PG/G/UTIL,UTA,15.85%,0.0%,0.38%,0.36%,0.44%,$-1.77
cameron payne,PG/SG/G/UTIL,NYK,15.89%,0.0%,0.33%,0.01%,0.01%,$-1.77
karlo matkovic,C/UTIL,NOP,19.16%,0.0%,0.47%,0.03%,0.1%,$-1.78
dillon jones,PF/F/UTIL,OKC,14.53%,0.0%,0.33%,0.02%,0.01%,$-1.79
thomas bryant,C/UTIL,IND,16.87%,0.0%,0.36%,0.09%,0.23%,$-1.83
kyshawn george,PF/SF/F/UTIL,WAS,16.51%,0.0%,0.35%,0.15%,0.1%,$-1.84
aaron holiday,PG/G/UTIL,HOU,13.27%,0.0%,0.32%,0.02%,0.01%,$-1.85
oscar tshiebwe,C/UTIL,UTA,15.78%,0.0%,0.2%,0.01%,0.03%,$-1.85
brandon boston jr.,SF/SG/G/F/UTIL,NOP,16.57%,0.0%,0.35%,0.05%,0.1%,$-1.85
jaylin williams,C/UTIL,OKC,14.43%,0.0%,0.34%,0.13%,0.37%,$-1.86
yves missi,C/UTIL,NOP,15.86%,0.0%,0.31%,0.58%,1.02%,$-1.87
jarace walker,PF/SF/F/UTIL,IND,14.8%,0.0%,0.28%,0.01%,0.03%,$-1.89
josh green,SF/F/UTIL,CHA,15.77%,0.0%,0.29%,0.06%,0.1%,$-1.92
brice sensabaugh,PF/SF/F/UTIL,UTA,15.47%,0.0%,0.33%,0.1%,0.1%,$-1.94
luka garza,C/UTIL,MIN,12.54%,0.0%,0.29%,0.01%,0.01%,$-1.94
zeke nnaji,C/UTIL,DEN,14.18%,0.0%,0.17%,0.01%,0.01%,$-1.96
vince williams jr.,PF/F/UTIL,MEM,13.16%,0.0%,0.23%,0.02%,0.03%,$-1.97
seth curry,SG/G/UTIL,CHA,15.66%,0.0%,0.3%,0.09%,0.1%,$-1.99
