Set Analysis

Set 1
Player,Count,Exposure
Domantas Sabonis,1,10.00%
Keegan Murray,1,10.00%
Malik Monk,1,10.00%
Total Entries:,10


Set 6
Player,Count,Exposure
Ryan Rollins,10,100.00%
AJ Green,5,50.00%
Cade Cunningham,4,40.00%
Michael Porter Jr.,3,30.00%
Victor Wembanyama,3,30.00%
Christian Braun,3,30.00%
Pascal Siakam,3,30.00%
Amen Thompson,3,30.00%
Jonas Valanciunas,3,30.00%
Aaron Gordon,3,30.00%
Nikola Jokic,3,30.00%
Santi Aldama,3,30.00%
Nick Smith Jr.,2,20.00%
Isaiah Hartenstein,2,20.00%
Jalen Brunson,2,20.00%
Naz Reid,2,20.00%
Zion Williamson,2,20.00%
Malik Monk,2,20.00%
Keon Ellis,2,20.00%
Aaron Wiggins,2,20.00%
Mark Williams,2,20.00%
Cam Whitmore,2,20.00%
Precious Achiuwa,1,10.00%
Trae Young,1,10.00%
DeMar DeRozan,1,10.00%
Pat Connaughton,1,10.00%
Anthony Edwards,1,10.00%
Gary Trent Jr.,1,10.00%
Andre Jackson Jr.,1,10.00%
Jeremy Sochan,1,10.00%
Shai Gilgeous-Alexander,1,10.00%
Chris Paul,1,10.00%
Ausar Thompson,1,10.00%
Domantas Sabonis,1,10.00%
Jae'Sean Tate,1,10.00%
Tari Eason,1,10.00%
Total Entries:,10


Set 7
Player,Count,Exposure
Ryan Rollins,10,100.00%
Michael Porter Jr.,5,50.00%
Mark Williams,4,40.00%
Cade Cunningham,4,40.00%
Malik Monk,3,30.00%
Naz Reid,3,30.00%
Jonas Valanciunas,3,30.00%
Aaron Gordon,3,30.00%
Shai Gilgeous-Alexander,3,30.00%
Jamal Murray,2,20.00%
Gary Trent Jr.,2,20.00%
Isaiah Hartenstein,2,20.00%
Cam Whitmore,2,20.00%
Nikola Jokic,2,20.00%
Anthony Edwards,2,20.00%
Jalen Brunson,2,20.00%
Santi Aldama,2,20.00%
AJ Green,2,20.00%
Aaron Wiggins,2,20.00%
Ausar Thompson,2,20.00%
De'Andre Hunter,1,10.00%
Christian Braun,1,10.00%
Jae'Sean Tate,1,10.00%
Delon Wright,1,10.00%
Victor Wembanyama,1,10.00%
Domantas Sabonis,1,10.00%
Jeremy Sochan,1,10.00%
Pascal Siakam,1,10.00%
Mike Conley,1,10.00%
Amen Thompson,1,10.00%
Myles Turner,1,10.00%
Aaron Nesmith,1,10.00%
Rudy Gobert,1,10.00%
Luke Kennard,1,10.00%
Andre Jackson Jr.,1,10.00%
Jalen Duren,1,10.00%
Zion Williamson,1,10.00%
Keon Ellis,1,10.00%
Keldon Johnson,1,10.00%
Precious Achiuwa,1,10.00%
Total Entries:,10


Set 8
Player,Count,Exposure
Ryan Rollins,10,100.00%
Naz Reid,5,50.00%
Nikola Jokic,5,50.00%
Cade Cunningham,4,40.00%
Jonas Valanciunas,4,40.00%
AJ Green,4,40.00%
Precious Achiuwa,4,40.00%
Jaren Jackson Jr.,3,30.00%
Mark Williams,3,30.00%
Shai Gilgeous-Alexander,3,30.00%
Jamal Murray,3,30.00%
Anthony Edwards,2,20.00%
Ausar Thompson,2,20.00%
Keon Ellis,2,20.00%
Cam Whitmore,2,20.00%
Devin Vassell,2,20.00%
Amen Thompson,2,20.00%
Aaron Wiggins,2,20.00%
Gary Trent Jr.,2,20.00%
Andre Jackson Jr.,2,20.00%
Aaron Gordon,2,20.00%
Keegan Murray,1,10.00%
Pat Connaughton,1,10.00%
Devin Carter,1,10.00%
Julian Strawther,1,10.00%
Pascal Siakam,1,10.00%
Christian Braun,1,10.00%
Kyle Kuzma,1,10.00%
Jae'Sean Tate,1,10.00%
Myles Turner,1,10.00%
Trae Young,1,10.00%
Tari Eason,1,10.00%
Tobias Harris,1,10.00%
Total Entries:,10


Set 9
Player,Count,Exposure
Ryan Rollins,7,70.00%
Nikola Jokic,6,60.00%
Keon Ellis,5,50.00%
Jonas Valanciunas,4,40.00%
Isaiah Joe,4,40.00%
Shai Gilgeous-Alexander,4,40.00%
Cam Whitmore,4,40.00%
AJ Green,4,40.00%
De'Andre Hunter,3,30.00%
Pascal Siakam,3,30.00%
Delon Wright,3,30.00%
Precious Achiuwa,3,30.00%
Malik Monk,2,20.00%
Tari Eason,2,20.00%
Naz Reid,2,20.00%
Michael Porter Jr.,2,20.00%
Zion Williamson,2,20.00%
Mark Williams,2,20.00%
Isaiah Hartenstein,2,20.00%
Vasilije Micic,1,10.00%
Andre Jackson Jr.,1,10.00%
Victor Wembanyama,1,10.00%
Tyrese Haliburton,1,10.00%
John Collins,1,10.00%
Ausar Thompson,1,10.00%
Keegan Murray,1,10.00%
Jaren Jackson Jr.,1,10.00%
Jaylen Wells,1,10.00%
Domantas Sabonis,1,10.00%
DeMar DeRozan,1,10.00%
Amen Thompson,1,10.00%
Jalen Brunson,1,10.00%
Aaron Gordon,1,10.00%
Anthony Edwards,1,10.00%
