Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
scotty pippen jr.,PG/G/UTIL,MEM,34.13%,0.1%,4.31%,0.03%,0.06%,$12.05
marcus sasser,PG/SG/G/UTIL,DET,34.69%,0.05%,3.24%,0.08%,0.1%,$5.46
kevin porter jr.,PG/G/UTIL,LAC,36.27%,0.03%,3.28%,0.04%,0.05%,$4.4
olivier-maxence prosper,PF/F/UTIL,DAL,31.63%,0.03%,2.19%,1.46%,0.96%,$2.97
matas buzelis,PF/SF/F/UTIL,CHI,31.96%,0.04%,2.42%,0.09%,0.08%,$2.93
klay thompson,SF/SG/G/F/UTIL,DAL,35.72%,0.02%,2.26%,6.82%,2.25%,$2.3
kylor kelley,C/UTIL,DAL,34.13%,0.02%,2.18%,2.3%,3.92%,$2.28
jaden hardy,PG/G/UTIL,DAL,32.53%,0.02%,2.28%,0.04%,0.04%,$2.2
quentin grimes,SF/SG/G/F/UTIL,DAL,36.25%,0.02%,2.3%,14.49%,5.24%,$2.19
kyle lowry,PG/SG/G/UTIL,PHI,37.04%,0.01%,2.08%,0.03%,0.05%,$1.78
patrick williams,PF/F/UTIL,CHI,32.67%,0.02%,1.93%,3.05%,1.8%,$1.58
taurean prince,PF/SF/F/UTIL,MIL,42.47%,0.01%,2.35%,0.06%,0.06%,$1.52
nikola vucevic,C/UTIL,CHI,33.02%,0.02%,1.92%,10.65%,6.88%,$1.42
jalen duren,C/UTIL,DET,28.5%,0.02%,1.66%,0.98%,0.83%,$1.41
kessler edwards,PF/SF/F/UTIL,DAL,35.27%,0.01%,1.8%,11.83%,10.07%,$1.08
aj green,PG/SG/G/UTIL,MIL,31.05%,0.01%,1.59%,1.0%,1.12%,$0.97
jarrett allen,C/UTIL,CLE,29.95%,0.01%,1.6%,4.02%,3.4%,$0.81
ty jerome,PG/G/UTIL,CLE,29.07%,0.01%,1.61%,2.66%,2.91%,$0.74
spencer dinwiddie,PG/SG/G/UTIL,DAL,31.82%,0.01%,1.58%,24.83%,12.38%,$0.69
