PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Anthony Edwards (37514420),Keon Ellis (37514889),Cam Whitmore (37514855),Keldon Johnson (37514748),Aaron Gordon (37514723),Jamal Murray (37514488),Isaiah Joe (37514786),Nikola Jokic (37514396),289.2,282.21999999999997,380.90999999999997,49500,0.01%,0.88%,-16.2%,30.76%,145.34,$-0.5,DEN 3,MIN 1,generated,1
Shai Gilgeous-Alexander (37514402),Miles McBride (37514824),Amen Thompson (37514443),Michael Porter Jr. (37514568),Jonas Valanciunas (37514579),Stephon Castle (37514633),Christian Braun (37514621),Gary Trent Jr. (37514781),285.26,273.94000000000005,375.0,49500,0.0%,1.19%,-16.2%,28.03%,93.69,$-0.5,DEN 2,OKC 1,generated,1
Anthony Edwards (37514420),Malik Beasley (37514637),Christian Braun (37514621),Tari Eason (37514613),Precious Achiuwa (37514646),Keon Ellis (37514889),Michael Porter Jr. (37514568),Domantas Sabonis (37514413),287.62000000000006,278.31999999999994,368.4,49500,0.01%,0.9%,-16.2%,28.28%,116.51,$-0.5,DEN 2,SAC 2,generated,1
Malik Monk (37514495),Luke Kennard (37514694),Gary Trent Jr. (37514781),Pat Connaughton (37514974),Mark Williams (37514441),Jamal Murray (37514488),Aaron Gordon (37514723),Anthony Edwards (37514420),286.23,274.87,374.45,49200,0.01%,0.99%,-16.3%,27.37%,113.91000000000001,$-0.5,MIL 2,DEN 2,generated,1
Stephon Castle (37514633),Miles McBride (37514824),Luguentz Dort (37514668),Aaron Gordon (37514723),Domantas Sabonis (37514413),Ryan Rollins (37515010),Michael Porter Jr. (37514568),Nikola Jokic (37514396),289.59999999999997,283.56,380.21000000000004,49600,0.0%,1.11%,-16.3%,31.64%,129.64,$-0.5,DEN 3,SAS 1,generated,1
Delon Wright (37515257),Jalen Green (37514492),Amen Thompson (37514443),De'Andre Hunter (37514572),Jonas Valanciunas (37514579),Luke Kennard (37514694),Christian Braun (37514621),Karl-Anthony Towns (37514418),281.34000000000003,271.87,368.47,49800,0.01%,1.02%,-16.3%,23.28%,80.35,$-0.5,HOU 2,MIL 1,generated,1
Shai Gilgeous-Alexander (37514402),Keon Ellis (37514889),Isaiah Joe (37514786),Aaron Gordon (37514723),Jalen Duren (37514537),CJ McCollum (37514479),Pascal Siakam (37514472),Mike Conley (37514720),282.45,274.14,373.14,49400,0.01%,1.08%,-16.3%,25.35%,113.61,$-0.5,OKC 2,SAC 1,generated,1
Cade Cunningham (37514407),Malik Monk (37514495),Josh Hart (37514475),Aaron Wiggins (37514609),Naz Reid (37514564),AJ Green (37514934),Aaron Gordon (37514723),Luke Kennard (37514694),290.19,280.35,372.61000000000007,49100,0.01%,0.92%,-16.3%,30.6%,137.64,$-0.5,DET 1,SAC 1,generated,1
Cade Cunningham (37514407),Anthony Edwards (37514420),Marjon Beauchamp (37515266),Keldon Johnson (37514748),Naz Reid (37514564),AJ Green (37514934),Michael Porter Jr. (37514568),CJ McCollum (37514479),285.21999999999997,272.15,374.15999999999997,49900,0.01%,0.8%,-16.3%,26.27%,107.96000000000001,$-0.5,MIN 2,MIL 2,generated,1
Ja Morant (37514432),Cam Whitmore (37514855),De'Andre Hunter (37514572),Naz Reid (37514564),Jonas Valanciunas (37514579),Malik Monk (37514495),Andre Jackson Jr. (37514872),Mark Williams (37514441),277.38,275.82,375.6,49300,0.01%,0.94%,-16.3%,20.86%,108.67000000000002,$-0.5,MEM 1,HOU 1,generated,1
