PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Coby White (37509464),Desmond Bane (37509420),Matas Buzelis (37509624),Amir Coffey (37509666),Nikola Vucevic (37509400),Darius Garland (37509423),Jaylen Brown (37509406),Luke Kennard (37509544),281.77,369.28,49100,48.39%,0,-35.29%,0,158.73000000000002,$-1.06,CHI 3,MEM 2,opp,1,siyu798,2388,4629999434
Coby White (37509464),Ayo Dosunmu (37509481),RJ Barrett (37509428),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Desmond Bane (37509420),Jaylen Wells (37509577),Kevin Porter Jr. (37509656),281.68,379.51,49100,46.21%,0,-35.3%,0,150.88,$-1.06,CHI 2,MEM 2,opp,1,AdamTheGreat1986,3940,4630419998
Josh Giddey (37509444),Desmond Bane (37509420),Quentin Grimes (37509557),Giannis Antetokounmpo (37509355),Jalen Duren (37509462),Gradey Dick (37509574),Olivier-Maxence Prosper (37509676),Khris Middleton (37509493),281.78000000000003,385.54,49400,48.69%,0,-35.31%,0,176.45999999999998,$-1.06,DAL 2,MIL 2,opp,1,nick_the_stick1,8302,4630320457
Coby White (37509464),Eric Gordon (37509596),Jaylen Brown (37509406),Kawhi Leonard (37509447),Giannis Antetokounmpo (37509355),Kelly Oubre Jr. (37509455),Olivier-Maxence Prosper (37509676),Amir Coffey (37509666),281.75,373.84000000000003,49600,47.97%,0,-35.32%,0,128.02,$-1.06,PHI 2,LAC 2,opp,1,papaaj1,6105,4630290029
Cade Cunningham (37509362),Klay Thompson (37509505),Khris Middleton (37509493),Santi Aldama (37509528),Jalen Duren (37509462),James Harden (37509379),Olivier-Maxence Prosper (37509676),Coby White (37509464),281.75,381.6,49800,48.55%,0,-35.35%,0,144.9,$-1.06,DET 2,DAL 2,opp,1,babyJenius,1538,4630062565
Cade Cunningham (37509362),Sam Merrill (37509684),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Khris Middleton (37509493),RJ Barrett (37509428),Desmond Bane (37509420),281.74,376.98,49300,48.35%,0,-35.38%,0,175.42000000000002,$-1.06,DAL 2,DET 1,opp,1,KillaKhall,2815,4630314861
Cade Cunningham (37509362),Khris Middleton (37509493),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Dante Exum (37509910),Jaylen Brown (37509406),Jakob Poeltl (37509451),281.75,375.99,49800,48.25%,0,-35.44%,0,159.55,$-1.06,DAL 3,DET 1,opp,1,rwalker1,2620,4630125676
Cade Cunningham (37509362),Quentin Grimes (37509557),RJ Barrett (37509428),Kawhi Leonard (37509447),Nikola Vucevic (37509400),Caris LeVert (37509603),Derrick Jones Jr. (37509562),Spencer Dinwiddie (37509498),281.72,375.06000000000006,49800,47.91%,0,-35.47%,0,150.68,$-1.06,DAL 2,LAC 2,opp,1,rzaroch36,2966,4630404449
Damian Lillard (37509385),Desmond Bane (37509420),RJ Barrett (37509428),Santi Aldama (37509528),Giannis Antetokounmpo (37509355),AJ Green (37509695),Amir Coffey (37509666),Kylor Kelley (37509901),281.71,378.2,49800,47.90%,0,-35.51%,0,168.79,$-1.07,MIL 3,MEM 2,opp,1,RedDevil7,10195,4630137802
Cade Cunningham (37509362),Luke Kennard (37509544),Matas Buzelis (37509624),Tobias Harris (37509485),Jalen Duren (37509462),Desmond Bane (37509420),Naji Marshall (37509550),Darius Garland (37509423),281.78999999999996,375.72999999999996,49800,48.64%,0,-35.55%,0,179.73,$-1.07,DET 3,MEM 2,opp,1,BlueDevilsFan41,719,4630066669
