Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4631198257,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Ryan Rollins (37515010),Malik Monk (37514495),De'Andre Hunter (37514572),Naz Reid (37514564),Mark Williams (37514441),Jamal Murray (37514488),Gary Trent Jr. (37514781),Isaiah Hartenstein (37514486)
4631198258,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),Cam Whitmore (37514855),Christian Braun (37514621),Jae'Sean Tate (37514993),Jonas Valanciunas (37514579),Ryan Rollins (37515010),Naz Reid (37514564),Nikola Jokic (37514396)
4631198259,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Ryan Rollins (37515010),Anthony Edwards (37514420),Cam Whitmore (37514855),Naz Reid (37514564),Isaiah Hartenstein (37514486),Delon Wright (37515257),Michael Porter Jr. (37514568),Victor Wembanyama (37514405)
4631198260,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Jalen Brunson (37514435),Malik Monk (37514495),Michael Porter Jr. (37514568),Santi Aldama (37514673),Jonas Valanciunas (37514579),Ryan Rollins (37515010),Aaron Gordon (37514723),Domantas Sabonis (37514413)
4631198261,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),Anthony Edwards (37514420),Gary Trent Jr. (37514781),Jeremy Sochan (37514745),Jonas Valanciunas (37514579),Ryan Rollins (37515010),Pascal Siakam (37514472),Mike Conley (37514720)
4631198262,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Shai Gilgeous-Alexander (37514402),AJ Green (37514934),Amen Thompson (37514443),Santi Aldama (37514673),Myles Turner (37514554),Malik Monk (37514495),Michael Porter Jr. (37514568),Ryan Rollins (37515010)
4631198263,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Shai Gilgeous-Alexander (37514402),Jamal Murray (37514488),Aaron Wiggins (37514609),Aaron Gordon (37514723),Mark Williams (37514441),Ryan Rollins (37515010),Aaron Nesmith (37514809),Rudy Gobert (37514542)
4631198264,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),Luke Kennard (37514694),Andre Jackson Jr. (37514872),Ausar Thompson (37514714),Jalen Duren (37514537),Ryan Rollins (37515010),Zion Williamson (37514438),Mark Williams (37514441)
4631198265,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Jalen Brunson (37514435),Keon Ellis (37514889),Ausar Thompson (37514714),Michael Porter Jr. (37514568),Mark Williams (37514441),Ryan Rollins (37515010),Keldon Johnson (37514748),Shai Gilgeous-Alexander (37514402)
4631198266,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),AJ Green (37514934),Aaron Wiggins (37514609),Precious Achiuwa (37514646),Aaron Gordon (37514723),Ryan Rollins (37515010),Michael Porter Jr. (37514568),Nikola Jokic (37514396)
